GroupID,Observed,Expected,N,MeanRNA,Excess,ExcessRate,PXD,SampleGroup,Category
KLA31_18,248,76.9428301154268,357,2.43036877739764,171.057169884573,0.479151736371354,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells
KLA31_16,224,112.314919752574,357,5.10476072393142,111.685080247426,0.312843362037608,PXD066351,HCT116 control and Roseburia co-culture,cancer_cells
KLA31_23,214,109.083807664372,357,4.96154389009263,104.916192335628,0.293882891696438,PXD070007,glioblastoma stem cells,cancer_cells
KLA31_27,200,117.160656389045,357,5.38099256629703,82.8393436109552,0.232042979302395,PXD058534,pretreated HK-2,normal_cells
KLA31_30,159,79.6165185627373,357,2.69677632604973,79.3834814372628,0.222362693101576,PXD070007,neural stem cells,normal_cells
KLA31_31,168,102.226400120537,357,4.64948007362404,65.7735998794628,0.184239775572725,PXD073311,HUVEC control and Pg infection,normal_cells
KLA31_20,175,109.295504443841,357,4.91267599038017,65.7044955561586,0.18404620603966,PXD060185,MDA-MB-468,cancer_cells
KLA31_08,126,70.2666725745676,357,1.62950491237976,55.7333274254324,0.156115763096449,PXD066054,BPH,normal_tissue
KLA31_11,127,95.3838255740486,357,4.06417701288146,31.6161744259514,0.0885607126777351,PXD066054,prostate cancer,cancer_tissue
KLA31_29,103,75.0202009720979,357,2.18394799481839,27.9797990279021,0.0783747871930031,PXD060185,MCF10A,normal_cells
KLA31_09,99,77.3837286508056,357,2.33906385059952,21.6162713491944,0.0605497796896201,PXD075377,adjacent liver,normal_tissue
KLA31_12,106,84.7032000934603,357,3.20652755980415,21.2967999065397,0.0596549016989907,PXD075377,HCC,cancer_tissue
KLA31_26,142,124.01391810385,357,5.65886266025753,17.9860818961501,0.0503811817819331,PXD028737,HMC3,normal_cells
KLA31_21,139,126.821811587079,357,5.89279383986964,12.1781884129205,0.0341125725852116,PXD060185,T-47D,cancer_cells
KLA31_13,118,107.538079269018,357,4.74772702245432,10.461920730982,0.0293051000867843,PXD060185,MCF7,cancer_cells
KLA31_28,119,117.160656389045,357,5.38099256629703,1.83934361095514,0.00515222299987434,PXD078736,HK-2 control and mannitol,normal_cells
KLA31_24,105,109.723513814482,357,4.95449470334061,-4.72351381448195,-0.0132311311330027,PXD078013,RKO WT and GSK3B KO,cancer_cells
KLA31_19,106,113.826875900866,357,5.24659384653506,-7.8268759008663,-0.0219240221312781,PXD054919,A549,cancer_cells
KLA31_10,82,100.476000392351,357,4.51662015827009,-18.4760003923509,-0.0517535024995825,PXD064038,MEC and NEC ESCC groups,cancer_tissue
KLA31_05,26,78.0917768915159,357,2.54950365458926,-52.0917768915159,-0.145915341432818,PXD050470,human hippocampus,normal_tissue
KLA31_15,59,112.314919752574,357,5.10476072393142,-53.3149197525741,-0.149341511911972,PXD053474,HCT116,cancer_cells
KLA31_17,32,87.9629195871364,357,3.47423319380388,-55.9629195871364,-0.15675887839534,PXD028488,TALL-104,cancer_cells
KLA31_02,26,93.0817608375878,357,3.98603382467509,-67.0817608375878,-0.187904091982039,PXD036307,normal human lung,normal_tissue
KLA31_01,25,92.4403993651299,357,4.08163028330021,-67.4403993651299,-0.188908681695042,PXD033146,pathological rotator cuff tendon,normal_tissue
KLA31_07,5,77.2158121231488,357,2.51988316930208,-72.2158121231488,-0.202285188020025,PXD064912,human sperm,normal_tissue
KLA31_06,11,85.3027705731422,357,3.40976980842805,-74.3027705731422,-0.208131010008802,PXD063047,normal pregnancy placenta,normal_tissue
KLA31_22,36,111.906761062606,357,5.0250050989021,-75.9067610626058,-0.212623980567523,PXD063266,PC-3M,cancer_cells
KLA31_04,26,104.438737593108,357,4.85434032454094,-78.4387375931079,-0.219716351801423,PXD046800,adjacent skin,normal_tissue
KLA31_25,37,117.337830141493,357,5.36579015484641,-80.3378301414927,-0.225035938771688,PXD028488,HEK293T,normal_cells
KLA31_14,28,112.314919752574,357,5.10476072393142,-84.3149197525741,-0.23617624580553,PXD028488,HCT116,cancer_cells
KLA31_03,14,103.632271949771,357,4.60861923778255,-89.6322719497709,-0.251070789775269,PXD046800,hypertrophic scar,normal_tissue
