PXD,SampleGroup,BaseAccession,IsDdr
PXD033146,pathological rotator cuff tendon,P11182,FALSE
PXD033146,pathological rotator cuff tendon,P12109,FALSE
PXD033146,pathological rotator cuff tendon,P12110,FALSE
PXD033146,pathological rotator cuff tendon,P12111,FALSE
PXD033146,pathological rotator cuff tendon,P12814,FALSE
PXD033146,pathological rotator cuff tendon,P12882,FALSE
PXD033146,pathological rotator cuff tendon,P12883,FALSE
PXD033146,pathological rotator cuff tendon,P12956,TRUE
PXD033146,pathological rotator cuff tendon,P13010,TRUE
PXD033146,pathological rotator cuff tendon,P13639,FALSE
PXD033146,pathological rotator cuff tendon,P13716,FALSE
PXD033146,pathological rotator cuff tendon,P13797,FALSE
PXD033146,pathological rotator cuff tendon,P13929,FALSE
PXD033146,pathological rotator cuff tendon,P14174,FALSE
PXD033146,pathological rotator cuff tendon,P14317,FALSE
PXD033146,pathological rotator cuff tendon,P14555,FALSE
PXD033146,pathological rotator cuff tendon,P14618,FALSE
PXD033146,pathological rotator cuff tendon,P14649,FALSE
PXD033146,pathological rotator cuff tendon,P15090,FALSE
PXD033146,pathological rotator cuff tendon,P15153,FALSE
PXD033146,pathological rotator cuff tendon,P15259,FALSE
PXD033146,pathological rotator cuff tendon,P15311,FALSE
PXD033146,pathological rotator cuff tendon,P15924,FALSE
PXD033146,pathological rotator cuff tendon,P16104,TRUE
PXD033146,pathological rotator cuff tendon,P16112,FALSE
PXD033146,pathological rotator cuff tendon,P16401,FALSE
PXD033146,pathological rotator cuff tendon,P16402,FALSE
PXD033146,pathological rotator cuff tendon,P16403,FALSE
PXD033146,pathological rotator cuff tendon,P17066,FALSE
PXD033146,pathological rotator cuff tendon,P17252,FALSE
PXD033146,pathological rotator cuff tendon,P17516,FALSE
PXD033146,pathological rotator cuff tendon,P17661,FALSE
PXD033146,pathological rotator cuff tendon,P17858,FALSE
PXD033146,pathological rotator cuff tendon,P18206,FALSE
PXD033146,pathological rotator cuff tendon,P18669,FALSE
PXD033146,pathological rotator cuff tendon,P19338,FALSE
PXD033146,pathological rotator cuff tendon,P19823,FALSE
PXD033146,pathological rotator cuff tendon,P20073,FALSE
PXD033146,pathological rotator cuff tendon,P20671,FALSE
PXD033146,pathological rotator cuff tendon,P20774,FALSE
PXD033146,pathological rotator cuff tendon,P20962,FALSE
PXD033146,pathological rotator cuff tendon,P21283,FALSE
PXD033146,pathological rotator cuff tendon,P21291,FALSE
PXD033146,pathological rotator cuff tendon,P21333,FALSE
PXD033146,pathological rotator cuff tendon,P21810,FALSE
PXD033146,pathological rotator cuff tendon,P21926,FALSE
PXD033146,pathological rotator cuff tendon,P22061,FALSE
PXD033146,pathological rotator cuff tendon,P22105,FALSE
PXD033146,pathological rotator cuff tendon,P22492,FALSE
PXD033146,pathological rotator cuff tendon,P23083,FALSE
PXD033146,pathological rotator cuff tendon,P23246,TRUE
PXD033146,pathological rotator cuff tendon,P23284,FALSE
PXD033146,pathological rotator cuff tendon,P23497,TRUE
PXD033146,pathological rotator cuff tendon,P23527,FALSE
PXD033146,pathological rotator cuff tendon,P23528,FALSE
PXD033146,pathological rotator cuff tendon,P23588,FALSE
PXD033146,pathological rotator cuff tendon,P24666,FALSE
PXD033146,pathological rotator cuff tendon,P24752,FALSE
PXD033146,pathological rotator cuff tendon,P24821,FALSE
PXD033146,pathological rotator cuff tendon,P25067,FALSE
PXD033146,pathological rotator cuff tendon,P26038,FALSE
PXD033146,pathological rotator cuff tendon,P26447,FALSE
PXD033146,pathological rotator cuff tendon,P26641,FALSE
PXD033146,pathological rotator cuff tendon,P27348,FALSE
PXD033146,pathological rotator cuff tendon,P27694,TRUE
PXD033146,pathological rotator cuff tendon,P27797,FALSE
PXD033146,pathological rotator cuff tendon,P27816,FALSE
PXD033146,pathological rotator cuff tendon,P27824,FALSE
PXD033146,pathological rotator cuff tendon,P28340,TRUE
PXD033146,pathological rotator cuff tendon,P29401,FALSE
PXD033146,pathological rotator cuff tendon,P29590,TRUE
PXD033146,pathological rotator cuff tendon,P30041,FALSE
PXD033146,pathological rotator cuff tendon,P30101,FALSE
PXD033146,pathological rotator cuff tendon,P30613,FALSE
PXD033146,pathological rotator cuff tendon,P31946,FALSE
PXD033146,pathological rotator cuff tendon,P31947,TRUE
PXD033146,pathological rotator cuff tendon,P31949,FALSE
PXD033146,pathological rotator cuff tendon,P33241,FALSE
PXD033146,pathological rotator cuff tendon,P33778,FALSE
PXD033146,pathological rotator cuff tendon,P35241,FALSE
PXD033146,pathological rotator cuff tendon,P35269,FALSE
PXD033146,pathological rotator cuff tendon,P35443,FALSE
PXD033146,pathological rotator cuff tendon,P35555,FALSE
PXD033146,pathological rotator cuff tendon,P35579,FALSE
PXD033146,pathological rotator cuff tendon,P35580,FALSE
PXD033146,pathological rotator cuff tendon,P35749,FALSE
PXD033146,pathological rotator cuff tendon,P36980,FALSE
PXD033146,pathological rotator cuff tendon,P37802,FALSE
PXD033146,pathological rotator cuff tendon,P37837,FALSE
PXD033146,pathological rotator cuff tendon,P37840,FALSE
PXD033146,pathological rotator cuff tendon,P38919,FALSE
PXD033146,pathological rotator cuff tendon,P40261,FALSE
PXD033146,pathological rotator cuff tendon,P40926,FALSE
PXD033146,pathological rotator cuff tendon,P40939,FALSE
PXD033146,pathological rotator cuff tendon,P41219,FALSE
PXD033146,pathological rotator cuff tendon,P42025,FALSE
PXD033146,pathological rotator cuff tendon,P42167,FALSE
PXD033146,pathological rotator cuff tendon,P42224,FALSE
PXD033146,pathological rotator cuff tendon,P42330,FALSE
PXD033146,pathological rotator cuff tendon,P45378,FALSE
PXD033146,pathological rotator cuff tendon,P45973,TRUE
PXD033146,pathological rotator cuff tendon,P46063,TRUE
PXD033146,pathological rotator cuff tendon,P46459,FALSE
PXD033146,pathological rotator cuff tendon,P46778,FALSE
PXD033146,pathological rotator cuff tendon,P46783,FALSE
PXD033146,pathological rotator cuff tendon,P46940,FALSE
PXD033146,pathological rotator cuff tendon,P47756,FALSE
PXD033146,pathological rotator cuff tendon,P47914,FALSE
PXD033146,pathological rotator cuff tendon,P48741,FALSE
PXD033146,pathological rotator cuff tendon,P48788,FALSE
PXD033146,pathological rotator cuff tendon,P49747,FALSE
PXD033146,pathological rotator cuff tendon,P49748,FALSE
PXD033146,pathological rotator cuff tendon,P50238,TRUE
PXD033146,pathological rotator cuff tendon,P50395,FALSE
PXD033146,pathological rotator cuff tendon,P50461,FALSE
PXD033146,pathological rotator cuff tendon,P50479,FALSE
PXD033146,pathological rotator cuff tendon,P51608,FALSE
PXD033146,pathological rotator cuff tendon,P51858,FALSE
PXD033146,pathological rotator cuff tendon,P51884,FALSE
PXD033146,pathological rotator cuff tendon,P51888,FALSE
PXD033146,pathological rotator cuff tendon,P51991,FALSE
PXD033146,pathological rotator cuff tendon,P52179,FALSE
PXD033146,pathological rotator cuff tendon,P52272,FALSE
PXD033146,pathological rotator cuff tendon,P52594,FALSE
PXD033146,pathological rotator cuff tendon,P52895,FALSE
PXD033146,pathological rotator cuff tendon,P52943,FALSE
PXD033146,pathological rotator cuff tendon,P55008,FALSE
PXD033146,pathological rotator cuff tendon,P55854,FALSE
PXD033146,pathological rotator cuff tendon,P57053,FALSE
PXD033146,pathological rotator cuff tendon,P57721,FALSE
PXD033146,pathological rotator cuff tendon,P57723,FALSE
PXD033146,pathological rotator cuff tendon,P58876,FALSE
PXD033146,pathological rotator cuff tendon,P60174,FALSE
PXD033146,pathological rotator cuff tendon,P60660,FALSE
PXD033146,pathological rotator cuff tendon,P60709,FALSE
PXD033146,pathological rotator cuff tendon,P60866,FALSE
PXD033146,pathological rotator cuff tendon,P60903,FALSE
PXD033146,pathological rotator cuff tendon,P60953,FALSE
PXD033146,pathological rotator cuff tendon,P60981,FALSE
PXD033146,pathological rotator cuff tendon,P60983,FALSE
PXD033146,pathological rotator cuff tendon,P61081,FALSE
PXD033146,pathological rotator cuff tendon,P61088,TRUE
PXD033146,pathological rotator cuff tendon,P61326,FALSE
PXD033146,pathological rotator cuff tendon,P61604,FALSE
PXD033146,pathological rotator cuff tendon,P61956,FALSE
PXD033146,pathological rotator cuff tendon,P61978,FALSE
PXD033146,pathological rotator cuff tendon,P62258,FALSE
PXD033146,pathological rotator cuff tendon,P62328,FALSE
PXD033146,pathological rotator cuff tendon,P62736,FALSE
PXD033146,pathological rotator cuff tendon,P62805,FALSE
PXD033146,pathological rotator cuff tendon,P62807,FALSE
PXD033146,pathological rotator cuff tendon,P62826,FALSE
PXD033146,pathological rotator cuff tendon,P62851,FALSE
PXD033146,pathological rotator cuff tendon,P62937,FALSE
PXD033146,pathological rotator cuff tendon,P62979,FALSE
PXD033146,pathological rotator cuff tendon,P62987,FALSE
PXD033146,pathological rotator cuff tendon,P62995,FALSE
PXD033146,pathological rotator cuff tendon,P63000,FALSE
PXD033146,pathological rotator cuff tendon,P63104,FALSE
PXD033146,pathological rotator cuff tendon,P63208,FALSE
PXD033146,pathological rotator cuff tendon,P63220,FALSE
PXD033146,pathological rotator cuff tendon,P63261,FALSE
PXD033146,pathological rotator cuff tendon,P63267,FALSE
PXD033146,pathological rotator cuff tendon,P63316,FALSE
PXD033146,pathological rotator cuff tendon,P67936,FALSE
PXD033146,pathological rotator cuff tendon,P68032,FALSE
PXD033146,pathological rotator cuff tendon,P68036,FALSE
PXD033146,pathological rotator cuff tendon,P68104,FALSE
PXD033146,pathological rotator cuff tendon,P68133,FALSE
PXD033146,pathological rotator cuff tendon,P68363,FALSE
PXD033146,pathological rotator cuff tendon,P68366,FALSE
PXD033146,pathological rotator cuff tendon,P68431,FALSE
PXD033146,pathological rotator cuff tendon,P68871,FALSE
PXD033146,pathological rotator cuff tendon,P69891,FALSE
PXD033146,pathological rotator cuff tendon,P69892,FALSE
PXD033146,pathological rotator cuff tendon,P69905,FALSE
PXD033146,pathological rotator cuff tendon,P78371,FALSE
PXD033146,pathological rotator cuff tendon,P78527,TRUE
PXD033146,pathological rotator cuff tendon,P80723,FALSE
PXD033146,pathological rotator cuff tendon,P83111,FALSE
PXD033146,pathological rotator cuff tendon,P83916,TRUE
PXD033146,pathological rotator cuff tendon,P84243,FALSE
PXD033146,pathological rotator cuff tendon,P98198,FALSE
PXD033146,pathological rotator cuff tendon,Q00688,FALSE
PXD033146,pathological rotator cuff tendon,Q00872,FALSE
PXD033146,pathological rotator cuff tendon,Q01082,FALSE
PXD033146,pathological rotator cuff tendon,Q01105,FALSE
PXD033146,pathological rotator cuff tendon,Q01518,FALSE
PXD033146,pathological rotator cuff tendon,Q01813,FALSE
