PXD,SampleGroup,ReferencePXD,SourceProteinID,IdentifierType,MappedBaseAccessions,IsDdr
PXD033146,pathological rotator cuff tendon,PXD033146,A6NMZ7,UniProtKB,A6NMZ7,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A8K0Z3,UniProtKB,A8K0Z3,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A8MT19,UniProtKB,A8MT19,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A8MUK1,UniProtKB,A8MUK1,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A8MVU1,UniProtKB,A8MVU1,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A8MWD9,UniProtKB,A8MWD9,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A8MWX3,UniProtKB,A8MWX3,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A8MWY0,UniProtKB,A8MWY0,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,B0I1T2,UniProtKB,B0I1T2,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,B2RPK0,UniProtKB,B2RPK0,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,B2RXH8,UniProtKB,B2RXH8,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,B5ME19,UniProtKB,B5ME19,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,B7ZAP0,UniProtKB,B7ZAP0,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,B7ZW38,UniProtKB,B7ZW38,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,B9A064,UniProtKB,B9A064,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,C4AMC7,UniProtKB,C4AMC7,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,C9J2P7,UniProtKB,C9J2P7,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,C9JJH3,UniProtKB,C9JJH3,FALSE
