PXD,SampleGroup,RegulatorBaseAccession,GeneSymbol,WholeProteomeRelativePercentile,DetectedSampleCount,QuantSampleCount,DetectedSampleFraction,MedianLog2SignalDetected,Measurement,SourceFile
PXD028488,HCT116,Q9NXA8,SIRT5,6.74494129402948,1,1,1,1.51314730058706,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q9UBN7,HDAC6,0,0,1,0,,"",""
PXD028488,HCT116,Q9UKN8,GTF3C4,31.8261304021984,1,1,1,2.03638996743793,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q9UKV0,HDAC9,0,0,1,0,,"",""
PXD028488,HCT116,Q9ULM3,YEATS2,0,0,1,0,,"",""
PXD028488,HCT116,Q9UPN9,TRIM33,40.7944041968524,1,1,1,2.14501548623678,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q9UQL6,HDAC5,0,0,1,0,,"",""
PXD028488,HCT116,Q9Y232,CDYL,0,0,1,0,,"",""
PXD028488,HCT116,Q9Y6E7,SIRT4,0,0,1,0,,"",""
PXD028488,HEK293T,O14929,HAT1,58.3947368421053,385,401,0.960099750623441,2.32192809488736,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,O15379,HDAC3,0,6,401,0.0149625935162095,1,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,O60885,BRD4,65.3104359313078,386,401,0.962593516209476,2.58496250072116,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,O75607,NPM3,59.0741168321404,401,401,1,2.32192809488736,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,O95251,KAT7,17.047583364556,354,401,0.882793017456359,1,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,P05783,KRT18,55.4054054054054,371,401,0.925187032418953,2.32192809488736,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,P41227,NAA10,68.630214205186,400,401,0.997506234413965,2.8073549220576,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,P42568,MLLT3,0,0,401,0,,"",""
PXD028488,HEK293T,P49588,AARS1,97.8344438749359,401,401,1,4.90689059560852,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,P51532,SMARCA4,65.7550535077289,388,401,0.967581047381546,2.58496250072116,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,P56524,HDAC4,0,13,401,0.0324189526184539,1,ordinary proteome peptide-count abundance proxy; no PTM enrichment,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt
PXD028488,HEK293T,Q09472,EP300,0,0,401,0,,"",""
