Model,MaterialMAE_pp,SourceMacroMAE_pp,RMSE_pp,Within5pp,PredictionMin,PredictionMax
Baseline,8.63568412150872,8.74431890020686,10.1371724753598,8,20.8251793868232,21.0736958321833
RNA,8.47047395334668,9.15684407600593,9.90775704505736,7,13.3921978996671,22.8554355956057
