Input,Mask,IntersectionCount,UnionCount,In_normal_tissue,In_cancer_tissue,In_cancer_cells,In_normal_cells
venn_reference_ddr.csv,1,166,836,725,478,616,592
venn_reference_ddr.csv,2,2,836,725,478,616,592
venn_reference_ddr.csv,3,5,836,725,478,616,592
venn_reference_ddr.csv,4,40,836,725,478,616,592
venn_reference_ddr.csv,5,19,836,725,478,616,592
venn_reference_ddr.csv,6,1,836,725,478,616,592
venn_reference_ddr.csv,7,11,836,725,478,616,592
venn_reference_ddr.csv,8,30,836,725,478,616,592
venn_reference_ddr.csv,9,14,836,725,478,616,592
venn_reference_ddr.csv,10,0,836,725,478,616,592
venn_reference_ddr.csv,11,3,836,725,478,616,592
venn_reference_ddr.csv,12,31,836,725,478,616,592
venn_reference_ddr.csv,13,58,836,725,478,616,592
venn_reference_ddr.csv,14,7,836,725,478,616,592
venn_reference_ddr.csv,15,449,836,725,478,616,592
venn_kla_ddr.csv,1,4,401,183,192,381,292
venn_kla_ddr.csv,2,3,401,183,192,381,292
venn_kla_ddr.csv,3,7,401,183,192,381,292
venn_kla_ddr.csv,4,77,401,183,192,381,292
venn_kla_ddr.csv,5,0,401,183,192,381,292
venn_kla_ddr.csv,6,1,401,183,192,381,292
venn_kla_ddr.csv,7,17,401,183,192,381,292
venn_kla_ddr.csv,8,6,401,183,192,381,292
venn_kla_ddr.csv,9,0,401,183,192,381,292
venn_kla_ddr.csv,10,0,401,183,192,381,292
venn_kla_ddr.csv,11,0,401,183,192,381,292
venn_kla_ddr.csv,12,119,401,183,192,381,292
venn_kla_ddr.csv,13,3,401,183,192,381,292
venn_kla_ddr.csv,14,12,401,183,192,381,292
venn_kla_ddr.csv,15,152,401,183,192,381,292
venn_reference.csv,1,5784,24397,18468,9986,14989,11678
venn_reference.csv,2,170,24397,18468,9986,14989,11678
venn_reference.csv,3,1063,24397,18468,9986,14989,11678
venn_reference.csv,4,3845,24397,18468,9986,14989,11678
venn_reference.csv,5,1387,24397,18468,9986,14989,11678
venn_reference.csv,6,36,24397,18468,9986,14989,11678
venn_reference.csv,7,434,24397,18468,9986,14989,11678
venn_reference.csv,8,1418,24397,18468,9986,14989,11678
venn_reference.csv,9,552,24397,18468,9986,14989,11678
venn_reference.csv,10,29,24397,18468,9986,14989,11678
venn_reference.csv,11,392,24397,18468,9986,14989,11678
venn_reference.csv,12,373,24397,18468,9986,14989,11678
venn_reference.csv,13,1052,24397,18468,9986,14989,11678
venn_reference.csv,14,58,24397,18468,9986,14989,11678
venn_reference.csv,15,7804,24397,18468,9986,14989,11678
venn_all_kla.csv,1,500,5814,3423,3014,4183,3234
venn_all_kla.csv,2,102,5814,3423,3014,4183,3234
venn_all_kla.csv,3,656,5814,3423,3014,4183,3234
venn_all_kla.csv,4,894,5814,3423,3014,4183,3234
venn_all_kla.csv,5,58,5814,3423,3014,4183,3234
venn_all_kla.csv,6,23,5814,3423,3014,4183,3234
venn_all_kla.csv,7,347,5814,3423,3014,4183,3234
venn_all_kla.csv,8,266,5814,3423,3014,4183,3234
venn_all_kla.csv,9,19,5814,3423,3014,4183,3234
venn_all_kla.csv,10,15,5814,3423,3014,4183,3234
venn_all_kla.csv,11,73,5814,3423,3014,4183,3234
venn_all_kla.csv,12,981,5814,3423,3014,4183,3234
venn_all_kla.csv,13,82,5814,3423,3014,4183,3234
venn_all_kla.csv,14,110,5814,3423,3014,4183,3234
venn_all_kla.csv,15,1688,5814,3423,3014,4183,3234
