Plot,Category,Dataset,Term,Comparison,Test,AnalysisScale,N,Df,ResidualDf,FStatistic,PValue,QValueBH,Significance,AdjustmentFamily,Scope,Pathway,NPoint,Denominator,NCategory
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,1.11517813886029,0.344383498994555,0.392024477160992,ns,Seven pathways times three two-way ANOVA terms,baseline30,AEJ,92,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,0.597279478030257,0.61758747350296,0.61758747350296,ns,Seven pathways times three two-way ANOVA terms,baseline30,NHEJ,92,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,1,176,896.171782034108,5.7395184939338e-71,4.01766294575366e-70,****,Seven pathways times three two-way ANOVA terms,baseline30,NHEJ,92,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,3.66170512012753,0.0135509818983748,0.0189713746577247,*,Seven pathways times three two-way ANOVA terms,baseline30,NHEJ,92,,
Figure 1 MKI67/ACTB,,,CategoryFactor,Four-category omnibus test,one-way ANOVA,log10(MKI67 / denominator),44,3,40,4.03349555085081,0.0134658015694009,0.0134658015694009,*,MKI67 ratio: three omnibus one-way ANOVA tests,baseline30,,,ACTB,4
Figure 1 MKI67/TUBB,,,CategoryFactor,Four-category omnibus test,one-way ANOVA,log10(MKI67 / denominator),51,3,47,18.7640865473875,3.83657468964375e-08,1.15097240689312e-07,****,MKI67 ratio: three omnibus one-way ANOVA tests,baseline30,,,TUBB,4
Figure 1 MKI67/H3C1,,,CategoryFactor,Four-category omnibus test,one-way ANOVA,log10(MKI67 / denominator),35,3,31,15.7629270591605,2.0921472812512e-06,3.1382209218768e-06,****,MKI67 ratio: three omnibus one-way ANOVA tests,baseline30,,,H3C1,4
Figure 1 source-sample category comparison,All (four categories),Both (Two-way ANOVA),CategoryFactor,Four-category main effect (controlling for modality),two-way ANOVA,DDR fraction percentage,310,3,302,217.395729598291,4.14406617188027e-75,8.28813234376054e-75,****,Figure 1 four-category omnibus ANOVA tests,expanded31,,,,
Figure 1 source-sample category comparison,All (four categories),Lactylome (Kla),CategoryFactor,Four-category omnibus test within Lactylome (Kla),one-way ANOVA,DDR fraction percentage,98,3,94,48.6455468912807,4.56388045672296e-19,4.56388045672296e-19,****,Figure 1 four-category omnibus ANOVA tests,expanded31,,,,
Figure 1 source-sample category comparison,All (four categories),Whole proteome,CategoryFactor,Four-category omnibus test within Whole proteome,one-way ANOVA,DDR fraction percentage,212,3,208,347.449203108028,1.02523318064622e-80,4.10093272258487e-80,****,Figure 1 four-category omnibus ANOVA tests,expanded31,,,,
Figure 1 source-sample category comparison,All (four categories),Pooled observations,CategoryFactor,Four-category omnibus test pooled across modalities,one-way ANOVA,DDR fraction percentage,310,3,306,111.909553317732,6.26714245175142e-49,8.35618993566856e-49,****,Figure 1 four-category omnibus ANOVA tests,expanded31,,,,
DDR pathway source-sample panel: BER,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,0.716978473330175,0.542983889019932,0.559348136699762,ns,Seven pathways times three two-way ANOVA terms,expanded31,BER,98,,
DDR pathway source-sample panel: BER,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,1,188,1009.72638697036,1.6075252316693e-77,1.12526766216851e-76,****,Seven pathways times three two-way ANOVA terms,expanded31,BER,98,,
DDR pathway source-sample panel: BER,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,0.68975691855486,0.559348136699762,0.559348136699762,ns,Seven pathways times three two-way ANOVA terms,expanded31,BER,98,,
DDR pathway source-sample panel: NER,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,22.0738381206209,2.72816621147285e-12,6.36572116010332e-12,****,Seven pathways times three two-way ANOVA terms,expanded31,NER,98,,
DDR pathway source-sample panel: NER,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,1,188,741.564671952556,3.67557943570597e-67,1.92967920374564e-66,****,Seven pathways times three two-way ANOVA terms,expanded31,NER,98,,
DDR pathway source-sample panel: NER,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,14.8349867487983,1.04063090504072e-08,2.18532490058551e-08,****,Seven pathways times three two-way ANOVA terms,expanded31,NER,98,,
DDR pathway source-sample panel: MMR,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,5.34546893507109,0.00148402330062085,0.00239726840869522,**,Seven pathways times three two-way ANOVA terms,expanded31,MMR,98,,
DDR pathway source-sample panel: MMR,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,1,188,524.203247933043,2.85815846301735e-56,1.20042655446729e-55,****,Seven pathways times three two-way ANOVA terms,expanded31,MMR,98,,
DDR pathway source-sample panel: MMR,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,5.34546893507113,0.00148402330062079,0.00239726840869522,**,Seven pathways times three two-way ANOVA terms,expanded31,MMR,98,,
DDR pathway source-sample panel: FA,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,1.82819310826251,0.143477112819169,0.177236433482502,ns,Seven pathways times three two-way ANOVA terms,expanded31,FA,98,,
DDR pathway source-sample panel: FA,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,1,188,132.602040007435,1.45484253744797e-23,5.09194888106788e-23,****,Seven pathways times three two-way ANOVA terms,expanded31,FA,98,,
DDR pathway source-sample panel: FA,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,1.82819310826252,0.143477112819165,0.177236433482502,ns,Seven pathways times three two-way ANOVA terms,expanded31,FA,98,,
DDR pathway source-sample panel: HR,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,11.1099877890158,9.5294135002095e-07,1.81925166822181e-06,****,Seven pathways times three two-way ANOVA terms,expanded31,HR,98,,
DDR pathway source-sample panel: HR,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,1,188,1228.81279683455,2.19944727212084e-84,4.61883927145377e-83,****,Seven pathways times three two-way ANOVA terms,expanded31,HR,98,,
DDR pathway source-sample panel: HR,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,4.06813807183397,0.00789366069603112,0.0113789815075966,*,Seven pathways times three two-way ANOVA terms,expanded31,HR,98,,
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,25.4126420315345,7.57981061433007e-14,1.98970028626164e-13,****,Seven pathways times three two-way ANOVA terms,expanded31,AEJ,98,,
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,1,188,119.873559422368,6.75190815935879e-22,2.02557244780764e-21,****,Seven pathways times three two-way ANOVA terms,expanded31,AEJ,98,,
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,1.03021494030248,0.380410219791011,0.420453400821643,ns,Seven pathways times three two-way ANOVA terms,expanded31,AEJ,98,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,1.23635937206675,0.297828679974047,0.347466793303055,ns,Seven pathways times three two-way ANOVA terms,expanded31,NHEJ,98,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,1,188,1015.44120754808,1.02717813341254e-77,1.07853704008317e-76,****,Seven pathways times three two-way ANOVA terms,expanded31,NHEJ,98,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,196,3,188,4.04581052431011,0.00812784393399759,0.0113789815075966,*,Seven pathways times three two-way ANOVA terms,expanded31,NHEJ,98,,
Figure 1 MKI67/ACTB,,,CategoryFactor,Four-category omnibus test,one-way ANOVA,log10(MKI67 / denominator),49,3,45,2.55032660430575,0.067483726744063,0.067483726744063,ns,MKI67 ratio: three omnibus one-way ANOVA tests,expanded31,,,ACTB,4
Figure 1 MKI67/TUBB,,,CategoryFactor,Four-category omnibus test,one-way ANOVA,log10(MKI67 / denominator),145,3,141,73.6519123761946,1.01938035474261e-28,3.05814106422784e-28,****,MKI67 ratio: three omnibus one-way ANOVA tests,expanded31,,,TUBB,4
Figure 1 MKI67/H3C1,,,CategoryFactor,Four-category omnibus test,one-way ANOVA,log10(MKI67 / denominator),80,3,76,13.4583852680774,3.93621452583499e-07,5.90432178875248e-07,****,MKI67 ratio: three omnibus one-way ANOVA tests,expanded31,,,H3C1,4
