ReferenceKey,Model,ReferenceKey,n_group_ids,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
HepG2_DMSO24h,MP,HepG2_DMSO24h,1,303,228,0.752475247524752,0.385652325320072,-0.366822922204681,0.366822922204681
GSE171750_A549_untreated,MP,GSE171750_A549_untreated,1,175,86,0.491428571428572,0.435235950898484,-0.0561926205300871,0.0561926205300871
PC3M_DMSO,MP,PC3M_DMSO,1,177,28,0.15819209039548,0.448493412300817,0.290301321905337,0.290301321905337
GSE266884_MES28_vector_control,MP,GSE266884_MES28_vector_control,1,320,220,0.6875,0.372209860341831,-0.315290139658169,0.315290139658169
GSE119834_NSC,MP,GSE119834_NSC,1,307,164,0.534201954397394,0.373106793133775,-0.16109516126362,0.16109516126362
RKO_DMSO,MP,RKO_DMSO,1,193,90,0.466321243523316,0.428456860498219,-0.0378643830250973,0.0378643830250973
GSE275256_HMC3_vehicle,MP,GSE275256_HMC3_vehicle,1,287,141,0.491289198606272,0.404839327411746,-0.0864498711945264,0.0864498711945264
HK2_untreated,MP,HK2_untreated,2,432,230,0.532407407407407,0.404976122949524,-0.127431284457883,0.127431284457883
HUVEC_untreated,MP,HUVEC_untreated,1,323,172,0.532507739938081,0.392227156332446,-0.140280583605635,0.140280583605635
tendon_nondiabetic,ME,tendon_nondiabetic,1,112,22,0.196428571428571,0.402193258990388,0.205764687561816,0.205764687561816
GTEx_v8_Lung,ME,GTEx_v8_Lung,1,280,21,0.075,0.39556390999884,0.32056390999884,0.32056390999884
GSE181540_HS_input,ME,GSE181540_HS_input,1,70,14,0.2,0.439224691183127,0.239224691183127,0.239224691183127
GSE181540_adjacent_NS_input,ME,GSE181540_adjacent_NS_input,1,76,25,0.328947368421053,0.44491179199432,0.115964423573267,0.115964423573267
GTEx_v8_Hippocampus,ME,GTEx_v8_Hippocampus,1,146,25,0.171232876712329,0.366469426962329,0.19523655025,0.19523655025
