GroupID,Model,GroupID,ReferenceKey,ConnGroup,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
KLA31_01,M0,KLA31_01,tendon_nondiabetic,1,112,22,0.196428571428571,0.405006031363088,0.208577459934517,0.208577459934517
KLA31_02,M0,KLA31_02,GTEx_v8_Lung,2,280,21,0.075,0.415686881188119,0.340686881188119,0.340686881188119
KLA31_03,M0,KLA31_03,GSE181540_HS_input,3,70,14,0.2,0.404516520157624,0.204516520157624,0.204516520157624
KLA31_04,M0,KLA31_04,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.404516520157624,0.0755691517365714,0.0755691517365714
KLA31_05,M0,KLA31_05,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.406638375265232,0.235405498552903,0.235405498552903
KLA31_06,M0,KLA31_06,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.414364640883978,0.379276921585732,0.379276921585732
KLA31_07,M0,KLA31_07,sperm_GroupI,6,276,5,0.0181159420289855,0.417903525046382,0.399787583017397,0.399787583017397
KLA31_08,M0,KLA31_08,GSE132714_BPH,7,280,128,0.457142857142857,0.396409509946628,-0.0607333471962291,0.0607333471962291
KLA31_11,M0,KLA31_11,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.396409509946628,-0.0626652231494574,0.0626652231494574
KLA31_09,M0,KLA31_09,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.397104607721046,-0.117820765413282,0.117820765413282
KLA31_12,M0,KLA31_12,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.397104607721046,-0.0760136718488465,0.0760136718488465
KLA31_10,M0,KLA31_10,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.406753407682776,0.122031185460554,0.122031185460554
KLA31_13,M0,KLA31_13,MCF7_DMSO7d,10,167,87,0.520958083832335,0.387341354870612,-0.133616728961723,0.133616728961723
KLA31_20,M0,KLA31_20,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.387341354870612,-0.218372930843674,0.218372930843674
KLA31_21,M0,KLA31_21,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.387341354870612,-0.18488086735161,0.18488086735161
KLA31_29,M0,KLA31_29,GSE103520_MCF10A_control,10,155,62,0.4,0.387341354870612,-0.012658645129388,0.012658645129388
KLA31_14,M0,KLA31_14,HCT116_control,11,205,27,0.131707317073171,0.420284633399388,0.288577316326217,0.288577316326217
KLA31_15,M0,KLA31_15,HCT116_control,11,205,52,0.253658536585366,0.420284633399388,0.166626096814022,0.166626096814022
KLA31_16,M0,KLA31_16,HCT116_control,11,323,224,0.693498452012384,0.420284633399388,-0.273213818612996,0.273213818612996
KLA31_17,M0,KLA31_17,GSE163787_TALL104,11,192,34,0.177083333333333,0.420284633399388,0.243201300066055,0.243201300066055
KLA31_25,M0,KLA31_25,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.420284633399388,0.278493588623269,0.278493588623269
KLA31_18,M0,KLA31_18,HepG2_DMSO24h,12,303,228,0.752475247524752,0.385033379909952,-0.3674418676148,0.3674418676148
KLA31_19,M0,KLA31_19,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.399147511036688,-0.0922810603918834,0.0922810603918834
KLA31_22,M0,KLA31_22,PC3M_DMSO,14,177,28,0.15819209039548,0.4081011116187,0.24990902122322,0.24990902122322
KLA31_23,M0,KLA31_23,GSE266884_MES28_vector_control,15,320,220,0.6875,0.379924799738434,-0.307575200261566,0.307575200261566
KLA31_30,M0,KLA31_30,GSE119834_NSC,15,307,164,0.534201954397394,0.379924799738434,-0.15427715465896,0.15427715465896
KLA31_24,M0,KLA31_24,RKO_DMSO,16,193,90,0.466321243523316,0.399633643718516,-0.0666875998048,0.0666875998048
KLA31_26,M0,KLA31_26,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.397553043208921,-0.0937361553973508,0.0937361553973508
KLA31_27,M0,KLA31_27,HK2_untreated,18,216,141,0.652777777777778,0.392585551330799,-0.260192226446979,0.260192226446979
KLA31_28,M0,KLA31_28,HK2_untreated,18,216,89,0.412037037037037,0.392585551330799,-0.0194514857062381,0.0194514857062381
KLA31_31,M0,KLA31_31,HUVEC_untreated,19,323,172,0.532507739938081,0.394954057000467,-0.137553682937614,0.137553682937614
KLA31_01,MP,KLA31_01,tendon_nondiabetic,1,112,22,0.196428571428571,0.444049887977655,0.247621316549084,0.247621316549084
KLA31_02,MP,KLA31_02,GTEx_v8_Lung,2,280,21,0.075,0.40709031338787,0.33209031338787,0.33209031338787
KLA31_03,MP,KLA31_03,GSE181540_HS_input,3,70,14,0.2,0.480562661491154,0.280562661491154,0.280562661491154
KLA31_04,MP,KLA31_04,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.472044758290148,0.143097389869095,0.143097389869095
KLA31_05,MP,KLA31_05,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.427331215965002,0.256098339252673,0.256098339252673
KLA31_06,MP,KLA31_06,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.414414929598697,0.379327210300451,0.379327210300451
KLA31_07,MP,KLA31_07,sperm_GroupI,6,276,5,0.0181159420289855,0.407878452833144,0.389762510804158,0.389762510804158
KLA31_08,MP,KLA31_08,GSE132714_BPH,7,280,128,0.457142857142857,0.393348500142911,-0.0637943569999462,0.0637943569999462
KLA31_11,MP,KLA31_11,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.394008994336072,-0.0650657387600139,0.0650657387600139
KLA31_09,MP,KLA31_09,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.420667263940292,-0.0942581091940369,0.0942581091940369
KLA31_12,MP,KLA31_12,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.413715038580884,-0.0594032409890084,0.0594032409890084
KLA31_10,MP,KLA31_10,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.4104565058841,0.125734283661878,0.125734283661878
KLA31_13,MP,KLA31_13,MCF7_DMSO7d,10,167,87,0.520958083832335,0.445392294716572,-0.075565789115763,0.075565789115763
KLA31_20,MP,KLA31_20,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.426828347691732,-0.178885938022554,0.178885938022554
KLA31_21,MP,KLA31_21,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.434938892596121,-0.137283329626101,0.137283329626101
KLA31_29,MP,KLA31_29,GSE103520_MCF10A_control,10,155,62,0.4,0.403923700003353,0.00392370000335329,0.00392370000335329
KLA31_14,MP,KLA31_14,HCT116_control,11,205,27,0.131707317073171,0.46094211914884,0.32923480207567,0.32923480207567
KLA31_15,MP,KLA31_15,HCT116_control,11,205,52,0.253658536585366,0.46094211914884,0.207283582563475,0.207283582563475
KLA31_16,MP,KLA31_16,HCT116_control,11,323,224,0.693498452012384,0.414418509646691,-0.279079942365693,0.279079942365693
KLA31_17,MP,KLA31_17,GSE163787_TALL104,11,192,34,0.177083333333333,0.460274886453332,0.283191553119999,0.283191553119999
KLA31_25,MP,KLA31_25,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.437953515971601,0.296162471195481,0.296162471195481
KLA31_18,MP,KLA31_18,HepG2_DMSO24h,12,303,228,0.752475247524752,0.385652325320072,-0.366822922204681,0.366822922204681
KLA31_19,MP,KLA31_19,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.435235950898484,-0.0561926205300871,0.0561926205300871
KLA31_22,MP,KLA31_22,PC3M_DMSO,14,177,28,0.15819209039548,0.448493412300817,0.290301321905337,0.290301321905337
KLA31_23,MP,KLA31_23,GSE266884_MES28_vector_control,15,320,220,0.6875,0.372209860341831,-0.315290139658169,0.315290139658169
