"TimestampUTC"	"TaskID"	"Source"	"Accession"	"GroupIDs"	"SelectedSamples"	"SourceURL"	"RelativeTarget"	"State"	"Bytes"	"SHA256"	"Detail"
"2026-09-14 06:24:21 UTC"	"GEO_GSE132714"	"GEO"	"GSE132714"	"KLA31_08"	"GSM3890639-GSM3890656"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132714/matrix/GSE132714_series_matrix.txt.gz"	"geo/GSE132714/metadata/GSE132714_series_matrix.txt.gz"	"complete"	"3157"	"d7c3d7c310bf7a4d063fa8a6fc4227e36aac9b054d11ce09285969bb81fc07fb"	"downloaded with wget continuation support"
"2026-09-14 06:24:23 UTC"	"GEO_GSE132714"	"GEO"	"GSE132714"	"KLA31_08"	"GSM3890639-GSM3890656"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132714/suppl/"	"geo/GSE132714/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:27 UTC"	"GEO_GSE163787"	"GEO"	"GSE163787"	"KLA31_17"	"GSM4987488;SRX9725233"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163787/soft/GSE163787_family.soft.gz"	"geo/GSE163787/metadata/GSE163787_family.soft.gz"	"complete"	"2102"	"64d2ee9bae4fa4fd672aa416594eee16a8589445b55417be8efa3d83d2fe935e"	"downloaded with wget continuation support"
"2026-09-14 06:24:28 UTC"	"GEO_GSE163787"	"GEO"	"GSE163787"	"KLA31_17"	"GSM4987488;SRX9725233"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163787/matrix/GSE163787_series_matrix.txt.gz"	"geo/GSE163787/metadata/GSE163787_series_matrix.txt.gz"	"failed"	"0"	""	"wget exit 8 ; retained .part for resumption"
"2026-09-14 06:24:30 UTC"	"GEO_GSE163787"	"GEO"	"GSE163787"	"KLA31_17"	"GSM4987488;SRX9725233"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163787/suppl/"	"geo/GSE163787/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:31 UTC"	"GEO_GSE235595"	"GEO"	"GSE235595"	"KLA31_22"	"GSM7506018;GSM7506019;GSM7506020"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235595/soft/GSE235595_family.soft.gz"	"geo/GSE235595/metadata/GSE235595_family.soft.gz"	"complete"	"2513"	"7665bed4267726fe77c635c20e581950c0833fde58d69a4b640eb3b8bcfc33df"	"downloaded with wget continuation support"
"2026-09-14 06:24:32 UTC"	"GEO_GSE235595"	"GEO"	"GSE235595"	"KLA31_22"	"GSM7506018;GSM7506019;GSM7506020"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235595/matrix/GSE235595_series_matrix.txt.gz"	"geo/GSE235595/metadata/GSE235595_series_matrix.txt.gz"	"complete"	"2299"	"d60c1b0bc4a69e29e0446b37b2644b46e0d42cd5bd2ad7109f52f68e2962712d"	"downloaded with wget continuation support"
"2026-09-14 06:24:34 UTC"	"GEO_GSE235595"	"GEO"	"GSE235595"	"KLA31_22"	"GSM7506018;GSM7506019;GSM7506020"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235595/suppl/"	"geo/GSE235595/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:35 UTC"	"GEO_GSE266884"	"GEO"	"GSE266884"	"KLA31_23"	"GSM8255530;GSM8255531"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266884/soft/GSE266884_family.soft.gz"	"geo/GSE266884/metadata/GSE266884_family.soft.gz"	"complete"	"2966"	"58a1c67c89baaae6d8c978748d5a1b53030c0559e68da28a54a1dfab99bbc1c8"	"downloaded with wget continuation support"
"2026-09-14 06:24:37 UTC"	"GEO_GSE266884"	"GEO"	"GSE266884"	"KLA31_23"	"GSM8255530;GSM8255531"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266884/matrix/GSE266884_series_matrix.txt.gz"	"geo/GSE266884/metadata/GSE266884_series_matrix.txt.gz"	"complete"	"2697"	"82e9adf6458b4359da3499773326e6b299460bd82ed86599c73146c8503cc5f7"	"downloaded with wget continuation support"
"2026-09-14 06:24:39 UTC"	"GEO_GSE266884"	"GEO"	"GSE266884"	"KLA31_23"	"GSM8255530;GSM8255531"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266884/suppl/"	"geo/GSE266884/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:41 UTC"	"GEO_GSE203529"	"GEO"	"GSE203529"	"KLA31_25"	"GSM6175912"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE203nnn/GSE203529/soft/GSE203529_family.soft.gz"	"geo/GSE203529/metadata/GSE203529_family.soft.gz"	"complete"	"3274"	"c0d320d605eb2afcac4ad2477f0caf6a26dfb1f592d0c7ad745adaf90a7cd466"	"downloaded with wget continuation support"
