EnsemblProteinID	MappingSource	MappingDate
ENSP00000273158	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000273783	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000273794	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000276461	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000277541	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000278559	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000278715	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000281317	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000281474	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000282120	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000282223	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000283684	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000284049	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000287497	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000289893	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000290277	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000290846	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000291525	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000292304	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000293842	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000295641	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000296289	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000296443	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000297239	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000297562	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000297967	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000298472	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000299550	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000300150	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000301897	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000302028	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000302397	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000303476	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000303486	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000303554	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000303600	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000304169	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000305355	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000306106	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000306279	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000306351	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000306361	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000307357	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000309365	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000309757	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000310040	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000311139	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000312141	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000312523	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000312529	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
