Sheet,Rows,Duplicate_BaseAccession,Invalid_flag_cells,Region_label_mismatches,Set_Count_mismatches,Region_total_mismatch,Status
AllKla_Members,5814,0,0,0,0,0,PASS
KlaDDR_Members,401,0,0,0,0,0,PASS
Reference_Members,24397,0,0,0,0,0,PASS
ReferenceDDR_Members,836,0,0,0,0,0,PASS
