PXD,SampleGroup,SourceRows,UniqueMappedBaseAccessions,SummaryReferenceProteinCount,UniqueMappedDDRBaseAccessions,SummaryReferenceDdrProteinCount,UnmappedRows,UnmappedDDRRows,Status,Mapped_vs_summary_diff,MappedDDR_vs_summary_diff
PXD028488,HCT116,4010,4010,4010,273,273,0,0,PASS,0,0
PXD028488,HEK293T,6441,6441,6441,381,381,0,0,PASS,0,0
PXD028488,TALL-104,3734,3734,3734,253,253,0,0,PASS,0,0
PXD028737,HMC3,6132,6132,6132,425,425,0,0,PASS,0,0
PXD033146,pathological rotator cuff tendon,3984,3984,3984,154,154,0,0,PASS,0,0
PXD036307,normal human lung,14022,12358,14022,606,668,595,0,WARN,-1664,-62
PXD046800,adjacent skin,2205,2205,2205,89,89,0,0,PASS,0,0
PXD046800,hypertrophic scar,2193,2193,2193,83,83,0,0,PASS,0,0
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,6772,6772,6772,450,450,0,0,PASS,0,0
PXD050470,human hippocampus,6082,6082,6082,219,219,0,0,PASS,0,0
PXD053474,HCT116,4010,4010,4010,273,273,0,0,PASS,0,0
PXD054919,A549,3448,3448,3448,226,226,0,0,PASS,0,0
PXD058534,pretreated HK-2,4897,4897,4897,304,304,0,0,PASS,0,0
PXD060185,MCF10A,4839,4839,4839,242,242,0,0,PASS,0,0
PXD060185,MCF7,3099,3099,3099,209,209,0,0,PASS,0,0
PXD060185,MDA-MB-468,3760,3760,3760,230,230,0,0,PASS,0,0
PXD060185,T-47D,3516,3516,3516,228,228,0,0,PASS,0,0
PXD063047,normal pregnancy placenta,12395,10847,12395,502,556,546,0,WARN,-1548,-54
PXD063266,PC-3M,8049,8049,8049,262,262,0,0,PASS,0,0
PXD064038,MEC and NEC ESCC groups,8083,8083,8083,420,420,0,0,PASS,0,0
PXD064912,human sperm,10680,10680,10680,461,461,0,0,PASS,0,0
PXD066054,BPH,8169,8169,8169,408,408,0,0,PASS,0,0
PXD066054,prostate cancer,8203,8203,8203,412,412,0,0,PASS,0,0
PXD066351,HCT116 control and Roseburia co-culture,8130,8130,8130,504,504,0,0,PASS,0,0
PXD070007,glioblastoma stem cells,8374,8374,8374,495,495,0,0,PASS,0,0
PXD070007,neural stem cells,7246,7246,7246,459,459,0,0,PASS,0,0
PXD073311,HUVEC control and Pg infection,7794,7794,7794,512,512,0,0,PASS,0,0
PXD075377,HCC,5188,5188,5188,271,271,0,0,PASS,0,0
PXD075377,adjacent liver,4251,4251,4251,194,194,0,0,PASS,0,0
PXD078013,RKO WT and GSK3B KO,3615,3615,3615,252,252,0,0,PASS,0,0
PXD078736,HK-2 control and mannitol,4897,4897,4897,304,304,0,0,PASS,0,0
