PXD,Area,RelativePath,CurrentPath,FileName,Extension,SizeBytes
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Dimethyl (KR)Sites.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Dimethyl (KR)Sites.txt,Dimethyl (KR)Sites.txt,.txt,14432
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Kla_to_UniProt.csv,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Kla_to_UniProt.csv,Kla_to_UniProt.csv,.csv,3169
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Kla_to_UniProt_from_MCF7_Hypoxia.csv,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Kla_to_UniProt_from_MCF7_Hypoxia.csv,Kla_to_UniProt_from_MCF7_Hypoxia.csv,.csv,3005
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Lactyl (K)Sites.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Lactyl (K)Sites.txt,Lactyl (K)Sites.txt,.txt,119844
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Methyl (KR)Sites.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Methyl (KR)Sites.txt,Methyl (KR)Sites.txt,.txt,41111
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Oxidation (M)Sites.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Oxidation (M)Sites.txt,Oxidation (M)Sites.txt,.txt,16401
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Trimethyl (K)Sites.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Trimethyl (K)Sites.txt,Trimethyl (K)Sites.txt,.txt,2516
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/aifMsms.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/aifMsms.txt,aifMsms.txt,.txt,0
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/allPeptides.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/allPeptides.txt,allPeptides.txt,.txt,1619558
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/evidence.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/evidence.txt,evidence.txt,.txt,301078
