Model,MaterialMAE,RMSE,SourceMAE,TrainingSourceMAE
BagDistribution,9.74529013554583,11.2910965279992,10.2078780099923,7.1836616338349
BagMean,9.73417962184711,11.491234422252,10.8232516573988,8.20161454754351
MaterialMedian,10.7503232743291,12.1840860451151,11.126416278449,8.18059291881248
NoRNA,8.67876811114732,10.1934979457376,8.60546730334105,
SampleBalanced,9.10751342004731,10.7507208776768,10.1055953522271,7.92169887107765
SampleBalanced128,9.45067319733366,10.6844292544269,9.86550342129247,8.25248287092339
SampleMaterialBalanced,8.54919433230126,10.0304856623668,9.1639610206482,8.1325522059718
SampleUnweighted,9.78814722498253,10.9809977359844,10.1162963812817,7.53437817622127
