Model,ReferenceKey,Observed,Fitted,Lambda
SampleMaterialBalanced,GTEx_v8_Lung,3.04256352160544,18.6327761096283,10
SampleMaterialBalanced,HCT116_control,14.9924287272798,19.3486294989542,10
SampleMaterialBalanced,HK2_untreated,25.4849908107004,18.70682968546,10
SampleMaterialBalanced,HUVEC_untreated,24.1981011034129,17.9145533067946,10
SampleMaterialBalanced,HepG2_DMSO24h,33.5942114589486,18.3715295765366,10
SampleMaterialBalanced,MCF7_DMSO7d,28.1703775411423,20.6473171467725,10
SampleMaterialBalanced,MDAMB468_DMSO7d,29.5478723404255,20.1216563744156,10
SampleMaterialBalanced,PC3M_DMSO,3.92595353460057,19.3580577450403,10
SampleMaterialBalanced,RKO_DMSO,28.65836791148,19.4217642862643,10
SampleMaterialBalanced,TCGA_ESCA_ESCC,13.4974638129407,18.6668462241353,10
SampleMaterialBalanced,TCGA_LIHC_normal,33.0510468125147,23.0860367098595,10
SampleMaterialBalanced,TCGA_LIHC_primary,29.5296838858905,22.4417375791734,10
SampleMaterialBalanced,TCGA_PRAD_primary,24.8445690601,19.8740100840973,10
SampleMaterialBalanced,sperm_GroupI,2.13483146067416,17.1143262245942,10
SampleMaterialBalanced,tendon_nondiabetic,12.14859437751,17.787907810134,10
SampleBalanced,GSE103520_MCF10A_control,11.3246538541021,16.2542693044529,5.5
SampleBalanced,GSE114691_control_placenta,2.14805937125472,17.0493701655712,5.5
SampleBalanced,GSE119834_NSC,21.0736958321833,17.3950859230278,5.5
SampleBalanced,GSE132714_BPH,24.8622842453177,18.4839371285908,5.5
SampleBalanced,GSE163787_TALL104,9.02517407605785,17.9478773063664,5.5
SampleBalanced,GSE171750_A549_untreated,27.7262180974478,20.0230753896628,5.5
SampleBalanced,GSE181540_HS_input,15.9598723210214,17.2701190443317,5.5
SampleBalanced,GSE181540_adjacent_NS_input,21.2244897959184,20.3567501422108,5.5
SampleBalanced,GSE203529_HEK293T_WT,5.68234746157429,19.9301322062447,5.5
SampleBalanced,GSE266884_MES28_vector_control,30.6185813231431,20.9286085078542,5.5
SampleBalanced,GSE275256_HMC3_vehicle,20.8251793868232,18.4162571489777,5.5
SampleBalanced,GSE283812_T47D_vehicle,26.5073947667804,21.2645887453591,5.5
SampleBalanced,GTEx_v8_Hippocampus,12.9233804669517,18.6064765477486,5.5
SampleBalanced,GTEx_v8_Lung,3.04256352160544,18.1104560975563,5.5
SampleBalanced,HCT116_control,14.9924287272798,18.7810891372445,5.5
SampleBalanced,HK2_untreated,25.4849908107004,18.445330063914,5.5
SampleBalanced,HUVEC_untreated,24.1981011034129,17.7955712271409,5.5
SampleBalanced,HepG2_DMSO24h,33.5942114589486,19.1167517910224,5.5
SampleBalanced,MCF7_DMSO7d,28.1703775411423,20.584639092675,5.5
SampleBalanced,MDAMB468_DMSO7d,29.5478723404255,20.4946201085213,5.5
SampleBalanced,PC3M_DMSO,3.92595353460057,18.9267109115901,5.5
SampleBalanced,RKO_DMSO,28.65836791148,19.1907495012619,5.5
SampleBalanced,TCGA_ESCA_ESCC,13.4974638129407,18.0104058151204,5.5
SampleBalanced,TCGA_LIHC_normal,33.0510468125147,24.0182753658796,5.5
SampleBalanced,TCGA_LIHC_primary,29.5296838858905,23.0836998001729,5.5
SampleBalanced,TCGA_PRAD_primary,24.8445690601,19.369701132104,5.5
SampleBalanced,sperm_GroupI,2.13483146067416,17.0651223920447,5.5
SampleBalanced,tendon_nondiabetic,12.14859437751,17.0740770041491,5.5
SampleBalanced128,GSE103520_MCF10A_control,11.3246538541021,17.9277343000422,100
SampleBalanced128,GSE114691_control_placenta,2.14805937125472,18.0691576406434,100
SampleBalanced128,GSE119834_NSC,21.0736958321833,18.0082975900583,100
SampleBalanced128,GSE132714_BPH,24.8622842453177,18.6435359832212,100
SampleBalanced128,GSE163787_TALL104,9.02517407605785,18.5034382662764,100
SampleBalanced128,GSE171750_A549_untreated,27.7262180974478,19.4337665232687,100
SampleBalanced128,GSE181540_HS_input,15.9598723210214,18.2711463693698,100
SampleBalanced128,GSE181540_adjacent_NS_input,21.2244897959184,18.7741529875639,100
SampleBalanced128,GSE203529_HEK293T_WT,5.68234746157429,19.3569325159693,100
SampleBalanced128,GSE266884_MES28_vector_control,30.6185813231431,19.5772348959841,100
SampleBalanced128,GSE275256_HMC3_vehicle,20.8251793868232,19.065422239696,100
SampleBalanced128,GSE283812_T47D_vehicle,26.5073947667804,19.6113074687452,100
SampleBalanced128,GTEx_v8_Hippocampus,12.9233804669517,18.2213162184928,100
SampleBalanced128,GTEx_v8_Lung,3.04256352160544,18.3119293917369,100
SampleBalanced128,HCT116_control,14.9924287272798,18.9241591523039,100
SampleBalanced128,HK2_untreated,25.4849908107004,19.1104611703463,100
SampleBalanced128,HUVEC_untreated,24.1981011034129,18.3746829399725,100
SampleBalanced128,HepG2_DMSO24h,33.5942114589486,19.5371329407444,100
