OuterBlock,Model,Lambda,InnerSourceMAE,Selected
4,MaterialMedian,10,8.44000728437153,FALSE
4,MaterialMedian,1,7.64241385766103,TRUE
4,MaterialMedian,0.1,7.71276372398227,FALSE
4,MaterialMedian,0.01,8.13693111267215,FALSE
4,SampleUnweighted,100,9.66433039786252,FALSE
4,SampleUnweighted,10,9.57453754977235,TRUE
4,SampleUnweighted,1,10.38662580077,FALSE
4,SampleUnweighted,0.1,10.2252936646023,FALSE
4,SampleUnweighted,0.01,9.61202191171232,FALSE
4,SampleMaterialBalanced,100,8.28107304002444,FALSE
4,SampleMaterialBalanced,10,7.89390208163104,TRUE
4,SampleMaterialBalanced,1,8.04799630250363,FALSE
4,SampleMaterialBalanced,0.1,8.52297690374446,FALSE
4,SampleMaterialBalanced,0.01,9.35337157886709,FALSE
4,SampleBalanced,100,8.44396360211,FALSE
4,SampleBalanced,10,8.49510632543604,FALSE
4,SampleBalanced,1,7.86231193320117,FALSE
4,SampleBalanced,0.1,7.74321387963064,TRUE
4,SampleBalanced,0.01,8.85831457776763,FALSE
4,SampleBalanced128,100,8.56010559512742,TRUE
4,SampleBalanced128,10,8.60801912579874,FALSE
4,SampleBalanced128,1,8.87221663536694,FALSE
4,SampleBalanced128,0.1,9.64242553593,FALSE
4,SampleBalanced128,0.01,9.93426612110926,FALSE
4,BagMean,100,8.44469640132737,FALSE
4,BagMean,10,8.52737402966486,FALSE
4,BagMean,1,7.85222342063929,FALSE
4,BagMean,0.1,7.8214832458629,TRUE
4,BagMean,0.01,8.33408299375058,FALSE
4,BagDistribution,100,8.41486175145293,FALSE
4,BagDistribution,10,8.426060154504,FALSE
4,BagDistribution,1,8.48629965896357,FALSE
4,BagDistribution,0.1,8.38593185475918,FALSE
4,BagDistribution,0.01,8.31030236295149,TRUE
5,MaterialMedian,100,9.67663392994557,FALSE
5,MaterialMedian,10,9.53632603784717,FALSE
5,MaterialMedian,1,8.3688075481345,FALSE
5,MaterialMedian,0.1,8.33231060942885,TRUE
5,MaterialMedian,0.01,12.5209115189578,FALSE
5,SampleUnweighted,100,10.9499626589755,FALSE
5,SampleUnweighted,10,11.564216618365,FALSE
5,SampleUnweighted,1,12.3424004723866,FALSE
5,SampleUnweighted,0.1,11.1771242617317,FALSE
5,SampleUnweighted,0.01,9.65761351590411,TRUE
5,SampleMaterialBalanced,100,9.35382502812668,FALSE
5,SampleMaterialBalanced,10,8.79383289828269,FALSE
5,SampleMaterialBalanced,1,8.45585653582052,TRUE
5,SampleMaterialBalanced,0.1,9.34377834140238,FALSE
5,SampleMaterialBalanced,0.01,9.83573392343533,FALSE
5,SampleBalanced,100,9.68761885215698,FALSE
5,SampleBalanced,10,9.61491976132952,FALSE
5,SampleBalanced,1,8.26553631088022,TRUE
5,SampleBalanced,0.1,8.48550296599599,FALSE
5,SampleBalanced,0.01,9.03103886636542,FALSE
5,SampleBalanced128,100,9.79935568671818,FALSE
5,SampleBalanced128,10,9.60412058268868,TRUE
5,SampleBalanced128,1,10.4900089847518,FALSE
5,SampleBalanced128,0.1,11.4054369643614,FALSE
5,SampleBalanced128,0.01,12.0812756506972,FALSE
5,BagMean,100,9.68831179981242,FALSE
5,BagMean,10,9.63420441630292,FALSE
5,BagMean,1,8.3252618713016,TRUE
5,BagMean,0.1,8.74675248500902,FALSE
5,BagMean,0.01,11.0231754715495,FALSE
5,BagDistribution,100,9.66703124297758,FALSE
5,BagDistribution,10,9.67745405308384,FALSE
5,BagDistribution,1,9.71428253685272,FALSE
5,BagDistribution,0.1,8.9557729099927,TRUE
5,BagDistribution,0.01,9.60259995134355,FALSE
