"Var1"	"Var2"	"Freq"
"ENCFF770MAV"	"ENCFF770MAV"	1
"ENCFF779OCC"	"ENCFF770MAV"	0.937306367839759
"ENCFF770MAV"	"ENCFF779OCC"	0.937306367839759
"ENCFF779OCC"	"ENCFF779OCC"	1
