"ProfileID"	"ModelCondition"	"ModelID"	"Datatype"	"WESKit"	"Product"	"Stranded"	"Source"	"SharedToDbgap"
"PR-0QFNfM"	"MC-000971-cQQl"	"ACH-000971"	"rna"	""	""	"False"	"BROAD"	""
"PR-Em6pVT"	"MC-000681-VvEX"	"ACH-000681"	"rna"	""	""	"False"	"BROAD"	""
"PR-iNkGCw"	"MC-000943-VfLa"	"ACH-000943"	"rna"	""	""	"False"	"BROAD"	""
"PR-iq2z3x"	"MC-000739-yQWD"	"ACH-000739"	"rna"	""	""	"False"	"BROAD"	""
"PR-QbgDTJ"	"MC-000019-PiAK"	"ACH-000019"	"rna"	""	""	"False"	"BROAD"	""
"PR-sXGiS8"	"MC-000147-Uovr"	"ACH-000147"	"rna"	""	""	"False"	"BROAD"	""
"PR-WRsCFG"	"MC-000849-Wlea"	"ACH-000849"	"rna"	""	""	"False"	"BROAD"	""
