"ModelID"	"PatientID"	"CellLineName"	"StrippedCellLineName"	"DepmapModelType"	"OncotreeLineage"	"OncotreePrimaryDisease"	"OncotreeSubtype"	"OncotreeCode"	"PatientSubtypeFeatures"	"RRID"	"Age"	"AgeCategory"	"Sex"	"PatientRace"	"PrimaryOrMetastasis"	"SampleCollectionSite"	"SourceType"	"SourceDetail"	"CatalogNumber"	"ModelType"	"TissueOrigin"	"ModelDerivationMaterial"	"ModelTreatment"	"PatientTreatmentStatus"	"PatientTreatmentType"	"PatientTreatmentDetails"	"Stage"	"StagingSystem"	"PatientTumorGrade"	"PatientTreatmentResponse"	"GrowthPattern"	"OnboardedMedia"	"FormulationID"	"SerumFreeMedia"	"PlateCoating"	"EngineeredModel"	"EngineeredModelDetails"	"CulturedResistanceDrug"	"PublicComments"	"CCLEName"	"HCMIID"	"ModelAvailableInDbgap"	"ModelSubtypeFeatures"	"WTSIMasterCellID"	"SangerModelID"	"COSMICID"
"ACH-000019"	"PT-viJKnw"	"MCF7"	"MCF7"	"BRCA"	"Breast"	"Invasive Breast Carcinoma"	"Invasive Breast Carcinoma"	"BRCA"	""	"CVCL_0031"	69	"Adult"	"Female"	"caucasian"	"Metastatic"	"pleural_effusion"	"ATCC"	""	""	"Cell Line"	NA	""	""	""	""	""	""	""	NA	""	"Adherent"	"MF-015-010"	"EMEM + 10% FBS + 0.01 mg/ml recombinant insulin"	"False"	"None"	""	""	""	""	"MCF7_BREAST"	""	"Available in SRA"	"ER+"	588	"SIDM00148"	905946
"ACH-000147"	"PT-9WkxWW"	"T-47D"	"T47D"	"IDC"	"Breast"	"Invasive Breast Carcinoma"	"Breast Invasive Ductal Carcinoma"	"IDC"	""	"CVCL_0553"	54	"Adult"	"Female"	""	"Metastatic"	"pleural_effusion"	"ATCC"	""	""	"Cell Line"	NA	""	""	""	""	""	""	""	NA	""	"Adherent"	"MF-001-045"	"RPMI + 10% FBS + 2ug/ml Insulin"	"False"	"None"	""	""	""	""	"T47D_BREAST"	""	"Available in SRA"	"luminal ER, PR+"	1286	"SIDM00097"	905945
"ACH-000681"	"PT-cqv92I"	"A549"	"A549"	"LUAD"	"Lung"	"Non-Small Cell Lung Cancer"	"Lung Adenocarcinoma"	"LUAD"	""	"CVCL_0023"	58	"Adult"	"Male"	"caucasian"	"Primary"	"lung"	"ATCC"	"ATCC"	"CCL-185"	"Cell Line"	NA	""	""	""	""	""	""	""	NA	""	"Adherent"	"MF-002-001"	"DMEM + 10% FBS"	"False"	"None"	""	""	""	""	"A549_LUNG"	""	"Available in SRA"	""	369	"SIDM00903"	905949
"ACH-000739"	"PT-qL6HtY"	"Hep G2"	"HEPG2"	"LIHB"	"Liver"	"Hepatoblastoma"	"Hepatoblastoma"	"LIHB"	""	"CVCL_0027"	15	"Pediatric"	"Male"	"caucasian"	"Primary"	"liver"	"ATCC"	"ATCC"	"HB-8065"	"Cell Line"	NA	""	""	""	""	""	""	""	NA	""	"Adherent"	"MF-006-001"	"MEM + 10% FBS"	"False"	"None"	""	""	""	""	"HEPG2_LIVER"	""	"Available in SRA"	""	NA	"SIDM00904"	NA
"ACH-000849"	"PT-58loXx"	"MDA-MB-468"	"MDAMB468"	"BRCA"	"Breast"	"Invasive Breast Carcinoma"	"Invasive Breast Carcinoma"	"BRCA"	""	"CVCL_0419"	51	"Adult"	"Female"	"black_or_african_american"	"Metastatic"	"pleural_effusion"	"ATCC"	""	""	"Cell Line"	NA	""	""	""	""	""	""	""	NA	""	"Adherent"	"MF-002-001"	"DMEM + 10% FBS"	"False"	"None"	""	""	""	""	"MDAMB468_BREAST"	""	"Available in SRA"	"basal_A TNBC"	415	"SIDM00628"	908123
"ACH-000943"	"PT-9E5O4L"	"RKO"	"RKO"	"COAD"	"Bowel"	"Colorectal Adenocarcinoma"	"Colon Adenocarcinoma"	"COAD"	""	"CVCL_0504"	NA	"Unknown"	"Unknown"	""	"Primary"	"Colon"	"ATCC"	"ATCC"	"CRL-2577"	"Cell Line"	NA	""	""	""	""	""	""	""	NA	""	"Adherent"	"MF-015-001"	"EMEM + 10% FBS"	"False"	"None"	""	""	""	""	"RKO_LARGE_INTESTINE"	""	"Available in SRA"	"MSI"	607	"SIDM01090"	909698
"ACH-000971"	"PT-2Roqq2"	"HCT 116"	"HCT116"	"COAD"	"Bowel"	"Colorectal Adenocarcinoma"	"Colon Adenocarcinoma"	"COAD"	""	"CVCL_0291"	48	"Adult"	"Male"	""	"Primary"	"large_intestine"	"ATCC"	"ATCC"	"CCL-247"	"Cell Line"	NA	""	""	""	""	""	""	""	NA	""	"Adherent"	"MF-023-001"	"McCoy's 5A + 10% FBS"	"False"	"None"	""	""	""	""	"HCT116_LARGE_INTESTINE"	""	"Available in SRA"	"MSI"	1920	"SIDM00783"	905936
