Plot,Category,Dataset,Term,Comparison,Test,AnalysisScale,N,Df,ResidualDf,FStatistic,PValue,QValueBH,Significance,AdjustmentFamily
Figure 1 source-sample category comparison,All (four categories),Both (Two-way ANOVA),CategoryFactor,Four-category main effect (controlling for modality),two-way ANOVA,DDR fraction percentage,272,3,264,142.266282148788,7.37431384858366e-55,1.47486276971673e-54,****,Figure 1 four-category omnibus ANOVA tests
Figure 1 source-sample category comparison,All (four categories),Lactylome (Kla),CategoryFactor,Four-category omnibus test within Lactylome (Kla),one-way ANOVA,DDR fraction percentage,72,3,68,29.4159252444392,2.62555346460473e-12,2.62555346460473e-12,****,Figure 1 four-category omnibus ANOVA tests
Figure 1 source-sample category comparison,All (four categories),Whole proteome,CategoryFactor,Four-category omnibus test within Whole proteome,one-way ANOVA,DDR fraction percentage,200,3,196,659.614378677719,4.00488599071287e-102,1.60195439628515e-101,****,Figure 1 four-category omnibus ANOVA tests
Figure 1 source-sample category comparison,All (four categories),Pooled observations,CategoryFactor,Four-category omnibus test pooled across modalities,one-way ANOVA,DDR fraction percentage,272,3,268,83.6127904819308,3.2875468373252e-38,4.38339578310027e-38,****,Figure 1 four-category omnibus ANOVA tests
