GroupID,ReferenceKey,PXD,SampleGroup,Category,CategoryLabel,ReferenceLabelEn,RowOrder,DDRExpressionMedian,DDRExpressionMean,DDRExpressionSD,DDRExpressionSEM,DDRExpressionIQR,DdrFractionMedian,DdrFractionMean,N,X
KLA31_14,HCT116_control,PXD028488,HCT116,cancer_cells,"cancer
cell lines",HCT116 cells,15,4.97473623986131,4.99097614068683,0.0327754389027845,0.0189229084733308,0.0296045370028502,3.0328418230563,3.0300491510277,3,4
KLA31_25,GSE203529_HEK293T_WT,PXD028488,HEK293T,normal_cells,"normal
cell lines",HEK293T cells (control lysate),28,5.16033143472305,5.16423604018731,0.0116392577693465,0.00671992860629966,0.0111372287193738,2.95906625020549,2.95632637404789,3,3
KLA31_17,GSE163787_TALL104,PXD028488,TALL-104,cancer_cells,"cancer
cell lines",TALL-104 cells (sodium lactate),18,5.19456710379611,5.19456710379611,,,0,3.27675410728874,3.27675410728874,1,4
KLA31_26,GSE275256_HMC3_vehicle,PXD028737,HMC3,normal_cells,"normal
cell lines",HMC3 cells (normoxia and hypoxia),29,5.41616015341987,5.41606431945095,0.016343321369496,0.00943582099213106,0.0163431106364254,3.12580728493929,3.12293693848848,3,3
KLA31_01,tendon_nondiabetic,PXD033146,pathological rotator cuff tendon,normal_tissue,"non-tumor
tissues",Pathological rotator-cuff tendon,1,3.90316733774336,3.91597802132317,0.0282042393746571,0.0162837251952469,0.0259305593531347,2.74223034734918,2.74730855169612,3,1
KLA31_02,GTEx_v8_Lung,PXD036307,normal human lung,normal_tissue,"non-tumor
tissues",Healthy human lung tissue,2,3.90817853045692,3.91533674908077,0.0754855929974762,0.00313978674649431,0.0893364285526777,2.60830794382106,2.60954416512749,578,1
KLA31_04,GSE181540_adjacent_NS_input,PXD046800,adjacent skin,normal_tissue,"non-tumor
tissues",Adjacent skin tissue,4,4.68974081748249,4.6876471805328,0.0463466303481054,0.0267582395075108,0.046311150470121,2.66862170087977,2.67106549364614,3,1
KLA31_03,GSE181540_HS_input,PXD046800,hypertrophic scar,normal_tissue,"non-tumor
tissues",Hypertrophic scar tissue,3,4.51193914604679,4.55475769953001,0.0745328905961394,0.043031584449162,0.0646535411931897,2.79925765542839,2.79925765542839,3,1
KLA31_18,HepG2_DMSO24h,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"cancer
cell lines","HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",19,2.98497119919297,2.97035003558638,0.0280749679877582,0.0162090903252223,0.0250573344273803,3.42591696506339,3.42291179774922,3,4
KLA31_05,GTEx_v8_Hippocampus,PXD050470,human hippocampus,normal_tissue,"non-tumor
tissues",Human hippocampus tissue,5,2.73715399311227,2.76043349595121,0.10327639499261,0.0073581384766096,0.12188272580055,2.57350011951239,2.58385381551898,197,1
