GroupID,ReferenceKey,PXD,SampleGroup,Category,CategoryLabel,ReferenceLabelEn,RowOrder,ProliferationMedian,ProliferationMean,ProliferationSD,ProliferationSEM,ProliferationIQR,N,X
KLA31_14,HCT116_control,PXD028488,HCT116,cancer_cells,"cancer
cell lines",HCT116 cells,15,5.92065166822451,5.9102530582096,0.018211789606301,0.0105145816316227,0.0158294334384559,3,4
KLA31_25,GSE203529_HEK293T_WT,PXD028488,HEK293T,normal_cells,"normal
cell lines",HEK293T cells (control lysate),28,6.0483711392204,6.0660911147353,0.0309532636403793,0.0178708750950704,0.026881338895306,3,3
KLA31_17,GSE163787_TALL104,PXD028488,TALL-104,cancer_cells,"cancer
cell lines",TALL-104 cells (sodium lactate),18,4.92191469834713,4.92191469834713,,,0,1,4
KLA31_26,GSE275256_HMC3_vehicle,PXD028737,HMC3,normal_cells,"normal
cell lines",HMC3 cells (normoxia and hypoxia),29,6.52510995023472,6.53129756925388,0.0158468655112562,0.00914919206873559,0.0149133555810606,3,3
KLA31_01,tendon_nondiabetic,PXD033146,pathological rotator cuff tendon,normal_tissue,"non-tumor
tissues",Pathological rotator-cuff tendon,1,3.50369668660683,3.54804541426806,0.129339089935477,0.074673958390989,0.123505032089628,3,1
KLA31_02,GTEx_v8_Lung,PXD036307,normal human lung,normal_tissue,"non-tumor
tissues",Healthy human lung tissue,2,3.48180935233399,3.5325768645438,0.244471313701842,0.010168666101421,0.263817793300893,578,1
KLA31_04,GSE181540_adjacent_NS_input,PXD046800,adjacent skin,normal_tissue,"non-tumor
tissues",Adjacent skin tissue,4,4.60031544018857,4.58830912004812,0.0877218938121265,0.050646259006255,0.0871034836358451,3,1
KLA31_03,GSE181540_HS_input,PXD046800,hypertrophic scar,normal_tissue,"non-tumor
tissues",Hypertrophic scar tissue,3,4.35530044041738,4.35644588513378,0.00909801996408952,0.00525274427535967,0.00904377877705098,3,1
KLA31_18,HepG2_DMSO24h,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"cancer
cell lines","HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",19,3.66135381152619,3.65981211602611,0.0136609894359787,0.00788717592825894,0.0135955880199674,3,4
KLA31_05,GTEx_v8_Hippocampus,PXD050470,human hippocampus,normal_tissue,"non-tumor
tissues",Human hippocampus tissue,5,2.27231170301368,2.29054111317599,0.0844175190684661,0.00601449920092632,0.0818522436931324,197,1
KLA31_19,GSE171750_A549_untreated,PXD054919,A549,cancer_cells,"cancer
cell lines",A549 cells,20,5.41481701289818,5.42335040994801,0.0231332482430075,0.0133559871003308,0.0219210635089873,3,4
KLA31_27,HK2_untreated,PXD058534,pretreated HK-2,normal_cells,"normal
cell lines",Untreated HK-2 cells,30,6.1140534194721,6.12225118207868,0.0157634208057219,0.00910101524553288,0.0140741945305178,3,3
KLA31_29,GSE103520_MCF10A_control,PXD060185,MCF10A,normal_cells,"normal
cell lines",MCF10A cells (baseline),32,2.91737368420604,2.9472759613824,0.10525218045387,0.060767374717837,0.102016723408692,3,3
KLA31_13,MCF7_DMSO7d,PXD060185,MCF7,cancer_cells,"cancer
cell lines",MCF7 cells,14,5.59316389351169,5.60475337057845,0.0957798242910938,0.0552985073373981,0.0952524947558961,3,4
KLA31_20,MDAMB468_DMSO7d,PXD060185,MDA-MB-468,cancer_cells,"cancer
cell lines",MDA-MB-468 cells,21,5.82446546022537,5.82998461465873,0.0128108576945468,0.0073963521384966,0.011885801429667,3,4
KLA31_21,GSE283812_T47D_vehicle,PXD060185,T-47D,cancer_cells,"cancer
cell lines",T-47D cells,22,6.34342979994663,6.34673388331152,0.0355476277287218,0.0177738138643609,0.045167901194513,4,4
KLA31_06,GSE114691_control_placenta,PXD063047,normal pregnancy placenta,normal_tissue,"non-tumor
tissues",Healthy human placenta,6,3.61504564515836,3.61974749228148,0.187043419788183,0.0408162204487025,0.172735418480598,21,1
KLA31_22,PC3M_DMSO,PXD063266,PC-3M,cancer_cells,"cancer
cell lines",Heavy SILAC-labeled PC-3M cells,23,5.8289270660702,5.81861061835145,0.0199909384954471,0.0115417737216996,0.017883394582082,3,4
KLA31_10,TCGA_ESCA_ESCC,PXD064038,MEC and NEC ESCC groups,cancer_tissue,"tumor
tissues",Independent ESCC tumor whole proteome,10,5.03772209557494,5.00918299447106,0.306900466098311,0.0314873234461711,0.355628645280668,95,2
KLA31_07,sperm_GroupI,PXD064912,human sperm,normal_tissue,"non-tumor
tissues",Human sperm,7,3.40800299334776,3.31034574994019,0.462172730708456,0.231086365354228,0.443087674409484,4,1
KLA31_08,GSE132714_BPH,PXD066054,BPH,normal_tissue,"non-tumor
tissues",Benign prostatic hyperplasia tissue,8,3.51777849887457,3.54686656988742,0.17048618470173,0.0401839791004053,0.176475985967612,18,1
