"ReferenceKey","GroupIDs","Samples","Genes","GenesWithoutLength","MedianLibrarySize","MinPairwiseSpearman","MedianZeroFraction","ValueRoute"
"GSE103520_MCF10A_control","KLA31_29",3,57413,6443,9182999664,0.970324005489762,0.413112012958738,"counts -> TPM (shared Ensembl 111 length table)"
"GSE114691_control_placenta","KLA31_06",21,51986,5919,37989376,0.889353156310463,0.392259454468511,"counts -> TPM (shared Ensembl 111 length table)"
"GSE119834_NSC","KLA31_30",8,27400,652,36624948,0.518979190139264,0.270547445255474,"counts -> TPM (shared Ensembl 111 length table)"
"GSE132714_BPH","KLA31_08",18,51986,NA,NA,0.340455694602368,0.286644481206479,"FPKM/RPKM -> TPM (shared Ensembl 111 length table)"
"GSE163787_TALL104","KLA31_17",1,30853,NA,NA,Inf,0.447638803357858,"FPKM/RPKM -> TPM (shared Ensembl 111 length table)"
"GSE171750_A549_untreated","KLA31_19",3,22360,53,8526808,0.991784557940815,0.378935599284436,"counts -> TPM (shared Ensembl 111 length table)"
"GSE181540_adjacent_NS_input","KLA31_04",3,19435,873,6719569,0.924797163859125,0.224028813995369,"FPKM/RPKM -> TPM (shared Ensembl 111 length table)"
"GSE181540_HS_input","KLA31_03",3,19435,873,6700721,0.901985333786642,0.25135065603293,"FPKM/RPKM -> TPM (shared Ensembl 111 length table)"
"GSE203529_HEK293T_WT","KLA31_25",3,60337,332,14571851,0.98649172509952,0.636143659777583,"counts -> TPM (shared Ensembl 111 length table)"
"GSE266884_MES28_vector_control","KLA31_23",4,27400,652,19189864,0.955863060162887,0.324616788321168,"counts -> TPM (shared Ensembl 111 length table)"
"GSE275256_HMC3_vehicle","KLA31_26",3,61365,179,16209823,0.986020464573677,0.646410820500285,"counts -> TPM (shared Ensembl 111 length table)"
"GSE283812_T47D_vehicle","KLA31_21",4,18815,5,13994593,0.996257064651418,0.259500398618124,"counts -> TPM (shared Ensembl 111 length table)"
"GTEx_v8_Hippocampus","KLA31_05",197,55442,758,63818624,0.592626878475511,0.471573897045561,"counts -> TPM (shared Ensembl 111 length table)"
"GTEx_v8_Lung","KLA31_02",578,55442,758,58624068.5,0.697106587265579,0.448685112369684,"counts -> TPM (shared Ensembl 111 length table)"
"HCT116_control","KLA31_14",3,58228,507,17107027,0.973306868784185,0.574088067596345,"counts -> TPM (shared Ensembl 111 length table)"
"HepG2_DMSO24h","KLA31_18",3,27400,652,6966830,0.954169184163859,0.418649635036496,"counts -> TPM (shared Ensembl 111 length table)"
"HK2_untreated","KLA31_27",3,27400,652,26618190,0.993716558298389,0.306934306569343,"counts -> TPM (shared Ensembl 111 length table)"
"HUVEC_untreated","KLA31_31",4,27400,652,13489081,0.858151284261062,0.367883211678832,"counts -> TPM (shared Ensembl 111 length table)"
"MCF7_DMSO7d","KLA31_13",3,27400,652,28430650,0.982287977511992,0.343722627737226,"counts -> TPM (shared Ensembl 111 length table)"
"MDAMB468_DMSO7d","KLA31_20",3,27400,652,19145471,0.990237805558225,0.375912408759124,"counts -> TPM (shared Ensembl 111 length table)"
"PC3M_DMSO","KLA31_22",3,27400,652,35878262,0.994506581930145,0.338759124087591,"counts -> TPM (shared Ensembl 111 length table)"
"RKO_DMSO","KLA31_24",3,58228,507,15480220,0.975610099730872,0.638490073504156,"counts -> TPM (shared Ensembl 111 length table)"
"sperm_GroupI","KLA31_07",4,27400,652,3884891.5,0.600508882865397,0.325492700729927,"counts -> TPM (shared Ensembl 111 length table)"
"TCGA_ESCA_ESCC","KLA31_10",95,60386,274,79008679,0.58332818118802,0.349981783857185,"counts -> TPM (shared Ensembl 111 length table)"
"TCGA_LIHC_normal","KLA31_09",50,60386,274,52808613.5,0.757658138645683,0.558970622329679,"counts -> TPM (shared Ensembl 111 length table)"
"TCGA_LIHC_primary","KLA31_12",371,60386,274,47879127,0.440611185763537,0.529510151359587,"counts -> TPM (shared Ensembl 111 length table)"
"TCGA_PRAD_primary","KLA31_11",501,60386,274,50209619,0.353615699067884,0.469777763057662,"counts -> TPM (shared Ensembl 111 length table)"
"tendon_nondiabetic","KLA31_01",3,27400,652,40587966,0.829768514151344,0.25456204379562,"counts -> TPM (shared Ensembl 111 length table)"
