GroupID,PXD,SampleGroup,ReferenceKey,ConnGroup,Ensembl,UniProt,Symbol,RNA,ReferenceUniqueAccessions,ProteinDetected,KlaDetected
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000167701,P24298,GPT,1.33405185895572,3984,0,0
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000168291,P11177,PDHB,4.38235211953169,3984,1,0
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000170571,Q6PCB8,EMB,5.56556613967835,3984,0,0
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000172270,P35613,BSG,7.28431636067889,3984,1,0
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000172340,Q96I99,SUCLG2,5.63948533079392,3984,1,0
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000172840,Q9P2J9,PDP2,2.19299691293806,3984,0,0
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000173599,P11498,PC,3.4416969376162,3984,1,0
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000198814,P32189,GK,2.40682915285061,3984,0,0
KLA31_01,PXD033146,pathological rotator cuff tendon,tendon_nondiabetic,1,ENSG00000256870,Q8N695,SLC5A8,-1,3984,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000004799,Q16654,PDK4,7.63511170059567,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000005882,Q15119,PDK2,3.15588945976751,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000060762,Q9Y5U8,MPC1,6.11827236215444,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000063854,Q16775,HAGH,4.45674031832711,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000067992,Q15120,PDK3,0.944270357488396,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000068976,P11217,PYGM,2.30659904074167,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000079739,P36871,PGM1,5.52766603131789,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000090861,P49588,AARS1,5.2848572137748,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000091140,P09622,DLD,5.01949429710254,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000100156,O95907,SLC16A8,1.27574606151189,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000100504,P06737,PYGL,5.34247178469658,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000100889,Q16822,PCK2,4.43535903431881,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000100994,P11216,PYGB,6.32071779139737,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000111716,P07195,LDHB,7.86914175703268,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000115159,P43304,GPD2,4.14220725582917,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000118596,O60669,SLC16A7,2.59998878676175,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000124253,P35558,PCK1,-0.644107203176705,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000124608,Q5JTZ9,AARS2,3.33242006232544,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000124767,Q04760,GLO1,6.79091362669673,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000130957,O00757,FBP2,0.1758229963747,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000131069,Q9NR19,ACSS2,5.84740544523995,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000131482,P35575,G6PC1,-0.947102597011733,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000131828,P08559,PDHA1,5.17463224786728,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000134333,P00338,LDHA,7.50400545699022,12358,1,1
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000136872,P05062,ALDOB,0.0590351441683808,12358,0,1
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000138030,P50053,KHK,1.72661388373198,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000141349,Q9BUM1,G6PC3,4.02275165765547,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000141526,O15427,SLC16A3,4.49662868531914,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000143158,O95563,MPC2,4.75583382098231,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000148942,Q1EHB4,SLC5A12,-0.897787549548098,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000149476,Q3LXA3,TKFC,3.19706132502784,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000150768,P10515,DLAT,3.50205759937864,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000152256,Q15118,PDK1,2.07642911027157,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000155380,P53985,SLC16A1,2.86014563651052,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000162688,P35573,AGL,3.23339358980795,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000163541,P53597,SUCLG1,5.360467818569,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000164951,Q9P0J1,PDP1,3.72933086003744,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000165140,P09467,FBP1,7.21678421654187,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000166123,Q8TD30,GPT2,1.83024814923879,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000166796,P07864,LDHC,-0.799183841885106,12358,0,0
