Model,GroupID,Ensembl,ConnGroup,Observed,InSample,Heldout
Protein_depth,KLA31_02,ENSG00000111716,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000115159,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000118596,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000124253,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000124608,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000124767,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000130957,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000131069,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000131482,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000131828,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000134333,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000136872,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000138030,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000141349,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000141526,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000143158,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000148942,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000149476,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000150768,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000152256,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000155380,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000162688,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000163541,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000164951,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000165140,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000166123,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000166796,2,0,0.770983302267622,0.800275316887556
