Model,Outcome,N,Positives,Prevalence,InSampleAUC,HeldoutAUC,InSampleAP,HeldoutAP,InSampleBrier,HeldoutBrier,RNACoefficient,ProteinCoefficient
Protein_depth,ProteinDetected,1581,928,0.58697027197976,0.629691543011037,0.612606933516397,0.67684067164116,0.664175768632705,0.230840934642888,0.233598002015101,,
Protein_RNA,ProteinDetected,1581,928,0.58697027197976,0.823980501135343,0.803398274541902,0.846097019400218,0.831808141456,0.163501855348764,0.172595470438503,0.515135143612898,
Protein_RNA_depth,ProteinDetected,1581,928,0.58697027197976,0.862879217933147,0.853676004646987,0.881844945084651,0.87456013590689,0.143559010708502,0.148803004051674,0.600417184739498,
Protein_gene_depth,ProteinDetected,1581,928,0.58697027197976,0.938838319163542,0.912439107303163,0.956595188187131,0.930994589754437,0.0946407735493159,0.112796833574015,,
Protein_gene_RNA_depth,ProteinDetected,1581,928,0.58697027197976,0.948473887099329,0.921410466282938,0.962204220453613,0.936711988555915,0.085515440865008,0.105380752203567,0.424014190648999,
Kla_protein_depth,KlaDetected,1581,175,0.110689437065149,0.722156065840276,0.574490957122536,0.182153275870799,0.126205100781815,0.0916077238809383,0.0995182841258722,,2.84014723364148
Kla_RNA_protein_depth,KlaDetected,1581,175,0.110689437065149,0.813304206462101,0.73345051818736,0.346916164528873,0.248603577412703,0.0845383616421654,0.0954604712932272,0.321956249558938,1.87541165343538
Kla_gene_protein_depth,KlaDetected,1581,175,0.110689437065149,0.88735216419427,0.759577321682585,0.484102091922512,0.326229715057383,0.0727880236162571,0.090935623647039,,2.5566215427025
Kla_gene_RNA_protein_depth,KlaDetected,1581,175,0.110689437065149,0.900215403373298,0.771814671814672,0.516237072557334,0.331993771838667,0.0709462152988749,0.0927433091552569,0.286082260904332,2.03593418850817
