Model,ConnGroup,N,Positives,AUC,AveragePrecision,Brier
Protein_depth,1,51,28,0.5,0.549019607843137,0.24906339697258
Protein_depth,2,102,67,0.489125799573561,0.652033947907521,0.242834527317619
Protein_depth,3,102,38,0.520970394736842,0.382868937048504,0.233911107289711
Protein_depth,4,51,37,0.5,0.725490196078431,0.211376566785394
Protein_depth,5,51,46,0.5,0.901960784313725,0.119381463110032
Protein_depth,6,102,75,0.512592592592593,0.740261437908497,0.197540638468631
Protein_depth,7,102,74,0.549227799227799,0.746157922628511,0.231844436157843
Protein_depth,8,51,37,0.5,0.725490196078431,0.200995342951404
Protein_depth,9,561,276,0.564836003051106,0.568564998829278,0.249396333529221
Protein_depth,10,51,33,0.5,0.647058823529412,0.228379955441302
Protein_depth,11,51,25,0.5,0.490196078431373,0.292460483932713
Protein_depth,12,102,68,0.522058823529412,0.676758938869666,0.221974785674588
Protein_depth,13,51,33,0.5,0.647058823529412,0.22910790381091
Protein_depth,14,102,56,0.5,0.549019607843137,0.247902243710818
Protein_depth,15,51,35,0.5,0.686274509803922,0.215397803403949
Protein_RNA,1,51,28,0.763198757763975,0.768708120791048,0.205740375333084
Protein_RNA,2,102,67,0.93091684434968,0.937046607580679,0.123568608957706
Protein_RNA,3,102,38,0.790296052631579,0.694285997147674,0.249085161228529
Protein_RNA,4,51,37,0.861003861003861,0.93658364860779,0.182804124146451
Protein_RNA,5,51,46,0.880434782608696,0.984434095916423,0.343939245804803
Protein_RNA,6,102,75,0.866172839506173,0.930679062592467,0.124570594351843
Protein_RNA,7,102,74,0.819498069498069,0.883199572237748,0.132602875258019
Protein_RNA,8,51,37,0.841698841698842,0.931610250244414,0.156769446365347
Protein_RNA,9,561,276,0.867569285532672,0.854442878950594,0.181527442346427
Protein_RNA,10,51,33,0.801346801346801,0.859448222399096,0.213684115436111
Protein_RNA,11,51,25,0.873076923076923,0.891579831932773,0.178467114282611
Protein_RNA,12,102,68,0.92560553633218,0.954016882482775,0.140102420803468
Protein_RNA,13,51,33,0.971380471380471,0.983865655907948,0.0763667735843042
Protein_RNA,14,102,56,0.802795031055901,0.780912056653016,0.173065534042504
Protein_RNA,15,51,35,0.955357142857143,0.977497202113979,0.109896133546037
Protein_RNA_depth,1,51,28,0.763198757763975,0.768708120791048,0.202053965874451
Protein_RNA_depth,2,102,67,0.921535181236674,0.92842788867884,0.149097500527036
Protein_RNA_depth,3,102,38,0.790296052631579,0.694285997147674,0.184786685714968
Protein_RNA_depth,4,51,37,0.861003861003861,0.93658364860779,0.167869817934515
Protein_RNA_depth,5,51,46,0.880434782608696,0.984434095916423,0.168920684144327
Protein_RNA_depth,6,102,75,0.865679012345679,0.930536051523802,0.103499278054977
Protein_RNA_depth,7,102,74,0.827220077220077,0.890864652973697,0.141504661527245
Protein_RNA_depth,8,51,37,0.841698841698842,0.931610250244414,0.141380319683392
Protein_RNA_depth,9,561,276,0.880326722603611,0.869518234042543,0.148527605192478
Protein_RNA_depth,10,51,33,0.801346801346801,0.859448222399096,0.189729068488464
Protein_RNA_depth,11,51,25,0.873076923076923,0.891579831932773,0.230585229163773
Protein_RNA_depth,12,102,68,0.920847750865052,0.950695983921491,0.112999786337966
Protein_RNA_depth,13,51,33,0.971380471380471,0.983865655907948,0.0701704155395089
Protein_RNA_depth,14,102,56,0.802795031055901,0.780912056653016,0.170976769471654
Protein_RNA_depth,15,51,35,0.955357142857143,0.977497202113979,0.0826506043885071
Protein_gene_depth,1,51,28,0.909937888198758,0.935495711593648,0.129621248914882
Protein_gene_depth,2,102,67,0.902132196162047,0.938744650302965,0.144514561718053
Protein_gene_depth,3,102,38,0.884868421052632,0.805784720680922,0.134185981543359
Protein_gene_depth,4,51,37,0.967181467181467,0.987306573727932,0.0939734898262753
