UniProt,Term,AnnotationID,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation,Ensembl,Entrez,Symbol,Experimental,CommonMatrix
A0ACI8S674,GO:0006096,UniProtKB:A0ACI8S674!26687101,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE,ENSG00000141959,,PFKL,FALSE,TRUE
A0ACI8S675,GO:0006096,UniProtKB:A0ACI8S675!444940664,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE,ENSG00000102144,,PGK1,FALSE,TRUE
A0ACI8S705,GO:0006099,UniProtKB:A0ACI8S705!86429106,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,CS,FALSE,TRUE,ENSG00000062485,,CS,FALSE,TRUE
A0ACI8S881,GO:0006094,UniProtKB:A0ACI8S881!116325510,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PC,FALSE,TRUE,ENSG00000173599,,PC,FALSE,TRUE
A0ACI8S926,GO:0006094,UniProtKB:A0ACI8S926!235810460,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000117,9606,UniProt,20260727,GAPDH,FALSE,TRUE,ENSG00000111640,,GAPDH,FALSE,TRUE
A0ACI8S968,GO:0006099,UniProtKB:A0ACI8S968!146200885,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,IDH3A,FALSE,TRUE,ENSG00000166411,,IDH3A,FALSE,TRUE
A0ACI8S9Z1,GO:0006096,UniProtKB:A0ACI8S9Z1!295573740,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE,ENSG00000141959,,PFKL,FALSE,TRUE
A0ACI8S9Z1,GO:0006096,UniProtKB:A0ACI8S9Z1!295573743,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE,ENSG00000141959,,PFKL,FALSE,TRUE
A0ACI8SBF0,GO:0006096,UniProtKB:A0ACI8SBF0!265710047,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK1,FALSE,TRUE,ENSG00000156515,,HK1,FALSE,TRUE
A0ACI8SBN9,GO:0006096,UniProtKB:A0ACI8SBN9!116325729,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE,ENSG00000141959,,PFKL,FALSE,TRUE
