UniProt,GeneName,Ensembl
O00757,FBP2,ENSG00000130957
O15427,SLC16A3,ENSG00000141526
O60669,SLC16A7,ENSG00000118596
O95563,MPC2,ENSG00000143158
O95907,SLC16A8,ENSG00000100156
P00338,LDHA,ENSG00000134333
P00338,LDHA,ENSG00000288299
P05062,ALDOB,ENSG00000136872
P06737,PYGL,ENSG00000100504
P07195,LDHB,ENSG00000111716
P07864,LDHC,ENSG00000166796
P08559,PDHA1,ENSG00000131828
P09467,FBP1,ENSG00000165140
P09622,DLD,ENSG00000091140
P10515,DLAT,ENSG00000150768
P11177,PDHB,ENSG00000168291
P11216,PYGB,ENSG00000100994
P11217,PYGM,ENSG00000068976
P11498,PC,ENSG00000173599
P21695,GPD1,ENSG00000167588
P24298,GPT,ENSG00000167701
P32189,GK,ENSG00000198814
P35558,PCK1,ENSG00000124253
P35573,AGL,ENSG00000162688
P35575,G6PC1,ENSG00000131482
P35613,BSG,ENSG00000172270
P36871,PGM1,ENSG00000079739
P43304,GPD2,ENSG00000115159
P49588,AARS1,ENSG00000090861
P50053,KHK,ENSG00000138030
P53597,SUCLG1,ENSG00000163541
P53985,SLC16A1,ENSG00000155380
P53985,SLC16A1,ENSG00000281917
Q04760,GLO1,ENSG00000124767
Q15118,PDK1,ENSG00000152256
Q15119,PDK2,ENSG00000005882
Q15120,PDK3,ENSG00000067992
Q16654,PDK4,ENSG00000004799
Q16775,HAGH,ENSG00000063854
Q16822,PCK2,ENSG00000100889
Q16822,PCK2,ENSG00000285241
Q1EHB4,SLC5A12,ENSG00000148942
Q3LXA3,TKFC,ENSG00000149476
Q5JTZ9,AARS2,ENSG00000124608
Q6PCB8,EMB,ENSG00000170571
Q86WU2,LDHD,ENSG00000166816
Q8N695,SLC5A8,ENSG00000256870
Q8N695,SLC5A8,ENSG00000262217
Q8TD30,GPT2,ENSG00000166123
Q96I99,SUCLG2,ENSG00000172340
Q9BUM1,G6PC3,ENSG00000141349
Q9NR19,ACSS2,ENSG00000131069
Q9P0J1,PDP1,ENSG00000164951
Q9P2J9,PDP2,ENSG00000172840
Q9Y5U8,MPC1,ENSG00000060762
