Term,AnnotationID,UniProt,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation
GO:0006096,UniProtKB:A0ACI8QFM0!56566159,A0ACI8QFM0,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGAM1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QGY5!205916222,A0ACI8QGY5,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QGY5!205916225,A0ACI8QGY5,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QJH3!325442505,A0ACI8QJH3,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,ADPGK,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QKZ4!56566524,A0ACI8QKZ4,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKP,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QKZ4!56566527,A0ACI8QKZ4,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKP,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QLY6!56566578,A0ACI8QLY6,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QM05!26682748,A0ACI8QM05,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QM05!26682751,A0ACI8QM05,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QMK3!295569239,A0ACI8QMK3,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO1,FALSE,TRUE
