UniProt,Ensembl,Entrez,Symbol
A0A087WWT1,ENSG00000117118,"",SDHB
A0A087WXX8,ENSG00000117118,"",SDHB
A0A087WZN1,ENSG00000101365,3420,IDH3B
A0A087X2E5,ENSG00000101365,3420,IDH3B
A0A0A0MRZ0,ENSG00000067225,5315,PKM
A0A0C4DGI3,ENSG00000062485,"",CS
A0A0J9YX90,ENSG00000282019,"",GPI
A0A0J9YXH9,ENSG00000282019,"",GPI
A0A0J9YXM3,ENSG00000282019,"",GPI
A0A0J9YXP8,ENSG00000282019,"",GPI
A0A0J9YYH3,ENSG00000282019,"",GPI
A0A0J9YYI8,ENSG00000282019,"",GPI
A0A0U1RQF8,ENSG00000136143,"",SUCLA2
A0A0U1RQU7,ENSG00000136143,"",SUCLA2
A0A0U1RRI1,ENSG00000136143,"",SUCLA2
A0A2R8Y5P4,ENSG00000136143,"",SUCLA2
A0A2R8Y5P6,ENSG00000136143,"",SUCLA2
A0A2R8Y6C7,ENSG00000105220,"",GPI
A0A2R8Y6E6,ENSG00000136143,"",SUCLA2
A0A2R8Y6G6,ENSG00000074800,2023,ENO1
A0A2R8Y6Y7,ENSG00000136143,"",SUCLA2
A0A2R8Y798,ENSG00000074800,"",ENO1
A0A2R8Y879,ENSG00000074800,"",ENO1
A0A2R8Y891,ENSG00000152556,5213,PFKM
A0A2R8YDQ9,ENSG00000136143,"",SUCLA2
A0A2R8YEG5,ENSG00000074800,"",ENO1
A0A2R8YEM5,ENSG00000074800,"",ENO1
A0A2R8YF08,ENSG00000105220,"",GPI
A0A2U3TZU2,ENSG00000105220,2821,GPI
A0A3B3IS80,ENSG00000136872,"",ALDOB
A0A3B3ITZ0,ENSG00000136872,"",ALDOB
A0A3B3IUC7,ENSG00000165140,"",FBP1
A0A494C1T6,ENSG00000286001,"",""
A0A5F9ZGW4,ENSG00000106633,2645,GCK
A0A5F9ZHE0,ENSG00000106633,"",GCK
A0A5H1ZRQ0,ENSG00000188316,"",ENO4
A0A7I2V3F1,ENSG00000100412,"",ACO2
