Term,Module,Definition,Obsolete
GO:0006089,lactate metabolic process,"The chemical reactions and pathways involving lactate, the anion of lactic acid.",FALSE
GO:0006094,gluconeogenesis,"The formation of glucose from noncarbohydrate precursors, such as pyruvate, amino acids and glycerol.",FALSE
GO:0006096,glycolysis,"The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules.",FALSE
GO:0006099,tricarboxylic acid cycle,"A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle.",FALSE
GO:0015727,lactate transport,"The directed movement of lactate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lactate is 2-hydroxypropanoate, CH3-CHOH-COOH; L(+)-lactate is formed by anaerobic glycolysis in animal tissues, and DL-lactate is found in sour milk, molasses and certain fruit juices.",FALSE
GO:0019244,pyruvate fermentation to lactate,The anaerobic chemical reactions and pathways resulting in the breakdown of pyruvate into D-lactate or L-lactate.,FALSE
