run_accession	experiment_accession	sample_accession	sample_title	scientific_name	library_strategy	library_source	library_selection	fastq_ftp	fastq_md5
SRR13296313	SRX9725232	SAMN17149427	Jurkat	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/013/SRR13296313/SRR13296313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/013/SRR13296313/SRR13296313_2.fastq.gz	d6ac7b5730d125464a165b3aafcbd714;e9cc622208a0d517450ffb4ba99b216d
SRR13296315	SRX9725234	SAMN17149425	EL4	Mus musculus	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/015/SRR13296315/SRR13296315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/015/SRR13296315/SRR13296315_2.fastq.gz	b3137fca454691a262b41f79758cf64f;7d4ea92215ddaf8ca2618e6d806ecc07
SRR13296314	SRX9725233	SAMN17149426	TALL104	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/014/SRR13296314/SRR13296314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/014/SRR13296314/SRR13296314_2.fastq.gz	5a80428055ff6635f87158212911063e;c5c7c4e197d3851c28009536a12ef9d0
SRR13296316	SRX9725235	SAMN17149424	IVA12	Mus musculus	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/016/SRR13296316/SRR13296316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/016/SRR13296316/SRR13296316_2.fastq.gz	af8aa23811d0a587deaaa86eaea5acc9;9136e4b84f9f925e8691ee3c73074536
