run_accession	experiment_accession	sample_accession	sample_title	scientific_name	library_strategy	library_source	library_selection	fastq_ftp	fastq_md5
SRR29337548	SRX24853691	SAMN41767794	HK2 cells, normoxia, TGF-β1, biol rep 3, RNA 10	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/048/SRR29337548/SRR29337548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/048/SRR29337548/SRR29337548_2.fastq.gz	ac09a0bd5ffb2808873c232935e9445f;2a2a248ef791d38739d846c62267a589
SRR29337550	SRX24853689	SAMN41767796	HK2 cells, normoxia, TGF-β1, biol rep 1, RNA 08	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/050/SRR29337550/SRR29337550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/050/SRR29337550/SRR29337550_2.fastq.gz	5084d6d642ab640bd27bf08726b90328;e07aedb3657bd1d9ea16c1084481d0ab
SRR29337551	SRX24853688	SAMN41767797	HK2 cells, normoxia, solvent control, biol rep 4, RNA 07	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/051/SRR29337551/SRR29337551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/051/SRR29337551/SRR29337551_2.fastq.gz	03ff5be9d9a4d748d4251cc7d2721f25;4c033c4fe8f454059920f3a0febba931
SRR29337552	SRX24853687	SAMN41767798	HK2 cells, normoxia, solvent control, biol rep 3, RNA 06	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/052/SRR29337552/SRR29337552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/052/SRR29337552/SRR29337552_2.fastq.gz	e03718e678fc5599ddb70e616241c4f9;751d399e91b9521d868f16105baa89e6
SRR29337536	SRX24853703	SAMN41767782	HK2 cells, hypoxia, solvent control, biol rep 1, RNA 31	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/036/SRR29337536/SRR29337536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/036/SRR29337536/SRR29337536_2.fastq.gz	5682b1103ec884257b9b80eba5047b42;541a1ac69f2265a9a2bd7bc011f39972
SRR29337538	SRX24853701	SAMN41767784	HK2 cells, hypoxia, sGC activator, biol rep 2, RNA 22	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/038/SRR29337538/SRR29337538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/038/SRR29337538/SRR29337538_2.fastq.gz	239a5ebee39eed0ab5baa28e0737c1ae;31e5c2a95f94b3505a6ae7e16b5025ec
SRR29337547	SRX24853692	SAMN41767793	HK2 cells, normoxia, TGF-β1, biol rep 4, RNA 11	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/047/SRR29337547/SRR29337547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/047/SRR29337547/SRR29337547_2.fastq.gz	92f0282545e252faeab3c6fee9948b1a;493bfad18faf0e613ec9304ed273b306
SRR29337557	SRX24853682	SAMN41767803	HK2 cells, normoxia, sGC activator, biol rep 1, RNA 01	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/057/SRR29337557/SRR29337557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/057/SRR29337557/SRR29337557_2.fastq.gz	059f45455ab7ee945565e93bb9f037f3;294af6cd023e4170c49a875a7ec22697
SRR29337534	SRX24853705	SAMN41767780	HK2 cells, hypoxia, solvent control, biol rep 3, RNA 33	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/034/SRR29337534/SRR29337534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/034/SRR29337534/SRR29337534_2.fastq.gz	9635293b2214f405b1e20fb624b7a512;c1da173755f4eee612074d007504c551
SRR29337545	SRX24853694	SAMN41767791	HK2 cells, normoxia, TGF-β1+ sGC activator, biol rep 1, RNA 13	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/045/SRR29337545/SRR29337545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/045/SRR29337545/SRR29337545_2.fastq.gz	51cbb65fcfbc31157bc698cba7f239e4;d9e49ea0228f24aeae3a0651a65f1ef0
SRR29337549	SRX24853690	SAMN41767795	HK2 cells, normoxia, TGF-β1, biol rep 2, RNA 09	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/049/SRR29337549/SRR29337549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/049/SRR29337549/SRR29337549_2.fastq.gz	f9d009e528ccd80b8e6c0aad8072dc2c;c14c722ffbdfac87a2fb00f0725d17db
SRR29337554	SRX24853685	SAMN41767800	HK2 cells, normoxia, solvent control, biol rep 1, RNA 04	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/054/SRR29337554/SRR29337554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/054/SRR29337554/SRR29337554_2.fastq.gz	086ca1d65fcf3e6779bf8e102fd2a39a;a5c08d817db200efcadf322c6bfc6a99
