run_accession	experiment_accession	sample_accession	sample_title	scientific_name	library_strategy	library_source	library_selection	fastq_ftp	fastq_md5
SRR7188852	SRX4105576	SAMN09230298	Control7	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/002/SRR7188852/SRR7188852.fastq.gz	a68f62301f928019b3ba4b55058e05aa
SRR7188860	SRX4105584	SAMN09230290	Control15	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188860/SRR7188860.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188860/SRR7188860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188860/SRR7188860_2.fastq.gz	220f96fc5cfbc7973c53ba799400eb1c;fc10f0552f08a034831604c61acb0e97;b813f2d1e88b95625175bcce61348815
SRR7188863	SRX4105587	SAMN09230287	Control18	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/003/SRR7188863/SRR7188863.fastq.gz	ebdd98ed3bf600a9283903915b821040
SRR7188872	SRX4105596	SAMN09230278	PE6	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/002/SRR7188872/SRR7188872.fastq.gz	5ff65639e5c71d6334c6b0584f4fe89a
SRR7188875	SRX4105599	SAMN09230275	PE9	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7188875/SRR7188875.fastq.gz	253b614821d687b7dc4c58208e6f2eb5
SRR7188885	SRX4105609	SAMN09230255	PE19	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7188885/SRR7188885.fastq.gz	931053869ef4d75347b97b7a08e8fbaa
SRR7188889	SRX4105613	SAMN09230251	PEIUGR3	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/009/SRR7188889/SRR7188889.fastq.gz	b3f2dc1c5656bb3172b61cff29c9c7be
SRR7188890	SRX4105614	SAMN09230250	PEIUGR4	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188890/SRR7188890.fastq.gz	74049330ebce04d5c9e8292e5ba4ebf4
SRR7188892	SRX4105616	SAMN09230248	PEIUGR6	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/002/SRR7188892/SRR7188892.fastq.gz	7ae1ab4bbee2add025165a47ff2d785d
SRR7188896	SRX4105620	SAMN09230244	PEIUGR10	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/006/SRR7188896/SRR7188896.fastq.gz	62098406678dd0764471d1480ad9dea8
SRR7188907	SRX4105631	SAMN09230309	IUGR1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7188907/SRR7188907.fastq.gz	4186e6b4061563bc2eae2f4d3a01f8bc
SRR7188917	SRX4105641	SAMN09230221	IUGR11	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7188917/SRR7188917.fastq.gz	39d405e63d519b17ea514842f142838a
SRR7188919	SRX4105643	SAMN09230219	IUGR13	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/009/SRR7188919/SRR7188919.fastq.gz	2776514387dfee3cb282d89d88de4c2a
SRR7188920	SRX4105644	SAMN09230218	IUGR14	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188920/SRR7188920.fastq.gz	3474517a150dfaafb9507b039ffefaa7
SRR7188921	SRX4105645	SAMN09230217	IUGR15	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7188921/SRR7188921.fastq.gz	b6cb7677889280a5a12cef711d0ea7f3
SRR7188850	SRX4105574	SAMN09230300	Control5	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188850/SRR7188850.fastq.gz	e841446e84583a8c28ed447a66336bc1
SRR7188854	SRX4105578	SAMN09230296	Control9	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/004/SRR7188854/SRR7188854.fastq.gz	26ffb1fd2c9b9b6443db4aac924b7e1f
SRR7188861	SRX4105585	SAMN09230289	Control16	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7188861/SRR7188861.fastq.gz	a75afbdc7746c900c2d1530994b02ba0
SRR7188862	SRX4105586	SAMN09230288	Control17	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/002/SRR7188862/SRR7188862.fastq.gz	5e43d05daa0dfce956e2f3df0d4a7795
