run_accession	experiment_accession	sample_accession	sample_title	scientific_name	library_strategy	library_source	library_selection	fastq_ftp	fastq_md5
SRR9298758	SRX6068094	SAMN12052538	BPH_2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/008/SRR9298758/SRR9298758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/008/SRR9298758/SRR9298758_2.fastq.gz	e92d933ef8616ca616928c1c551f7cef;4c4df2f0d340c12edc41168662cf897d
SRR9298763	SRX6068099	SAMN12052545	BPH_7	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/003/SRR9298763/SRR9298763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/003/SRR9298763/SRR9298763_2.fastq.gz	8f9357d2fbb80bb9c305e5972cdc6f03;c86b5dd944ed413e262f60472054f57b
SRR9298771	SRX6068107	SAMN12052531	BPH_15	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/001/SRR9298771/SRR9298771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/001/SRR9298771/SRR9298771_2.fastq.gz	31a1efb48baa67fac1eace7338d7e867;e8428bd415b53fe8e7fe59760cad099f
SRR9298774	SRX6068110	SAMN12052528	BPH_18	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/004/SRR9298774/SRR9298774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/004/SRR9298774/SRR9298774_2.fastq.gz	961f6d9f1449222ee3eb3d1d1897c7fd;b2a219aba5ef16c559a6629dd9ed8b3e
SRR9298778	SRX6068114	SAMN12052524	Ctrl_4	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/008/SRR9298778/SRR9298778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/008/SRR9298778/SRR9298778_2.fastq.gz	e40e600763a34338901504dea49d5855;44151d07c3f52114eac191089e74f403
SRR9298759	SRX6068095	SAMN12052537	BPH_3	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/009/SRR9298759/SRR9298759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/009/SRR9298759/SRR9298759_2.fastq.gz	ad9a93fc5bb4a86ee5c92c305865f155;3013131a94ec0515244fc12ffe8dab9b
SRR9298765	SRX6068101	SAMN12052543	BPH_9	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/005/SRR9298765/SRR9298765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/005/SRR9298765/SRR9298765_2.fastq.gz	e6925c52cb0538bda1b0f9e990e4da2c;c6b74f1a1d1dd9bf74ed19b87d0714f0
SRR9298769	SRX6068105	SAMN12052533	BPH_13	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/009/SRR9298769/SRR9298769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/009/SRR9298769/SRR9298769_2.fastq.gz	7c54aafe4ed488440f82637b317f81a8;132c3d8bf9deeffe6743e92665962adb
SRR9298770	SRX6068106	SAMN12052532	BPH_14	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/000/SRR9298770/SRR9298770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/000/SRR9298770/SRR9298770_2.fastq.gz	51ced6952179c5eacdfc82faaf470af1;a1ccb3465e3bb574cca47e16b73a34e2
SRR9298772	SRX6068108	SAMN12052530	BPH_16	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/002/SRR9298772/SRR9298772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/002/SRR9298772/SRR9298772_2.fastq.gz	e7eb8949499258ae4de6ddae4faae061;66fcc5964e0a10dddbf311a7441a7f72
