run_accession	experiment_accession	sample_accession	sample_title	scientific_name	library_strategy	library_source	library_selection	fastq_ftp	fastq_md5
SRR6007922	SRX3162207	SAMN07606501	BT474_24hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/002/SRR6007922/SRR6007922.fastq.gz	7151c3102608c31ddff01c38a936eb1c
SRR6007923	SRX3162207	SAMN07606501	BT474_24hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/003/SRR6007923/SRR6007923.fastq.gz	7037c0d0ead102e4dadf1d780ee6d4bb
SRR6007937	SRX3162211	SAMN07606524	BT474_72hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/007/SRR6007937/SRR6007937.fastq.gz	d939f129d24bb619aa80e6fa01ca6e19
SRR6007940	SRX3162212	SAMN07606523	BT474_72hrs_rep2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/000/SRR6007940/SRR6007940.fastq.gz	0e1faf0e01a6c9e656e31e7f9e8b593c
SRR6007946	SRX3162213	SAMN07606522	BT474_C_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/006/SRR6007946/SRR6007946.fastq.gz	c97a33462dafb44b5f84a8c8ab3d381b
SRR6007949	SRX3162214	SAMN07606521	BT474_C_rep2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/009/SRR6007949/SRR6007949.fastq.gz	e01a58a20fef8641ae67f86b3bae3239
SRR6007952	SRX3162215	SAMN07606520	BT549_24hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/002/SRR6007952/SRR6007952.fastq.gz	4c4acf21ad9111613ee0d2fe5120cec6
SRR6007953	SRX3162215	SAMN07606520	BT549_24hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/003/SRR6007953/SRR6007953.fastq.gz	4993f0afffd7be455ee39b119bcd666e
SRR6007957	SRX3162216	SAMN07606519	BT549_24hrs_rep2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/007/SRR6007957/SRR6007957.fastq.gz	75983ad20fa0cd21d2786e48038264ca
SRR6007960	SRX3162217	SAMN07606518	BT549_48hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/000/SRR6007960/SRR6007960.fastq.gz	4108c0886b4f67e6b546717965031b08
SRR6007963	SRX3162217	SAMN07606518	BT549_48hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/003/SRR6007963/SRR6007963.fastq.gz	ff6c8031f55af46034cc9a7ed6050c5a
SRR6007983	SRX3162222	SAMN07606513	BT549_C_rep2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/003/SRR6007983/SRR6007983.fastq.gz	bf1518b05d302f4b56ab547395498fef
SRR6007984	SRX3162223	SAMN07606512	MCF7_24hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/004/SRR6007984/SRR6007984.fastq.gz	32b60b6d6995ef4d9fe9ae3e7bdd0f7a
SRR6007987	SRX3162223	SAMN07606512	MCF7_24hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/007/SRR6007987/SRR6007987.fastq.gz	2a6cf80b9d73c9776e17778bf0906b2d
SRR6007989	SRX3162224	SAMN07606511	MCF7_24hrs_rep2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/009/SRR6007989/SRR6007989.fastq.gz	b9c0774e18d33be900a31ee6930652d9
SRR6007992	SRX3162225	SAMN07606510	MCF7_48hrs_rep1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/002/SRR6007992/SRR6007992.fastq.gz	06f88af2bbecc644f6f2d7906afd9331
