RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,ReferencePXD,ProteinCount,DdrProteinCount,DdrFraction,DdrFractionPercentage,FrozenKlaProteinCount,FrozenKlaDdrProteinCount,FrozenKlaDdrFraction,FrozenReferenceProteinCount,FrozenReferenceDdrProteinCount,FrozenReferenceDdrFraction,SourceKey,ReusedAcrossSampleGroups
12,PXD075377,HCC,cancer_tissue,HCC tissue,Whole proteome,Rec3,Rec3,Rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,5188,271,0.0522359290670779,5.22359290670779,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD065775|Rec3|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Rec3,Rec3,Rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD065775|Rec3|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
12,PXD075377,HCC,cancer_tissue,HCC tissue,Whole proteome,Rec4,Rec4,Rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,5188,271,0.0522359290670779,5.22359290670779,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD065775|Rec4|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Rec4,Rec4,Rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD065775|Rec4|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
30,PXD058534,pretreated HK-2,normal_cells,HK-2 cells (IR-CM treated),Whole proteome,amostra1,amostra1,untreated control,sample,deposited_sample_table,PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,PXD072220,4684,298,0.0636208368915457,6.36208368915457,2164,220,10.1663585951941,4897,304,6.20788237696549,PXD072220|amostra1|PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,TRUE
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),Whole proteome,amostra1,amostra1,untreated control,sample,deposited_sample_table,PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,PXD072220,4684,298,0.0636208368915457,6.36208368915457,1250,132,10.56,4897,304,6.20788237696549,PXD072220|amostra1|PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,TRUE
30,PXD058534,pretreated HK-2,normal_cells,HK-2 cells (IR-CM treated),Whole proteome,amostra3,amostra3,untreated control,sample,deposited_sample_table,PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,PXD072220,4597,286,0.0622144877093757,6.22144877093757,2164,220,10.1663585951941,4897,304,6.20788237696549,PXD072220|amostra3|PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,TRUE
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),Whole proteome,amostra3,amostra3,untreated control,sample,deposited_sample_table,PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,PXD072220,4597,286,0.0622144877093757,6.22144877093757,1250,132,10.56,4897,304,6.20788237696549,PXD072220|amostra3|PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,TRUE
30,PXD058534,pretreated HK-2,normal_cells,HK-2 cells (IR-CM treated),Whole proteome,amostra4,amostra4,untreated control,sample,deposited_sample_table,PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,PXD072220,4764,299,0.0627623845507977,6.27623845507977,2164,220,10.1663585951941,4897,304,6.20788237696549,PXD072220|amostra4|PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,TRUE
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),Whole proteome,amostra4,amostra4,untreated control,sample,deposited_sample_table,PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,PXD072220,4764,299,0.0627623845507977,6.27623845507977,1250,132,10.56,4897,304,6.20788237696549,PXD072220|amostra4|PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,TRUE
