Model,candidate_lambda,inner_mean_logloss,selected,ConnGroup
MP_cal,0.05,0.580386396254259,TRUE,1
MP_cal,0.1,0.580386501035787,FALSE,1
MP_cal,0.3,0.580386926068888,FALSE,1
MP_cal,1,0.580388487883296,FALSE,1
ME,0.05,0.678914425974678,FALSE,1
ME,0.1,0.678913717708838,FALSE,1
ME,0.3,0.678910886071487,FALSE,1
ME,1,0.67890099327944,TRUE,1
ME2,0.05,0.701821988855517,FALSE,1
ME2,0.1,0.701820293772441,FALSE,1
ME2,0.3,0.701813516304563,FALSE,1
ME2,1,0.701789831193605,TRUE,1
ME_P,0.05,0.589410697667234,FALSE,1
ME_P,0.1,0.58940970625577,FALSE,1
ME_P,0.3,0.58940574919309,FALSE,1
ME_P,1,0.589392007288489,TRUE,1
ME2P,0.05,0.622233748934061,FALSE,1
ME2P,0.1,0.622229838638997,FALSE,1
ME2P,0.3,0.622214213800103,FALSE,1
ME2P,1,0.622159732135185,TRUE,1
XEN,0.05,0.719290956570522,FALSE,1
XEN,0.1,0.71928793834359,FALSE,1
XEN,0.3,0.719275870747481,FALSE,1
XEN,1,0.719233700963334,TRUE,1
MP_cal,0.05,0.57973605360776,TRUE,2
MP_cal,0.1,0.579736102545509,FALSE,2
MP_cal,0.3,0.57973630474143,FALSE,2
MP_cal,1,0.579737093377809,FALSE,2
ME,0.05,0.680270640719368,FALSE,2
ME,0.1,0.680270005410963,FALSE,2
ME,0.3,0.680267465418466,FALSE,2
ME,1,0.680258591058097,TRUE,2
ME2,0.05,0.703742604789884,FALSE,2
ME2,0.1,0.703741049097122,FALSE,2
ME2,0.3,0.703734828641042,FALSE,2
ME2,1,0.703713086165558,TRUE,2
ME_P,0.05,0.588666633951082,FALSE,2
ME_P,0.1,0.588665571108919,FALSE,2
ME_P,0.3,0.588661329095004,FALSE,2
ME_P,1,0.588646599541865,TRUE,2
ME2P,0.05,0.62060982223411,FALSE,2
ME2P,0.1,0.620605974280233,FALSE,2
ME2P,0.3,0.620590599574535,FALSE,2
ME2P,1,0.620537002993994,TRUE,2
XEN,0.05,0.720813476366695,FALSE,2
XEN,0.1,0.72081064081088,FALSE,2
XEN,0.3,0.720799303206143,FALSE,2
XEN,1,0.720759679681766,TRUE,2
MP_cal,0.05,0.57103865204048,TRUE,3
MP_cal,0.1,0.571038858696482,FALSE,3
MP_cal,0.3,0.571039691002564,FALSE,3
MP_cal,1,0.571042675450323,FALSE,3
ME,0.05,0.669326395867964,FALSE,3
ME,0.1,0.669325840836674,FALSE,3
ME,0.3,0.669323622007018,FALSE,3
ME,1,0.669315872398716,TRUE,3
ME2,0.05,0.690922729647808,FALSE,3
ME2,0.1,0.690921276978806,FALSE,3
ME2,0.3,0.690915468947636,FALSE,3
ME2,1,0.690895174099121,TRUE,3
