Type,Model,dropped_group,LogLoss,AP
S1 (Eval Drop),MP,1,0.575008862393374,0.699510429867667
S1 (Eval Drop),MP_cal,1,0.573676540475448,0.699510429867667
S1 (Eval Drop),ME_P,1,0.576738512322912,0.708115626654997
S1 (Eval Drop),ME2P,1,0.599109833118328,0.707921081933744
S1 (Eval Drop),MP,2,0.574776472670258,0.707357505619699
S1 (Eval Drop),MP_cal,2,0.573755854139672,0.707357505619699
S1 (Eval Drop),ME_P,2,0.577694279023914,0.71335741313979
S1 (Eval Drop),ME2P,2,0.600439317894491,0.712717543327953
S1 (Eval Drop),MP,3,0.570437726911134,0.706471184405826
S1 (Eval Drop),MP_cal,3,0.5695649719848,0.706471184405826
S1 (Eval Drop),ME_P,3,0.572147862215678,0.714736374282917
S1 (Eval Drop),ME2P,3,0.592942379535146,0.715149706047314
S1 (Eval Drop),MP,4,0.571479607346508,0.713573911954581
S1 (Eval Drop),MP_cal,4,0.570501851631924,0.713573911954581
S1 (Eval Drop),ME_P,4,0.574668873238444,0.721119975443999
S1 (Eval Drop),ME2P,4,0.596293739035983,0.72015627874947
S1 (Eval Drop),MP,5,0.570110526116894,0.725517834149121
S1 (Eval Drop),MP_cal,5,0.56980137217674,0.725517834149121
S1 (Eval Drop),ME_P,5,0.574154494072842,0.732880011094701
S1 (Eval Drop),ME2P,5,0.594749919878743,0.733618880355649
S1 (Eval Drop),MP,6,0.568401810258806,0.73927041054161
S1 (Eval Drop),MP_cal,6,0.569013889268212,0.73927041054161
S1 (Eval Drop),ME_P,6,0.573432153404858,0.747444395689259
S1 (Eval Drop),ME2P,6,0.579908265477065,0.746900086682394
S1 (Eval Drop),MP,7,0.574066805816465,0.696764491034424
S1 (Eval Drop),MP_cal,7,0.571545321498198,0.696764491034424
S1 (Eval Drop),ME_P,7,0.574729678626689,0.704456332202704
S1 (Eval Drop),ME2P,7,0.596328156986399,0.703961994154464
S1 (Eval Drop),MP,8,0.572711047108569,0.696410970028892
S1 (Eval Drop),MP_cal,8,0.570581738644456,0.696410970028892
S1 (Eval Drop),ME_P,8,0.57302310098083,0.704499140104275
S1 (Eval Drop),ME2P,8,0.594669885944709,0.704123445050099
S1 (Eval Drop),MP,9,0.574123461369589,0.70670122329594
S1 (Eval Drop),MP_cal,9,0.572702309110093,0.70670122329594
S1 (Eval Drop),ME_P,9,0.576386129843795,0.714251322376372
S1 (Eval Drop),ME2P,9,0.598041105785789,0.713441143254243
S1 (Eval Drop),MP,10,0.578826994244774,0.69056968792901
S1 (Eval Drop),MP_cal,10,0.57480574577175,0.69056968792901
S1 (Eval Drop),ME_P,10,0.578044554715013,0.698697102573975
S1 (Eval Drop),ME2P,10,0.599912317394171,0.698460394090975
S1 (Eval Drop),MP,11,0.570258141644312,0.710812003332706
S1 (Eval Drop),MP_cal,11,0.569010541561698,0.710812003332706
S1 (Eval Drop),ME_P,11,0.570697417951853,0.718746498233766
S1 (Eval Drop),ME2P,11,0.59248777132058,0.718047818737858
S1 (Eval Drop),MP,12,0.558292526183242,0.690563180502269
S1 (Eval Drop),MP_cal,12,0.555418416008587,0.690563180502269
S1 (Eval Drop),ME_P,12,0.549848562522704,0.69933813482084
S1 (Eval Drop),ME2P,12,0.567418666913445,0.698908438269622
S1 (Eval Drop),MP,13,0.57787517484182,0.694932562548247
S1 (Eval Drop),MP_cal,13,0.574567585096504,0.694932562548247
S1 (Eval Drop),ME_P,13,0.577989506825722,0.702743004669322
S1 (Eval Drop),ME2P,13,0.598588296318997,0.702133896594584
S1 (Eval Drop),MP,14,0.574617616049281,0.704214277935652
S1 (Eval Drop),MP_cal,14,0.574265953812961,0.704214277935652
S1 (Eval Drop),ME_P,14,0.5759231329857,0.713213646242627
S1 (Eval Drop),ME2P,14,0.598423035679526,0.712662260814783
S1 (Eval Drop),MP,15,0.567135555666391,0.693126916231105
S1 (Eval Drop),MP_cal,15,0.563689886933434,0.693126916231105
S1 (Eval Drop),ME_P,15,0.565318527867307,0.701234817229685
S1 (Eval Drop),ME2P,15,0.585184416457795,0.701389438947997
S1 (Eval Drop),MP,16,0.572077946799162,0.698507465199439
S1 (Eval Drop),MP_cal,16,0.57035764841087,0.698507465199439
S1 (Eval Drop),ME_P,16,0.573914213369605,0.706198268505186
S1 (Eval Drop),ME2P,16,0.59564348932779,0.705547628448306
S1 (Eval Drop),MP,17,0.578368521167422,0.691180913307913
S1 (Eval Drop),MP_cal,17,0.574655557832272,0.691180913307913
S1 (Eval Drop),ME_P,17,0.577857675750337,0.699291897005135
S1 (Eval Drop),ME2P,17,0.599259834016621,0.698850269966107
S1 (Eval Drop),MP,18,0.576308089973041,0.691636359935406
S1 (Eval Drop),MP_cal,18,0.572397576723545,0.691636359935406
S1 (Eval Drop),ME_P,18,0.575561272384389,0.700053231666444
S1 (Eval Drop),ME2P,18,0.593081242127392,0.69981535419264
S1 (Eval Drop),MP,19,0.571861194828001,0.694281241055878
S1 (Eval Drop),MP_cal,19,0.568973519046748,0.694281241055878
S1 (Eval Drop),ME_P,19,0.572026224724738,0.702245348525651
S1 (Eval Drop),ME2P,19,0.593080696297032,0.701770072490674
S2 (Train Drop),MP,1,0.576560810954892,0.696940525387354
S2 (Train Drop),MP_cal,1,0.572144851044133,0.696940525387354
S2 (Train Drop),ME_P,1,0.576356776411953,0.705792438736348
S2 (Train Drop),ME2P,1,0.599228574689103,0.707322243957487
S2 (Train Drop),MP,2,0.579842872799361,0.702131040661321
S2 (Train Drop),MP_cal,2,0.576007002062269,0.702131040661321
S2 (Train Drop),ME_P,2,0.580858144714786,0.706418377068052
S2 (Train Drop),ME2P,2,0.602516508980156,0.706422382911303
S2 (Train Drop),MP,3,0.57234599199217,0.70805848093588
S2 (Train Drop),MP_cal,3,0.570087388216322,0.70805848093588
S2 (Train Drop),ME_P,3,0.574194274565791,0.711593761533504
S2 (Train Drop),ME2P,3,0.594608925684156,0.714212130799238
S2 (Train Drop),MP,4,0.57425649654776,0.711916135365013
S2 (Train Drop),MP_cal,4,0.571681840685543,0.711916135365013
S2 (Train Drop),ME_P,4,0.577671749736736,0.721586886626218
S2 (Train Drop),ME2P,4,0.598918616685152,0.722749035622717
S2 (Train Drop),MP,5,0.574782935080867,0.71955630505055
S2 (Train Drop),MP_cal,5,0.572689832576298,0.71955630505055
S2 (Train Drop),ME_P,5,0.578641763584634,0.728224708565127
S2 (Train Drop),ME2P,5,0.599069130385743,0.727429897440276
S2 (Train Drop),MP,6,0.574169035343975,0.738295342091509
