Model,selected_lambda,Feature,Coefficient,ConnGroup
ME_P,1,(Intercept),-0.386734506352574,5
ME_P,1,z_target_expr,0.120834583593644,5
ME_P,1,z_mp,1.05983121899835,5
ME2P,1,(Intercept),-0.37526613994784,5
ME2P,1,z_target_expr,0.186879379671438,5
ME2P,1,z_mod,-0.172595795019202,5
ME2P,1,z_mp,1.0573519706299,5
XEN,1,(Intercept),-0.367898380670274,5
XEN,1,z_target_expr,0.318423421869732,5
XEN,1,z_mod,-0.181820745048881,5
XEN,1,z_ix,0.0756809669149151,5
MP_cal,0.05,(Intercept),-0.370622923602487,6
MP_cal,0.05,z_mp,1.09040835429679,6
ME,1,(Intercept),-0.333727629007531,6
ME,1,z_target_expr,0.19063709725812,6
ME2,1,(Intercept),-0.315883260990568,6
ME2,1,z_target_expr,0.289682826308844,6
ME2,1,z_mod,-0.30511631597067,6
ME_P,1,(Intercept),-0.36820246853989,6
ME_P,1,z_target_expr,0.0667566052321223,6
ME_P,1,z_mp,1.08082119878084,6
ME2P,1,(Intercept),-0.345720092173588,6
ME2P,1,z_target_expr,0.171733385511009,6
ME2P,1,z_mod,-0.323975859509904,6
ME2P,1,z_mp,1.08810705569434,6
XEN,1,(Intercept),-0.391690135075122,6
XEN,1,z_target_expr,0.334704831882809,6
XEN,1,z_mod,-0.31480372540442,6
XEN,1,z_ix,0.222680892454529,6
MP_cal,1,(Intercept),-0.48382615875426,7
MP_cal,1,z_mp,0.979923100581976,7
ME,1,(Intercept),-0.424872757262648,7
ME,1,z_target_expr,0.251003358207215,7
ME2,1,(Intercept),-0.415331690391963,7
ME2,1,z_target_expr,0.318433031393705,7
ME2,1,z_mod,-0.172409344943073,7
ME_P,1,(Intercept),-0.479715908477114,7
ME_P,1,z_target_expr,0.150152223421752,7
ME_P,1,z_mp,0.962152966639702,7
ME2P,1,(Intercept),-0.469363438388712,7
ME2P,1,z_target_expr,0.205961530585984,7
ME2P,1,z_mod,-0.141682183359305,7
ME2P,1,z_mp,0.95745553912962,7
XEN,1,(Intercept),-0.455926320683792,7
XEN,1,z_target_expr,0.336145765395439,7
XEN,1,z_mod,-0.165939403827507,7
XEN,1,z_ix,0.098780141516961,7
MP_cal,1,(Intercept),-0.473082037981887,8
MP_cal,1,z_mp,0.981411673154547,8
ME,1,(Intercept),-0.41817483313497,8
ME,1,z_target_expr,0.279919712120884,8
ME2,1,(Intercept),-0.40972789137262,8
ME2,1,z_target_expr,0.344910416464911,8
ME2,1,z_mod,-0.173891138149545,8
ME_P,1,(Intercept),-0.466463474454582,8
ME_P,1,z_target_expr,0.181412116665164,8
ME_P,1,z_mp,0.961335754021855,8
ME2P,1,(Intercept),-0.45735815969178,8
ME2P,1,z_target_expr,0.235205429345035,8
ME2P,1,z_mod,-0.143838803835384,8
ME2P,1,z_mp,0.956948606055824,8
XEN,1,(Intercept),-0.447312115724086,8
XEN,1,z_target_expr,0.364524686662743,8
XEN,1,z_mod,-0.164282612731644,8
XEN,1,z_ix,0.0965082952128927,8
MP_cal,1,(Intercept),-0.431030858305288,9
MP_cal,1,z_mp,0.966546468017168,9
ME,1,(Intercept),-0.380724620125041,9
ME,1,z_target_expr,0.245366382368788,9
ME2,1,(Intercept),-0.371525956582059,9
ME2,1,z_target_expr,0.31163020914351,9
ME2,1,z_mod,-0.170428687824539,9
ME_P,1,(Intercept),-0.427119135425326,9
ME_P,1,z_target_expr,0.15618801229504,9
ME_P,1,z_mp,0.950744761145822,9
ME2P,1,(Intercept),-0.416832520700371,9
ME2P,1,z_target_expr,0.213985402874477,9
ME2P,1,z_mod,-0.14910951986083,9
ME2P,1,z_mp,0.947539244779977,9
XEN,1,(Intercept),-0.403507091655702,9
XEN,1,z_target_expr,0.325815687091355,9
XEN,1,z_mod,-0.165804682208447,9
XEN,1,z_ix,0.0794715235424116,9
MP_cal,0.05,(Intercept),-0.506394199110124,10
MP_cal,0.05,z_mp,0.921362314712279,10
ME,1,(Intercept),-0.464375472434542,10
ME,1,z_target_expr,0.231115718817303,10
ME2,1,(Intercept),-0.462388502468515,10
ME2,1,z_target_expr,0.29889074367486,10
ME2,1,z_mod,-0.148402641042268,10
ME_P,0.05,(Intercept),-0.504661059481887,10
ME_P,0.05,z_target_expr,0.122892639828157,10
ME_P,0.05,z_mp,0.904895634142925,10
ME2P,1,(Intercept),-0.501313138802078,10
ME2P,1,z_target_expr,0.164732602046133,10
