ConnGroup,dropped_train_group,Model,N,Pos,AP_new,LogLoss_new,Brier_new,ROC_new,AP_orig,LogLoss_orig,Brier_orig,ROC_orig,diff_AP,diff_LogLoss,diff_Brier,diff_ROC
2,1,M0,280,21,0.075,0.568302284315392,0.188091698641892,0.5,0.075,0.562856131045747,0.185442551013687,0.5,0,0.00544615326964493,0.00264914762820528,0
3,1,M0,146,39,0.267123287671233,0.623746521443001,0.215645626435991,0.5,0.267123287671233,0.621673150969817,0.214645337188004,0.5,-1.11022302462516e-16,0.00207337047318401,0.00100028924798706,0
4,1,M0,146,25,0.171232876712329,0.590220498703022,0.199050097946833,0.5,0.171232876712329,0.586656681377199,0.19732792739409,0.5,-2.4980018054066e-16,0.00356381732582312,0.00172217055274318,0
5,1,M0,228,8,0.0350877192982456,0.553175769443156,0.180613309261459,0.5,0.0350877192982456,0.547196568051153,0.177707554500243,0.5,1.38777878078145e-17,0.00597920139200325,0.00290575476121588,0
6,1,M0,276,5,0.0181159420289855,0.553559218788854,0.1807535527342,0.5,0.0181159420289855,0.547122442672379,0.17761786620828,0.5,6.93889390390723e-18,0.00643677611647497,0.00313568652591978,0
7,1,M0,561,257,0.458110516934046,0.696549545823884,0.25161062697073,0.5,0.458110516934046,0.697471039960059,0.252052285471729,0.5,3.88578058618805e-16,-0.000921494136175038,-0.00044165850099892,0
8,1,M0,320,157,0.490625,0.709506676455809,0.258004839143981,0.5,0.490625,0.710869082160444,0.258658173147009,0.5,0,-0.00136240570463475,-0.000653334003028305,0
9,1,M0,288,82,0.284722222222222,0.631503819921973,0.219467122561307,0.5,0.284722222222222,0.629600156384745,0.21854708861997,0.5,2.22044604925031e-16,0.00190366353722793,0.000920033941337411,0
10,1,M0,677,358,0.528803545051699,0.730294893901629,0.268178921505665,0.5,0.528803545051699,0.732404609655295,0.269181907043285,0.5,-3.33066907387547e-16,-0.00210971575366614,-0.00100298553761968,0
11,1,M0,1193,375,0.314333612740989,0.648354423132074,0.2277516542374,0.5,0.314333612740989,0.646309322118626,0.226753611420743,0.5,1.11022302462516e-16,0.00204510101344801,0.00099804281665683,0
12,1,M0,303,228,0.752475247524752,0.833377189983071,0.318828159241363,0.5,0.752475247524752,0.838524762619821,0.321269775463568,0.5,4.44089209850063e-16,-0.00514757263675025,-0.0024416162222049,0
13,1,M0,175,86,0.491428571428572,0.709083866653007,0.257805719564591,0.5,0.491428571428572,0.710409150802034,0.258442324719295,0.5,-5.55111512312578e-16,-0.00132528414902744,-0.000636605154703596,0
14,1,M0,177,28,0.15819209039548,0.587060946364427,0.197471045884599,0.5,0.15819209039548,0.583238574015162,0.195621871820536,0.5,2.4980018054066e-16,0.00382237234926508,0.00184917406406263,0
15,1,M0,627,384,0.61244019138756,0.774581780054387,0.289840797180382,0.5,0.61244019138756,0.777929016289496,0.291420610714475,0.5,-2.22044604925031e-16,-0.00334723623510869,-0.00157981353409314,0
16,1,M0,193,90,0.466321243523316,0.699049139805867,0.252854049049151,0.5,0.466321243523316,0.700004150686475,0.253312977329909,0.5,5.55111512312578e-17,-0.000955010880608564,-0.000458928280758331,0
17,1,M0,287,141,0.491289198606272,0.709609340214183,0.258057630711916,0.5,0.491289198606272,0.710970454130806,0.258710588767755,0.5,-2.22044604925031e-16,-0.00136111391662286,-0.00065295805583937,0
18,1,M0,432,230,0.532407407407407,0.728868636482005,0.267521555478475,0.5,0.532407407407407,0.730916804952054,0.268499911381838,0.5,4.44089209850063e-16,-0.00204816847004952,-0.000978355903362649,0
19,1,M0,323,172,0.532507739938081,0.727584414531421,0.266907120393717,0.5,0.532507739938081,0.729584045754148,0.267864262533819,0.5,-4.44089209850063e-16,-0.00199963122272695,-0.00095714214010173,0
2,1,MP,280,21,0.61880951579528,0.535381741151395,0.182197592347103,0.910185695899982,0.618967467720808,0.530761573324404,0.180152846459861,0.909450266593124,-0.0001579519255277,0.00462016782699082,0.00204474588724238,0.00073542930685766
3,1,MP,146,39,0.613244102969514,0.621876427647895,0.215076306080103,0.78600527198658,0.634921249570518,0.60885899698863,0.209979844859851,0.790678169182842,-0.0216771466010036,0.0130174306592649,0.00509646122025179,-0.00467289719626152
