ReferenceKey,Ensembl,QsmoothA,UnsmoothedLog2TPM,Symbol,GroupID,Samples,SharedReference,RowOrder,PXD,SampleGroup,Category,KlaLabelEn,RNALabel,PlotLabel,GeneZ
GSE103520_MCF10A_control,ENSG00000108528,1.6391819116139,1.6391819116139,SLC25A11,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-3.17441074932643
GSE103520_MCF10A_control,ENSG00000109107,0.575622696050316,0.575622696050316,ALDOC,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.34852081350747
GSE103520_MCF10A_control,ENSG00000109819,-0.93549627391621,-0.93549627391621,PPARGC1A,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.940651593802626
GSE103520_MCF10A_control,ENSG00000111640,10.4645371266462,10.4645371266462,GAPDH,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.42587696523567
GSE103520_MCF10A_control,ENSG00000111669,4.59972238752085,4.59972238752085,TPI1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.92763609443161
GSE103520_MCF10A_control,ENSG00000111674,-0.921702838430377,-0.921702838430377,ENO2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.18006410921274
GSE103520_MCF10A_control,ENSG00000111716,7.55244303123291,7.55244303123291,LDHB,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,0.45407965279984
GSE103520_MCF10A_control,ENSG00000112992,1.91716831015365,1.91716831015365,NNT,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.00988620328925
GSE103520_MCF10A_control,ENSG00000114021,1.69599472342531,1.69599472342531,NIT2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.6772506772649
GSE103520_MCF10A_control,ENSG00000114268,-0.400942687493452,-0.400942687493452,PFKFB4,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.15185655082152
