Ensembl,Symbol,TumorA,TumorUnsmoothed,ReferenceA,ReferenceUnsmoothed,Comparison,Caveat,DeltaA,DeltaUnsmoothed
ENSG00000004799,PDK4,5.46057513176258,5.46057513176258,6.86838335230309,6.86838335230309,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,-1.40780822054051,-1.40780822054051
ENSG00000004864,SLC25A13,6.27599367500908,6.27599367500908,6.32830640149023,6.32830640149023,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,-0.0523127264811496,-0.0523127264811496
ENSG00000005882,PDK2,3.8403124735367,3.8403124735367,3.80099826909973,3.80099826909973,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,0.0393142044369701,0.0393142044369701
ENSG00000008405,CRY1,2.9880667212187,2.9880667212187,2.54027687378997,2.54027687378997,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,0.44778984742873,0.44778984742873
ENSG00000014641,MDH1,6.51339761186438,6.51339761186438,5.73158461427569,5.73158461427569,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,0.78181299758869,0.78181299758869
ENSG00000060762,MPC1,6.77094468385692,6.77094468385692,7.83567385534912,7.83567385534912,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,-1.0647291714922,-1.0647291714922
ENSG00000062485,CS,4.99037639666246,4.99037639666246,3.64269299544175,3.64269299544175,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,1.34768340122071,1.34768340122071
ENSG00000063854,HAGH,6.09438370867843,6.09438370867843,6.18313877551412,6.18313877551412,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,-0.0887550668356898,-0.0887550668356898
ENSG00000067057,PFKP,1.25016012279117,1.25016012279117,0.523416510869364,0.523416510869364,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,0.726743611921806,0.726743611921806
ENSG00000067225,PKM,4.78957419761001,4.78957419761001,3.26488485015415,3.26488485015415,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,1.52468934745586,1.52468934745586
ENSG00000067829,IDH3G,5.44024259192957,5.44024259192957,4.42783024044678,4.42783024044678,HCC vs adjacent liver,Same TCGA project; pairing not asserted; external to Kla cohort,1.01241235148279,1.01241235148279
