Ensembl,ReferenceKey,SampleN,MedianB,Q25,Q75,Min,Max
ENSG00000004799,GSE103520_MCF10A_control,3,1.39445163323831,1.19622979794809,1.58791289918255,0.998007962657874,1.7813741651268
ENSG00000004864,GSE103520_MCF10A_control,3,3.40981343856713,3.39414906936389,3.58989258977194,3.37848470016064,3.76997174097674
ENSG00000005882,GSE103520_MCF10A_control,3,0.383176459502247,0.231588886903814,0.479502263981069,0.0800013143053818,0.57582806845989
ENSG00000008405,GSE103520_MCF10A_control,3,1.83525489488812,1.79028703304293,1.95493922015848,1.74531917119773,2.07462354542884
ENSG00000014641,GSE103520_MCF10A_control,3,3.6722635606962,3.60500465980929,3.73507734091284,3.53774575892237,3.79789112112947
ENSG00000060762,GSE103520_MCF10A_control,3,4.43902355795108,4.24127102031099,4.44363601129317,4.0435184826709,4.44824846463526
ENSG00000062485,GSE103520_MCF10A_control,3,5.21457048567171,5.15107590661248,5.24807692563075,5.08758132755325,5.28158336558978
ENSG00000063854,GSE103520_MCF10A_control,3,1.93815431000812,1.83111706196608,2.08760261886758,1.72407981392403,2.23705092772703
ENSG00000067057,GSE103520_MCF10A_control,3,3.04586937553618,3.03194592546696,3.15137871295601,3.01802247539773,3.25688805037583
ENSG00000067225,GSE103520_MCF10A_control,3,4.83490796440278,4.69053326720059,4.84194729019664,4.54615856999839,4.84898661599049
ENSG00000067829,GSE103520_MCF10A_control,3,3.37285112548432,3.25508879830925,3.39110517725592,3.13732647113417,3.40935922902752
ENSG00000067992,GSE103520_MCF10A_control,3,-0.111791346121823,-0.211394951203797,0.054553460754985,-0.310998556285771,0.220898267631793
ENSG00000068976,GSE103520_MCF10A_control,3,-0.785809861059954,-0.872743823416695,-0.617274378080002,-0.959677785773435,-0.448738895100049
ENSG00000073578,GSE103520_MCF10A_control,3,2.26509109851021,2.23279111644086,2.29681474869002,2.2004911343715,2.32853839886983
ENSG00000074800,GSE103520_MCF10A_control,3,6.56174109430312,6.54886755527659,6.60889455481402,6.53599401625005,6.65604801532492
ENSG00000076555,GSE103520_MCF10A_control,3,-0.31829769744943,-0.377776407511918,-0.286025351332344,-0.437255117574406,-0.253753005215258
ENSG00000079739,GSE103520_MCF10A_control,3,3.98765062269909,3.90202397433996,4.14989665883683,3.81639732598082,4.31214269497456
ENSG00000087299,GSE103520_MCF10A_control,3,1.47468675658718,1.43774596301533,1.50014569349651,1.40080516944348,1.52560463040583
ENSG00000090861,GSE103520_MCF10A_control,3,4.56497773967468,4.55889093500313,4.6874584440586,4.55280413033158,4.80993914844252
