Model,Candidate,Intercept,Slope,Gradient,UnseenRate,Dropped,Test
SHRINK_CAL,row_8,-0.126535535562869,1.07544053615005,4.84968734038548e-08,0.00357142857142857,3,2
SHRINK,row_8,0,1,,0,3,4
SHRINK_CAL,row_8,-0.108780606522981,1.0880631665985,8.98328135758654e-08,0,3,4
SHRINK,row_8,0,1,,0,3,5
SHRINK_CAL,row_8,-0.115482895083713,1.08577506865461,1.14971345051626e-08,0,3,5
SHRINK,row_8,0,1,,0.0072463768115942,3,6
SHRINK_CAL,row_8,-0.125595722463232,1.08857666382413,8.52024271918986e-07,0.0072463768115942,3,6
SHRINK,group_2,0,1,,0,3,7
SHRINK_CAL,row_8,-0.11371304517829,1.13306980502352,1.4248304079776e-06,0,3,7
SHRINK,group_2,0,1,,0,3,8
SHRINK_CAL,row_8,-0.123889065672729,1.14098358784442,1.15391733643761e-06,0,3,8
SHRINK,group_2,0,1,,0,3,9
SHRINK_CAL,row_8,-0.115494500453766,1.15183819883882,6.1719401843814e-07,0,3,9
SHRINK,group_2,0,1,,0.00147710487444609,3,10
SHRINK_CAL,original,-0.314369333149483,0.867644524388987,2.04669893772531e-06,0.00147710487444609,3,10
SHRINK,group_2,0,1,,0.00167644593461861,3,11
SHRINK_CAL,original,-0.401264370036461,0.861127957930038,7.20047618370855e-07,0.00167644593461861,3,11
SHRINK,group_2,0,1,,0,3,12
SHRINK_CAL,row_8,-0.112741418027534,1.21425397569937,1.82476769434553e-06,0,3,12
SHRINK,group_2,0,1,,0,3,13
SHRINK_CAL,row_8,-0.126551757635574,1.13942969626143,1.04589959142445e-06,0,3,13
SHRINK,group_2,0,1,,0,3,14
SHRINK_CAL,row_8,-0.0832054036039027,1.19855191091067,3.14521697974274e-08,0,3,14
SHRINK,row_8,0,1,,0.00318979266347687,3,15
SHRINK_CAL,row_8,-0.0754306179211299,1.20034971491158,8.5566966450056e-07,0.00318979266347687,3,15
SHRINK,row_8,0,1,,0,3,16
SHRINK_CAL,row_8,-0.114810398028874,1.19175801942143,8.91174288574433e-07,0,3,16
SHRINK,row_8,0,1,,0,3,17
SHRINK_CAL,row_8,-0.122429721475182,1.17033527640446,1.45017243893469e-06,0,3,17
SHRINK,row_8,0,1,,0,3,18
SHRINK_CAL,row_8,-0.105055917021706,1.18076705278974,1.65158925066974e-06,0,3,18
SHRINK,row_8,0,1,,0.00619195046439629,3,19
SHRINK_CAL,row_8,-0.116872266496226,1.18551033857325,1.26877649139714e-06,0.00619195046439629,3,19
SHRINK,row_8,0,1,,0,4,1
SHRINK_CAL,row_8,-0.121789232168279,1.0625469036321,1.15704260831911e-07,0,4,1
SHRINK,row_8,0,1,,0.00357142857142857,4,2
SHRINK_CAL,row_8,-0.125560415394389,1.07879518511145,2.73102309948561e-08,0.00357142857142857,4,2
SHRINK,row_8,0,1,,0,4,3
SHRINK_CAL,row_8,-0.108780606522981,1.0880631665985,8.98328135758654e-08,0,4,3
SHRINK,row_8,0,1,,0,4,5
SHRINK_CAL,row_8,-0.116960048661188,1.07596325656601,2.27763469738164e-08,0,4,5
SHRINK,row_8,0,1,,0.0072463768115942,4,6
SHRINK_CAL,row_8,-0.127013361493673,1.07950542604655,2.03472140765989e-08,0.0072463768115942,4,6
SHRINK,group_2,0,1,,0,4,7
SHRINK_CAL,row_8,-0.11562225307653,1.12302899828017,9.00935248529278e-07,0,4,7
SHRINK,group_2,0,1,,0,4,8
SHRINK_CAL,row_8,-0.125430537862767,1.13375804551548,7.81277979538996e-07,0,4,8
SHRINK,group_2,0,1,,0,4,9
SHRINK_CAL,row_8,-0.116184602945115,1.14362450808095,4.33308755355512e-07,0,4,9
SHRINK,group_2,0,1,,0.00147710487444609,4,10
SHRINK_CAL,row_8,-0.0749641032671689,1.17627355372344,6.47033096045702e-07,0.00147710487444609,4,10
SHRINK,group_2,0,1,,0.00167644593461861,4,11
SHRINK_CAL,row_8,-0.169870493072741,1.20307097336458,2.28318728534639e-07,0.00167644593461861,4,11
SHRINK,group_2,0,1,,0,4,12
SHRINK_CAL,row_8,-0.113674058260331,1.21051646426338,1.30648403223795e-06,0,4,12
SHRINK,group_2,0,1,,0,4,13
SHRINK_CAL,row_8,-0.124603815757043,1.13749794379912,8.14767562105017e-07,0,4,13
SHRINK,group_2,0,1,,0,4,14
SHRINK_CAL,row_8,-0.0830203150879086,1.19663205124495,7.82672118134213e-09,0,4,14
SHRINK,row_8,0,1,,0.00318979266347687,4,15
SHRINK_CAL,row_8,-0.0769595997330358,1.19600503225633,5.57950842665917e-07,0.00318979266347687,4,15
SHRINK,row_8,0,1,,0,4,16
SHRINK_CAL,row_8,-0.114065226393366,1.18642765364283,6.01503672743436e-07,0,4,16
SHRINK,row_8,0,1,,0,4,17
SHRINK_CAL,row_8,-0.120928818797803,1.16775365412588,1.02184978745258e-06,0,4,17
SHRINK,row_8,0,1,,0,4,18
SHRINK_CAL,row_8,-0.102656154177472,1.1815417920191,1.03374444860347e-06,0,4,18
SHRINK,row_8,0,1,,0.00619195046439629,4,19
SHRINK_CAL,row_8,-0.113611816074872,1.18593124517769,8.29929403700419e-07,0.00619195046439629,4,19
SHRINK,row_8,0,1,,0,5,1
SHRINK_CAL,row_8,-0.128968136128433,1.05642983559649,3.84258437428116e-08,0,5,1
SHRINK,row_8,0,1,,0.00357142857142857,5,2
SHRINK_CAL,row_8,-0.126783498197938,1.08508449492738,9.97605506810142e-09,0.00357142857142857,5,2
SHRINK,row_8,0,1,,0,5,3
SHRINK_CAL,row_8,-0.115482895083713,1.08577506865461,1.14971345051626e-08,0,5,3
SHRINK,row_8,0,1,,0,5,4
SHRINK_CAL,row_8,-0.116960048661188,1.07596325656601,2.27763469738164e-08,0,5,4
SHRINK,row_8,0,1,,0.0072463768115942,5,6
SHRINK_CAL,row_8,-0.124523399983051,1.09231473232861,9.0724637880551e-09,0.0072463768115942,5,6
SHRINK,group_2,0,1,,0,5,7
SHRINK_CAL,row_8,-0.112078819385019,1.1335442230875,5.96986791137903e-07,0,5,7
SHRINK,group_2,0,1,,0,5,8
SHRINK_CAL,row_8,-0.122826832773179,1.1445930967575,5.10343564859959e-07,0,5,8
SHRINK,group_2,0,1,,0,5,9
SHRINK_CAL,row_8,-0.116925933526813,1.1476558345045,7.64897727082337e-08,0,5,9
SHRINK,group_2,0,1,,0.00147710487444609,5,10
SHRINK_CAL,row_8,-0.0790732180293625,1.17973711524408,2.63885762585953e-07,0.00147710487444609,5,10
SHRINK,group_2,0,1,,0.00167644593461861,5,11
SHRINK_CAL,row_8,-0.178975830970276,1.20949515704015,2.90832814888245e-08,0.00167644593461861,5,11
SHRINK,group_2,0,1,,0,5,12
SHRINK_CAL,row_8,-0.120084968601824,1.20599930854785,7.287230309581e-07,0,5,12
SHRINK,group_2,0,1,,0,5,13
SHRINK_CAL,row_8,-0.126447184790175,1.1388189235954,4.65812456324876e-07,0,5,13
SHRINK,group_2,0,1,,0,5,14
SHRINK_CAL,row_8,-0.0864335389936317,1.20144184989057,8.16192668139093e-10,0,5,14
SHRINK,row_8,0,1,,0.00318979266347687,5,15
SHRINK_CAL,row_8,-0.0856178866854303,1.19250048268662,3.35675006076346e-07,0.00318979266347687,5,15
SHRINK,row_8,0,1,,0,5,16
SHRINK_CAL,row_8,-0.116960379405821,1.18922812590809,2.59991387282393e-07,0,5,16
SHRINK,row_8,0,1,,0,5,17
SHRINK_CAL,row_8,-0.124873313416771,1.16686942091099,5.26280832432966e-07,0,5,17
SHRINK,row_8,0,1,,0,5,18
SHRINK_CAL,row_8,-0.107044909999558,1.18246419971001,5.03626634483904e-07,0,5,18
SHRINK,row_8,0,1,,0.00619195046439629,5,19
SHRINK_CAL,row_8,-0.118154062288247,1.18596547361849,4.05941067052268e-07,0.00619195046439629,5,19
SHRINK,row_8,0,1,,0,6,1
SHRINK_CAL,row_8,-0.143403450566454,1.05130536200458,1.26249036881617e-08,0,6,1
SHRINK,row_8,0,1,,0.00357142857142857,6,2
SHRINK_CAL,row_8,-0.140686929332033,1.08122973506236,1.97892189811571e-08,0.00357142857142857,6,2
SHRINK,row_8,0,1,,0,6,3
SHRINK_CAL,row_8,-0.125595722463232,1.08857666382413,8.52024271918986e-07,0,6,3
SHRINK,row_8,0,1,,0,6,4
SHRINK_CAL,row_8,-0.127013361493673,1.07950542604655,2.03472140765989e-08,0,6,4
SHRINK,row_8,0,1,,0,6,5
SHRINK_CAL,row_8,-0.124523399983051,1.09231473232861,9.0724637880551e-09,0,6,5
SHRINK,group_2,0,1,,0,6,7
SHRINK_CAL,row_8,-0.122699934755485,1.13652662810441,5.07311848248329e-07,0,6,7
SHRINK,group_2,0,1,,0,6,8
SHRINK_CAL,row_8,-0.134026159252572,1.14513718596758,4.10611362349096e-07,0,6,8
SHRINK,group_2,0,1,,0,6,9
SHRINK_CAL,row_8,-0.129316344743494,1.14657517071553,7.31769415220871e-08,0,6,9
SHRINK,group_2,0,1,,0.00147710487444609,6,10
SHRINK_CAL,row_8,-0.0901719668366557,1.18128116583487,4.25908358538707e-07,0.00147710487444609,6,10
SHRINK,group_2,0,1,,0.00251466890192791,6,11
SHRINK_CAL,original,-0.408114489057862,0.843495374067312,2.45638102143887e-11,0.00251466890192791,6,11
SHRINK,group_2,0,1,,0,6,12
SHRINK_CAL,group_2,-0.175861342453471,0.968545011859144,2.14523186227612e-08,0,6,12
SHRINK,group_2,0,1,,0,6,13
SHRINK_CAL,row_8,-0.137294608171938,1.13916169780411,3.55440244223786e-07,0,6,13
SHRINK,group_2,0,1,,0,6,14
SHRINK_CAL,row_8,-0.0981599057812652,1.20183300350448,1.38480712546894e-08,0,6,14
SHRINK,row_8,0,1,,0.00318979266347687,6,15
SHRINK_CAL,row_8,-0.0964971719865199,1.19684617054838,4.07426804154367e-07,0.00318979266347687,6,15
SHRINK,row_8,0,1,,0,6,16
SHRINK_CAL,row_8,-0.127177626716196,1.1930963542543,2.59114447035587e-07,0,6,16
SHRINK,row_8,0,1,,0,6,17
SHRINK_CAL,row_8,-0.135056624979133,1.17055455933806,4.72534815068105e-07,0,6,17
SHRINK,row_8,0,1,,0,6,18
SHRINK_CAL,row_8,-0.117374187167054,1.18637654754696,5.25450728690657e-07,0,6,18
SHRINK,row_8,0,1,,0.00619195046439629,6,19
SHRINK_CAL,row_8,-0.128723989609269,1.18905647825495,3.94696952099362e-07,0.00619195046439629,6,19
SHRINK,row_8,0,1,,0,7,1
SHRINK_CAL,row_8,-0.13552517533849,1.09636256367418,2.12135863702403e-06,0,7,1
SHRINK,row_8,0,1,,0.00714285714285714,7,2
SHRINK_CAL,row_8,-0.127510648824313,1.12748133831418,5.6791135024986e-07,0.00714285714285714,7,2
SHRINK,group_2,0,1,,0,7,3
SHRINK_CAL,row_8,-0.11371304517829,1.13306980502352,1.4248304079776e-06,0,7,3
SHRINK,group_2,0,1,,0,7,4
SHRINK_CAL,row_8,-0.11562225307653,1.12302899828017,9.00935248529278e-07,0,7,4
SHRINK,group_2,0,1,,0,7,5
SHRINK_CAL,row_8,-0.112078819385019,1.1335442230875,5.96986791137903e-07,0,7,5
SHRINK,group_2,0,1,,0.0072463768115942,7,6
SHRINK_CAL,row_8,-0.122699934755485,1.13652662810441,5.07311848248329e-07,0.0072463768115942,7,6
SHRINK,group_2,0,1,,0,7,8
SHRINK_CAL,row_8,-0.110541533860514,1.14315627855975,2.90292549731851e-06,0,7,8
SHRINK,group_2,0,1,,0,7,9
SHRINK_CAL,row_8,-0.108990821792227,1.13780066393708,1.50661434237769e-06,0,7,9
SHRINK,group_2,0,1,,0.00147710487444609,7,10
SHRINK_CAL,row_8,-0.0524577778590325,1.18223435536008,1.34690548935824e-06,0.00147710487444609,7,10
SHRINK,group_2,0,1,,0.00167644593461861,7,11
SHRINK_CAL,original,-0.413607910404857,0.855042908225932,4.07851584418913e-06,0.00167644593461861,7,11
SHRINK,group_2,0,1,,0,7,12
SHRINK_CAL,row_8,-0.134072274327739,1.12784144553355,9.41907354487731e-08,0,7,12
SHRINK,row_8,0,1,,0,7,13
SHRINK_CAL,row_8,-0.15138624455619,1.05455882480292,7.84705410066932e-07,0,7,13
SHRINK,group_2,0,1,,0,7,14
SHRINK_CAL,row_8,-0.09089863662487,1.15936640609819,6.72813525218568e-07,0,7,14
SHRINK,group_2,0,1,,0.00318979266347687,7,15
SHRINK_CAL,row_8,-0.0730975878670153,1.17869630834776,3.01946938747449e-06,0.00318979266347687,7,15
SHRINK,group_2,0,1,,0,7,16
SHRINK_CAL,row_8,-0.116847920367499,1.15956168346343,2.37921616075507e-06,0,7,16
SHRINK,row_8,0,1,,0,7,17
SHRINK_CAL,row_8,-0.123869577112681,1.14260290697103,2.3750197076803e-06,0,7,17
SHRINK,row_8,0,1,,0,7,18
SHRINK_CAL,row_8,-0.101491104233551,1.15931160644195,4.18981471177098e-06,0,7,18
SHRINK,row_8,0,1,,0.00619195046439629,7,19
SHRINK_CAL,row_8,-0.113173277530366,1.16398827944058,2.95867087652293e-06,0.00619195046439629,7,19
SHRINK,row_8,0,1,,0,8,1
SHRINK_CAL,row_8,-0.142077038159066,1.10940120123591,6.05425151207952e-08,0,8,1
SHRINK,row_8,0,1,,0.00357142857142857,8,2
SHRINK_CAL,row_8,-0.138575354187169,1.13847915691466,4.85106708322794e-07,0.00357142857142857,8,2
SHRINK,group_2,0,1,,0,8,3
SHRINK_CAL,row_8,-0.123889065672729,1.14098358784442,1.15391733643761e-06,0,8,3
SHRINK,group_2,0,1,,0,8,4
SHRINK_CAL,row_8,-0.125430537862767,1.13375804551548,7.81277979538996e-07,0,8,4
SHRINK,group_2,0,1,,0,8,5
SHRINK_CAL,row_8,-0.122826832773179,1.1445930967575,5.10343564859959e-07,0,8,5
SHRINK,group_2,0,1,,0.0072463768115942,8,6
SHRINK_CAL,row_8,-0.134026159252572,1.14513718596758,4.10611362349096e-07,0.0072463768115942,8,6
SHRINK,group_2,0,1,,0,8,7
SHRINK_CAL,row_8,-0.110541533860514,1.14315627855975,2.90292549731851e-06,0,8,7
SHRINK,group_2,0,1,,0,8,9
SHRINK_CAL,row_8,-0.12474610702238,1.1373436289099,1.12150555907836e-06,0,8,9
SHRINK,group_2,0,1,,0.00147710487444609,8,10
SHRINK_CAL,row_8,-0.0718101011699345,1.18052258782488,3.31664556103262e-06,0.00147710487444609,8,10
SHRINK,group_2,0,1,,0.00167644593461861,8,11
SHRINK_CAL,original,-0.428147967798889,0.857144145831847,2.18520528889952e-06,0.00167644593461861,8,11
SHRINK,group_2,0,1,,0,8,12
SHRINK_CAL,row_8,-0.149773493881731,1.13344644744364,1.99170939876273e-06,0,8,12
SHRINK,group_2,0,1,,0,8,13
SHRINK_CAL,row_8,-0.1641564145164,1.05925539986524,6.88664153519281e-07,0,8,13
SHRINK,group_2,0,1,,0,8,14
SHRINK_CAL,row_8,-0.105268645419393,1.15919660111099,8.50087709836593e-07,0,8,14
SHRINK,group_2,0,1,,0.00318979266347687,8,15
SHRINK_CAL,row_8,-0.0916042787035714,1.17724861535443,3.82544908356103e-06,0.00318979266347687,8,15
SHRINK,row_8,0,1,,0,8,16
SHRINK_CAL,row_8,-0.133537229442754,1.15735005011261,1.77813201014928e-06,0,8,16
SHRINK,row_8,0,1,,0,8,17
SHRINK_CAL,row_8,-0.139230278214789,1.14519855755046,1.68078728122049e-06,0,8,17
SHRINK,row_8,0,1,,0,8,18
SHRINK_CAL,row_8,-0.118511859957827,1.16000537474787,3.51844917686637e-06,0,8,18
SHRINK,row_8,0,1,,0.00619195046439629,8,19
SHRINK_CAL,row_8,-0.126481223633041,1.17155628046031,2.55911047378637e-06,0.00619195046439629,8,19
SHRINK,row_8,0,1,,0,9,1
SHRINK_CAL,row_8,-0.126121832755116,1.13035560431282,4.26704324688523e-07,0,9,1
SHRINK,row_8,0,1,,0.00357142857142857,9,2
SHRINK_CAL,row_8,-0.127768401393146,1.15236601193304,2.39843397562017e-07,0.00357142857142857,9,2
SHRINK,group_2,0,1,,0,9,3
SHRINK_CAL,row_8,-0.115494500453766,1.15183819883882,6.1719401843814e-07,0,9,3
SHRINK,group_2,0,1,,0,9,4
SHRINK_CAL,row_8,-0.116184602945115,1.14362450808095,4.33308755355512e-07,0,9,4
SHRINK,group_2,0,1,,0,9,5
SHRINK_CAL,row_8,-0.116925933526813,1.1476558345045,7.64897727082337e-08,0,9,5
SHRINK,group_2,0,1,,0.0072463768115942,9,6
SHRINK_CAL,row_8,-0.129316344743494,1.14657517071553,7.31769415220871e-08,0.0072463768115942,9,6
SHRINK,group_2,0,1,,0,9,7
SHRINK_CAL,row_8,-0.108990821792227,1.13780066393708,1.50661434237769e-06,0,9,7
SHRINK,group_2,0,1,,0,9,8
SHRINK_CAL,row_8,-0.12474610702238,1.1373436289099,1.12150555907836e-06,0,9,8
SHRINK,group_2,0,1,,0.00147710487444609,9,10
SHRINK_CAL,row_8,-0.0902987122161994,1.14897168269525,2.9350368931614e-06,0.00147710487444609,9,10
SHRINK,group_2,0,1,,0.00167644593461861,9,11
