Model,ConnGroup,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
M0,1,112,22,0.196428571428571,0.196428571428571,0.196428571428571,0.5,0.201348944547837,0.594760124598519,""
M0,2,280,21,0.075,0.075,0.075,0.5,0.185442551013687,0.562856131045747,""
M0,3,146,39,0.267123287671233,0.267123287671233,0.267123287671233,0.5,0.214645337188004,0.621673150969817,""
M0,4,146,25,0.171232876712329,0.171232876712329,0.171232876712329,0.5,0.19732792739409,0.586656681377199,""
M0,5,228,8,0.0350877192982456,0.0350877192982456,0.0350877192982456,0.5,0.177707554500243,0.547196568051154,""
M0,6,276,5,0.0181159420289855,0.0181159420289855,0.0181159420289855,0.5,0.17761786620828,0.547122442672379,""
M0,7,561,257,0.458110516934046,0.458110516934046,0.458110516934046,0.5,0.252052285471729,0.697471039960059,""
M0,8,320,157,0.490625,0.490625,0.490625,0.5,0.258658173147009,0.710869082160445,""
M0,9,288,82,0.284722222222222,0.284722222222222,0.284722222222222,0.5,0.21854708861997,0.629600156384746,""
M0,10,677,358,0.528803545051699,0.528803545051699,0.528803545051699,0.5,0.269181907043285,0.732404609655295,""
M0,11,1193,375,0.314333612740989,0.314333612740989,0.314333612740989,0.5,0.226753611420744,0.646309322118627,""
M0,12,303,228,0.752475247524752,0.752475247524752,0.752475247524752,0.5,0.321269775463568,0.838524762619821,""
M0,13,175,86,0.491428571428572,0.491428571428572,0.491428571428572,0.5,0.258442324719295,0.710409150802033,""
M0,14,177,28,0.15819209039548,0.15819209039548,0.15819209039548,0.5,0.195621871820536,0.583238574015162,""
M0,15,627,384,0.61244019138756,0.61244019138756,0.61244019138756,0.5,0.291420610714475,0.777929016289496,""
M0,16,193,90,0.466321243523316,0.466321243523316,0.466321243523316,0.5,0.253312977329909,0.700004150686475,""
M0,17,287,141,0.491289198606272,0.491289198606272,0.491289198606272,0.5,0.258710588767755,0.710970454130806,""
M0,18,432,230,0.532407407407407,0.532407407407407,0.532407407407407,0.5,0.268499911381838,0.730916804952054,""
M0,19,323,172,0.532507739938081,0.532507739938081,0.532507739938081,0.5,0.26786426253382,0.729584045754148,""
MP,1,112,22,0.196428571428571,0.760214831257374,0.755500846227903,0.869444444444445,0.179012648370709,0.526578558308318,""
MP,2,280,21,0.075,0.618967467720808,0.614643971347724,0.909450266593124,0.180152846459861,0.530761573324404,""
MP,3,146,39,0.267123287671233,0.634921249570518,0.631696818696857,0.790678169182842,0.209979844859851,0.60885899698863,""
MP,4,146,25,0.171232876712329,0.507072153692925,0.498366735233509,0.768595041322314,0.204734924557639,0.590105149151892,""
MP,5,228,8,0.0350877192982456,0.292081554191196,0.24051797929612,0.790056818181818,0.215313284783294,0.614748611284955,""
MP,6,276,5,0.0181159420289855,0.0445351791264003,0.0336837934716641,0.721033210332103,0.221390882791666,0.645505496730541,""
MP,7,561,257,0.458110516934046,0.809641730255759,0.810801579974685,0.812634394839238,0.180027778653934,0.543535576692664,""
MP,8,320,157,0.490625,0.816005108355322,0.816445769882797,0.791430581063655,0.188962877424044,0.567939233434807,""
MP,9,288,82,0.284722222222222,0.630780549548471,0.628973136237123,0.775455837082643,0.179919264453227,0.542515776736445,""
MP,10,677,358,0.528803545051699,0.921148186153207,0.922446030978811,0.918928740302271,0.145889675587365,0.457852184983101,""
MP,11,1193,375,0.314333612740989,0.556786508886677,0.548862754904855,0.721066014669927,0.211281295622712,0.612091531791435,""
MP,12,303,228,0.752475247524752,0.921265319834541,0.921887557474128,0.791023391812866,0.289478325240095,0.827472610090691,""
