ReferenceKey,N,Observed,Predicted,Model,AbsoluteError
tendon_nondiabetic,112,0.196428571428571,0.405006031363088,M0,0.208577459934517
GTEx_v8_Lung,280,0.075,0.415686881188119,M0,0.340686881188119
GSE181540_HS_input,70,0.2,0.404516520157624,M0,0.204516520157624
GSE181540_adjacent_NS_input,76,0.328947368421053,0.404516520157624,M0,0.0755691517365714
GTEx_v8_Hippocampus,146,0.171232876712329,0.406638375265232,M0,0.235405498552903
GSE114691_control_placenta,228,0.0350877192982456,0.414364640883978,M0,0.379276921585732
sperm_GroupI,276,0.0181159420289855,0.417903525046382,M0,0.399787583017397
GSE132714_BPH,280,0.457142857142857,0.396409509946628,M0,0.0607333471962291
TCGA_LIHC_normal,134,0.514925373134328,0.397104607721046,M0,0.117820765413282
TCGA_ESCA_ESCC,288,0.284722222222222,0.406753407682776,M0,0.122031185460554
TCGA_PRAD_primary,281,0.459074733096086,0.396409509946628,M0,0.0626652231494574
TCGA_LIHC_primary,186,0.473118279569893,0.397104607721046,M0,0.0760136718488465
MCF7_DMSO7d,167,0.520958083832335,0.387341354870612,M0,0.133616728961723
HCT116_control,733,0.413369713506139,0.420284633399388,M0,0.00691491989324883
GSE163787_TALL104,192,0.177083333333333,0.420284633399388,M0,0.243201300066055
HepG2_DMSO24h,303,0.752475247524752,0.385033379909952,M0,0.3674418676148
GSE171750_A549_untreated,175,0.491428571428572,0.399147511036688,M0,0.0922810603918834
MDAMB468_DMSO7d,175,0.605714285714286,0.387341354870612,M0,0.218372930843674
GSE283812_T47D_vehicle,180,0.572222222222222,0.387341354870612,M0,0.18488086735161
PC3M_DMSO,177,0.15819209039548,0.4081011116187,M0,0.24990902122322
GSE266884_MES28_vector_control,320,0.6875,0.379924799738434,M0,0.307575200261566
RKO_DMSO,193,0.466321243523316,0.399633643718516,M0,0.0666875998048
GSE203529_HEK293T_WT,268,0.141791044776119,0.420284633399388,M0,0.278493588623269
GSE275256_HMC3_vehicle,287,0.491289198606272,0.397553043208921,M0,0.0937361553973508
HK2_untreated,432,0.532407407407407,0.392585551330799,M0,0.139821856076608
GSE103520_MCF10A_control,155,0.4,0.387341354870612,M0,0.012658645129388
GSE119834_NSC,307,0.534201954397394,0.379924799738434,M0,0.15427715465896
HUVEC_untreated,323,0.532507739938081,0.394954057000467,M0,0.137553682937614
tendon_nondiabetic,112,0.196428571428571,0.444049887977655,MP,0.247621316549084
GTEx_v8_Lung,280,0.075,0.40709031338787,MP,0.33209031338787
GSE181540_HS_input,70,0.2,0.480562661491153,MP,0.280562661491153
GSE181540_adjacent_NS_input,76,0.328947368421053,0.472044758290148,MP,0.143097389869095
GTEx_v8_Hippocampus,146,0.171232876712329,0.427331215965002,MP,0.256098339252673
GSE114691_control_placenta,228,0.0350877192982456,0.414414929598697,MP,0.379327210300451
sperm_GroupI,276,0.0181159420289855,0.407878452833144,MP,0.389762510804158
GSE132714_BPH,280,0.457142857142857,0.393348500142911,MP,0.0637943569999462
TCGA_LIHC_normal,134,0.514925373134328,0.420667263940292,MP,0.0942581091940369
TCGA_ESCA_ESCC,288,0.284722222222222,0.4104565058841,MP,0.125734283661878
TCGA_PRAD_primary,281,0.459074733096086,0.394008994336072,MP,0.0650657387600138
TCGA_LIHC_primary,186,0.473118279569893,0.413715038580884,MP,0.0594032409890084
MCF7_DMSO7d,167,0.520958083832335,0.445392294716572,MP,0.075565789115763
HCT116_control,733,0.413369713506139,0.440441265302736,MP,0.0270715517965972
GSE163787_TALL104,192,0.177083333333333,0.460274886453332,MP,0.283191553119999
HepG2_DMSO24h,303,0.752475247524752,0.385652325320072,MP,0.366822922204681
GSE171750_A549_untreated,175,0.491428571428572,0.435235950898484,MP,0.0561926205300871
MDAMB468_DMSO7d,175,0.605714285714286,0.426828347691732,MP,0.178885938022554
