Model,LogLoss,AP,ROC,Brier,MaterialMAE
M0,0.666236645697052,0.361928683384198,0.5,0.236548714172951,0.177518099588464
MP,0.572459899020476,0.702705398361862,0.823947133668719,0.193573484662228,0.179308146142295
MP_cal,0.570458327843732,0.702705398361862,0.823947133668719,0.193616026428788,0.18339028201749
ME_P,0.573173286916608,0.710664107482589,0.828226328221619,0.194131839467512,0.187865528050212
ME2P,0.586511055284007,0.712194007841444,0.828921487129506,0.19967551223339,0.192274910667649
SHRINK,0.565348019587639,0.708552064505562,0.826430487730744,0.191180050277139,0.181714262379486
SHRINK_CAL,0.562670069030686,0.708552064505562,0.826430487730744,0.18975328033216,0.188907899601361
