ConnGroup,LogLoss,Model,Candidate,InnerFold,OuterGroup
16,0.573631395817934,SHRINK_CAL,group_2,5,1
17,0.537664804144651,SHRINK_CAL,group_2,5,1
4,0.497551688693083,SHRINK,group_8,1,1
8,0.611346678996852,SHRINK,group_8,1,1
12,0.854654537002134,SHRINK,group_8,1,1
13,0.553947535806508,SHRINK,group_8,1,1
4,0.489033039725419,SHRINK_CAL,group_8,1,1
8,0.611777148386195,SHRINK_CAL,group_8,1,1
12,0.914157730158349,SHRINK_CAL,group_8,1,1
13,0.531681859311085,SHRINK_CAL,group_8,1,1
7,0.606761396932508,SHRINK,group_8,2,1
15,0.760197146374046,SHRINK,group_8,2,1
18,0.631940972833992,SHRINK,group_8,2,1
19,0.680958958648243,SHRINK,group_8,2,1
7,0.633499900722282,SHRINK_CAL,group_8,2,1
15,0.793859755895317,SHRINK_CAL,group_8,2,1
18,0.668662683174058,SHRINK_CAL,group_8,2,1
19,0.711139919092118,SHRINK_CAL,group_8,2,1
5,0.629355047543193,SHRINK,group_8,3,1
6,0.637950666655436,SHRINK,group_8,3,1
9,0.56754684157582,SHRINK,group_8,3,1
14,0.592153163882287,SHRINK,group_8,3,1
5,0.594633490975412,SHRINK_CAL,group_8,3,1
6,0.603345897089008,SHRINK_CAL,group_8,3,1
9,0.54548673489147,SHRINK_CAL,group_8,3,1
14,0.560678515304495,SHRINK_CAL,group_8,3,1
2,0.485772490405927,SHRINK,group_8,4,1
3,0.558367075613002,SHRINK,group_8,4,1
10,0.515347786722444,SHRINK,group_8,4,1
2,0.461241491423027,SHRINK_CAL,group_8,4,1
3,0.54482049214741,SHRINK_CAL,group_8,4,1
10,0.519385385827679,SHRINK_CAL,group_8,4,1
11,0.56896235475173,SHRINK,group_8,5,1
16,0.577051690701668,SHRINK,group_8,5,1
17,0.554393438263393,SHRINK,group_8,5,1
11,0.561050872501597,SHRINK_CAL,group_8,5,1
16,0.569943566165554,SHRINK_CAL,group_8,5,1
17,0.540951390835216,SHRINK_CAL,group_8,5,1
4,0.502131596909094,SHRINK,group_32,1,1
8,0.663841555001136,SHRINK,group_32,1,1
12,0.866058177532682,SHRINK,group_32,1,1
13,0.640626734431277,SHRINK,group_32,1,1
4,0.485114320483293,SHRINK_CAL,group_32,1,1
8,0.637513510742431,SHRINK_CAL,group_32,1,1
12,0.876305794710463,SHRINK_CAL,group_32,1,1
13,0.597713882653268,SHRINK_CAL,group_32,1,1
7,0.663153299290486,SHRINK,group_32,2,1
15,0.792498625148574,SHRINK,group_32,2,1
18,0.703010089414665,SHRINK,group_32,2,1
19,0.726505170544949,SHRINK,group_32,2,1
7,0.691582106179824,SHRINK_CAL,group_32,2,1
15,0.820519969711729,SHRINK_CAL,group_32,2,1
18,0.739594234359251,SHRINK_CAL,group_32,2,1
19,0.754438288236206,SHRINK_CAL,group_32,2,1
5,0.596648365797709,SHRINK,group_32,3,1
6,0.598472615584971,SHRINK,group_32,3,1
9,0.600543237777982,SHRINK,group_32,3,1
14,0.593043370324393,SHRINK,group_32,3,1
5,0.574439679843674,SHRINK_CAL,group_32,3,1
6,0.576721662679224,SHRINK_CAL,group_32,3,1
9,0.580512479501992,SHRINK_CAL,group_32,3,1
14,0.570230777760577,SHRINK_CAL,group_32,3,1
2,0.499830309000495,SHRINK,group_32,4,1
