Dropped,Test,Model,LogLoss,MPLogLoss,OriginalLogLoss,DeltaVsMP,ChangeVsOriginal
1,2,SHRINK,0.502301682963736,0.535381741151395,0.493503329704093,-0.0330800581876584,0.00879835325964351
1,2,SHRINK_CAL,0.459458003314943,0.535381741151395,0.445239203676264,-0.0759237378364517,0.0142187996386788
1,3,SHRINK,0.57600228549972,0.621876427647895,0.566203412740049,-0.0458741421481745,0.00979887275967162
1,3,SHRINK_CAL,0.555037741233157,0.621876427647895,0.537470029007356,-0.0668386864147377,0.0175677122258011
1,4,SHRINK,0.560953717260323,0.604430921468661,0.549142973921217,-0.0434772042083376,0.011810743339106
1,4,SHRINK_CAL,0.532129079149908,0.604430921468661,0.511785708846286,-0.0723018423187526,0.0203433703036227
1,5,SHRINK,0.565199761786261,0.622623944191897,0.554770664673808,-0.0574241824056355,0.0104290971124533
1,5,SHRINK_CAL,0.51787219748721,0.622623944191897,0.500760130370691,-0.104751746704687,0.017112067116519
1,6,SHRINK,0.579731048279069,0.653901399951808,0.568542616473014,-0.0741703516727389,0.011188431806055
1,6,SHRINK_CAL,0.52654182085491,0.653901399951808,0.508914151821406,-0.127359579096898,0.0176276690335035
1,7,SHRINK,0.560002178929367,0.541113156229423,0.562916433946877,0.0188890226999441,-0.00291425501751064
1,7,SHRINK_CAL,0.570567344888715,0.541113156229423,0.577040735967006,0.0294541886592928,-0.00647339107829037
1,8,SHRINK,0.571596088271902,0.563543029878283,0.576037086062776,0.00805305839361914,-0.00444099779087426
1,8,SHRINK_CAL,0.587112973194949,0.563543029878283,0.593978024596987,0.0235699433166667,-0.00686505140203719
1,9,SHRINK,0.529840070510547,0.544730575618501,0.526477395611344,-0.0148905051079546,0.00336267489920228
1,9,SHRINK_CAL,0.510640023142735,0.544730575618501,0.509206182640851,-0.0340905524757658,0.00143384050188444
1,10,SHRINK,0.502233697541486,0.456272301812037,0.504213864131095,0.045961395729449,-0.00198016658960909
1,10,SHRINK_CAL,0.500788386840747,0.456272301812037,0.519249761971312,0.04451608502871,-0.0184613751305647
1,11,SHRINK,0.587705382070142,0.617148651356313,0.579408228872946,-0.0294432692861705,0.00829715319719648
1,11,SHRINK_CAL,0.569047393192342,0.617148651356313,0.56245374710559,-0.0481012581639709,0.00659364608675195
1,12,SHRINK,0.915718596270988,0.823278682471487,0.821566401403708,0.0924399137995011,0.0941521948672808
1,12,SHRINK_CAL,0.909884413585735,0.823278682471487,0.911131185973198,0.0866057311142478,-0.00124677238746318
1,13,SHRINK,0.500366065475901,0.470294371603258,0.504344263616386,0.0300716938726427,-0.00397819814048506
1,13,SHRINK_CAL,0.506847854218145,0.470294371603258,0.519988299682991,0.0365534826148868,-0.0131404454648465
1,14,SHRINK,0.514999650485602,0.540289001437208,0.50660413489529,-0.0252893509516059,0.00839551559031138
1,14,SHRINK_CAL,0.477693067591351,0.540289001437208,0.46850351800763,-0.0625959338458571,0.00918954958372081
1,15,SHRINK,0.681101865291823,0.66486800830426,0.687220786705446,0.0162338569875635,-0.00611892141362314
1,15,SHRINK_CAL,0.724982377042614,0.66486800830426,0.73018196616158,0.0601143687383544,-0.00519958911896579
1,16,SHRINK,0.576507002820801,0.574123361774223,0.581056138607808,0.00238364104657784,-0.00454913578700722
1,16,SHRINK_CAL,0.586897360330751,0.574123361774223,0.594474514572152,0.0127739985565278,-0.00757715424140082
1,17,SHRINK,0.505417820656601,0.463964264009007,0.507540108699824,0.0414535566475931,-0.00212228804322401
1,17,SHRINK_CAL,0.513619302102203,0.463964264009007,0.525245048705133,0.0496550380931952,-0.0116257466029306
1,18,SHRINK,0.538007703324634,0.500251107493266,0.541411504530336,0.0377565958313677,-0.00340380120570227
1,18,SHRINK_CAL,0.553145615238096,0.500251107493266,0.564714773846678,0.0528945077448295,-0.011569158608582
1,19,SHRINK,0.602543565315413,0.580003650789143,0.60654198226852,0.0225399145262699,-0.00399841695310732
1,19,SHRINK_CAL,0.629586816671806,0.580003650789143,0.637572178826561,0.0495831658826627,-0.00798536215475554
2,1,SHRINK,0.517021398723217,0.538069716090714,0.504111045300602,-0.0210483173674961,0.0129103534226155
2,1,SHRINK_CAL,0.48647850658746,0.538069716090714,0.472822149803365,-0.0515912095032531,0.013656356784095
2,3,SHRINK,0.575024406501455,0.617962629395437,0.566203412740049,-0.0429382228939823,0.0088209937614061
2,3,SHRINK_CAL,0.553133937731798,0.617962629395437,0.537470029007356,-0.0648286916636388,0.0156639087244422
2,4,SHRINK,0.564612176438033,0.604784166131836,0.549142973921217,-0.0401719896938022,0.0154692025168161
2,4,SHRINK_CAL,0.534746892496766,0.604784166131836,0.511785708846286,-0.0700372736350696,0.0229611836504803
2,5,SHRINK,0.588909289856725,0.655536373398525,0.554770664673808,-0.0666270835417997,0.0341386251829171
2,5,SHRINK_CAL,0.541971422151523,0.655536373398525,0.500760130370691,-0.113564951247002,0.0412112917808317
2,6,SHRINK,0.597128032193505,0.678244984012897,0.568542616473014,-0.0811169518193922,0.0285854157204914
2,6,SHRINK_CAL,0.544785921378386,0.678244984012897,0.508914151821406,-0.133459062634511,0.0358717695569798
2,7,SHRINK,0.562094031662977,0.545755121090982,0.562916433946877,0.0163389105719951,-0.00082240228390007
2,7,SHRINK_CAL,0.569775088133975,0.545755121090982,0.577040735967006,0.0240199670429929,-0.00726564783303074
2,8,SHRINK,0.572075896256809,0.565751233565704,0.576037086062776,0.0063246626911051,-0.0039611898059666
2,8,SHRINK_CAL,0.586876710743055,0.565751233565704,0.593978024596987,0.0211254771773504,-0.00710131385393187
2,9,SHRINK,0.541891518081224,0.563131806903688,0.526477395611344,-0.0212402888224642,0.0154141224698795
2,9,SHRINK_CAL,0.521532797282934,0.563131806903688,0.509206182640851,-0.0415990096207538,0.0123266146420832
2,10,SHRINK,0.497467036773198,0.451336249184393,0.504213864131095,0.0461307875888054,-0.00674682735789706
2,10,SHRINK_CAL,0.493328632120038,0.451336249184393,0.519249761971312,0.0419923829356453,-0.0259211298512737
2,11,SHRINK,0.592235674177184,0.62484104641363,0.579408228872946,-0.032605372236446,0.0128274453042384
2,11,SHRINK_CAL,0.571239668674535,0.62484104641363,0.56245374710559,-0.0536013777390958,0.00878592156894453
2,12,SHRINK,0.878924694854963,0.799205012025182,0.821566401403708,0.0797196828297804,0.057358293451255
2,12,SHRINK_CAL,0.887760890188926,0.799205012025182,0.911131185973198,0.0885558781637433,-0.0233702957842726
