Model,Candidate,Risk,Groups,OuterGroup
SHRINK,group_8,0.585898187751149,18,7
SHRINK_CAL,group_8,0.58020353147552,18,7
SHRINK,group_32,0.620924474369806,18,7
SHRINK_CAL,group_32,0.605222574359942,18,7
SHRINK,row_0.5,0.597766260550831,18,7
SHRINK_CAL,row_0.5,0.586618662417205,18,7
SHRINK,row_2,0.580054407398493,18,7
SHRINK_CAL,row_2,0.579965327351548,18,7
SHRINK,row_8,0.574866164413738,18,7
SHRINK_CAL,row_8,0.576256847108785,18,7
SHRINK,row_32,0.602971491162736,18,7
SHRINK_CAL,row_32,0.586082257041504,18,7
SHRINK,original,0.575508681928595,18,8
SHRINK_CAL,original,0.576008487849437,18,8
SHRINK,group_0.5,0.594455592924691,18,8
SHRINK_CAL,group_0.5,0.582715610700317,18,8
SHRINK,group_2,0.57871742210659,18,8
SHRINK_CAL,group_2,0.577043971086343,18,8
SHRINK,group_8,0.58231639281003,18,8
SHRINK_CAL,group_8,0.575720998792232,18,8
SHRINK,group_32,0.618316122259049,18,8
SHRINK_CAL,group_32,0.60181305697426,18,8
SHRINK,row_0.5,0.592101305950644,18,8
SHRINK_CAL,row_0.5,0.581051905589278,18,8
SHRINK,row_2,0.575366618311201,18,8
SHRINK_CAL,row_2,0.574941104158962,18,8
SHRINK,row_8,0.570921932650576,18,8
SHRINK_CAL,row_8,0.571597809298493,18,8
SHRINK,row_32,0.59990581989611,18,8
SHRINK_CAL,row_32,0.581850523043286,18,8
SHRINK,original,0.576801328615208,18,9
SHRINK_CAL,original,0.57553319086037,18,9
SHRINK,group_0.5,0.593320414785907,18,9
SHRINK_CAL,group_0.5,0.582077147253285,18,9
SHRINK,group_2,0.578132611688587,18,9
SHRINK_CAL,group_2,0.576462068792409,18,9
SHRINK,group_8,0.582708935031504,18,9
SHRINK_CAL,group_8,0.575190928937773,18,9
SHRINK,group_32,0.619379553386753,18,9
SHRINK_CAL,group_32,0.600804949248759,18,9
SHRINK,row_0.5,0.592883949723594,18,9
SHRINK_CAL,row_0.5,0.580602348970905,18,9
SHRINK,row_2,0.576110298077663,18,9
SHRINK_CAL,row_2,0.574720715790994,18,9
SHRINK,row_8,0.571242701918817,18,9
SHRINK_CAL,row_8,0.571552258181254,18,9
SHRINK,row_32,0.599772372023689,18,9
SHRINK_CAL,row_32,0.580223955901063,18,9
SHRINK,original,0.584005676920954,18,10
SHRINK_CAL,original,0.584539413123921,18,10
SHRINK,group_0.5,0.601856064414917,18,10
