Ensembl,OldLog2TPM,NewLog2TPM
ENSG00000004799,8.316012231621,5.89642760712482
ENSG00000004864,4.42846318218564,4.2196846142437
ENSG00000005882,3.4679350370661,3.72545629702484
ENSG00000008405,4.99988924532997,4.77078747269872
ENSG00000014641,4.80129194232876,4.50377995702066
ENSG00000060762,5.36877421574923,4.63374936180551
ENSG00000062485,5.87608230753649,5.53063988509672
ENSG00000063854,3.03277294685424,3.51112295156677
ENSG00000067057,6.80696714130746,6.83528018393641
ENSG00000067225,8.82360028108169,8.1643667950718
ENSG00000067829,4.78785733515923,5.60628210044973
ENSG00000067992,5.7348472143373,5.69579485535161
ENSG00000068976,1.50733152457956,2.35818323313713
ENSG00000073578,4.47559175437821,2.82566313390804
ENSG00000074800,9.0916376492077,8.17957657175133
ENSG00000076555,3.96650755280771,4.72474062085281
ENSG00000079739,5.83946397407138,5.57206608433548
ENSG00000087299,1.86960696222011,1.940742686974
ENSG00000090861,5.11747953173708,5.26207525329794
ENSG00000091140,5.1266391939089,4.5659380040549
ENSG00000091483,2.95347231153409,2.68953350876544
ENSG00000100156,1.74632992287809,2.56374722027744
ENSG00000100412,3.98630367892632,3.67523273301723
ENSG00000100504,4.78871378392216,5.1513151283768
ENSG00000100889,3.79494993416298,3.95838637580285
ENSG00000100994,6.4829566925515,6.21857491095879
ENSG00000101365,5.50333127382765,5.37185351231774
ENSG00000102144,7.69062095183821,6.87337801126366
ENSG00000104635,6.97631761534121,6.82049408553024
ENSG00000105220,6.44321204590964,6.13870043645304
ENSG00000105679,2.63177984657758,0.603170150469802
ENSG00000105953,6.85864324876048,6.50058945422684
ENSG00000106633,-0.471129747163366,0.247003211527027
ENSG00000108515,1.23103861978093,1.85220464158517
ENSG00000108528,5.7567770650874,4.82876356543711
ENSG00000109107,4.91506378818775,4.19482881217828
ENSG00000109819,0.212684078711211,0.894383732122364
ENSG00000111640,11.3153115839828,9.90795020087984
ENSG00000111669,9.01083341613757,7.60069955545375
ENSG00000111674,6.48546393177382,5.91665409811581
ENSG00000111716,5.14129714454781,1.39839805573509
ENSG00000112992,4.22341505695787,4.41496803563713
ENSG00000114021,3.26888840833719,3.67771934037012
ENSG00000114268,3.3685985812285,2.78444859585208
ENSG00000115159,3.92518930666956,3.99172793608583
ENSG00000116288,6.07704542937332,5.03490324584509
ENSG00000117118,5.42921338403145,4.81912388949456
ENSG00000118596,5.10313982796191,4.60921474012432
ENSG00000119689,5.4952111635215,5.96416978522275
ENSG00000120053,4.13120463198135,4.0029051176445
ENSG00000123836,2.7417369455369,2.85843832615873
ENSG00000124253,0.104954669981702,0.416625338912621
ENSG00000124532,3.64167218095109,3.55766834754585
ENSG00000124608,3.73950276246494,4.22310372413447
ENSG00000124767,6.43569137758154,5.54122173747723
ENSG00000128272,8.4078998862817,7.43898312447164
ENSG00000130957,-1,-0.395469296633397
ENSG00000131069,4.08056934544365,4.42221063211597
ENSG00000131482,-1,-0.393232029889306
ENSG00000131828,4.36512360554199,4.20041223335769
ENSG00000132326,5.08126892154432,5.56838848354914
ENSG00000134056,1.37253302668566,2.87369162361407
ENSG00000134333,8.51264828854799,7.72149092094372
ENSG00000135094,1.29945190844812,1.64382861512611
ENSG00000136143,3.42350680671258,3.18872241827031
ENSG00000136872,1.06292128148525,0.662324907627504
ENSG00000137700,2.55496792123278,2.7309068152213
ENSG00000138030,2.01164741677621,1.76508158407931
ENSG00000138207,5.20901372651373,5.4889502473338
ENSG00000138400,-0.521589393336883,0.586737939575341
ENSG00000138413,5.41664976811867,4.92097321855215
ENSG00000141349,3.2765880529652,3.82980342532672
ENSG00000141526,4.40277502311371,3.8864981004199
ENSG00000141959,5.62432393205738,5.45487622714264
ENSG00000143158,4.9626151306837,3.7524222782788
ENSG00000143252,7.41621998661922,6.33695605989047
ENSG00000143627,-0.345451431414071,-0.102957632904508
ENSG00000146701,5.45245252372608,5.76102320218185
ENSG00000148942,-1,-0.340676669582419
ENSG00000149476,3.34365089363552,2.81434234170707
ENSG00000149925,8.19703937786654,3.67730480311295
ENSG00000150768,3.57238037182011,3.38557364878331
ENSG00000152254,-1,-0.329673049856018
ENSG00000152256,2.93949105889843,3.55253499965207
ENSG00000152556,4.52682170633371,4.35626059877106
ENSG00000154079,1.36826315112328,3.20391939120016
ENSG00000155380,5.08878499020425,4.94355763336228
ENSG00000156510,-0.935401659446497,-0.0758845922123581
ENSG00000156515,6.39574437694456,5.96255551024656
ENSG00000158571,1.01178952980816,1.22333372825398
ENSG00000159322,5.0297516099578,4.88150807161224
ENSG00000159399,5.41230779328636,3.85954454367667
ENSG00000160741,4.62678630501286,5.79033445877815
ENSG00000160883,3.13127339096226,3.15137340916821
ENSG00000162688,4.16574663568643,4.07068005302537
ENSG00000163541,4.67363305426398,4.34132192406713
ENSG00000164951,4.7802512181695,4.12671317467214
ENSG00000165140,3.46330816595056,2.32041620872564
ENSG00000166123,2.24328017669693,2.76173535410529
ENSG00000166411,3.46885507213575,3.10108205629056
ENSG00000166796,-0.930300673916722,-0.0685534342118972
ENSG00000166800,1.43574827335764,1.4385108603527
ENSG00000166816,2.68276261826929,3.26819126030885
ENSG00000167588,-0.536629787489495,2.10065379445507
ENSG00000167701,1.33405185895572,2.12054182927138
ENSG00000167985,5.35279271335352,3.75352457183337
ENSG00000168291,4.38235211953169,3.67066020961938
ENSG00000170525,6.03874688822342,5.8262988137311
ENSG00000170571,5.56556613967835,5.03732126259676
ENSG00000170950,-1,-1
ENSG00000171314,7.71417110759173,6.49446920565961
ENSG00000171989,2.26892543734562,2.45518965948413
ENSG00000172270,7.28431636067889,6.93451766232012
ENSG00000172331,4.5893775394496,4.0789281531345
ENSG00000172340,5.63948533079392,5.45122014226134
ENSG00000172840,2.19299691293806,2.118656637161
ENSG00000173599,3.4416969376162,3.7349367453693
ENSG00000175567,5.67045770445996,5.88270068579024
ENSG00000180902,4.11238833640073,4.4435744955814
ENSG00000182054,5.7768867504642,5.46180992192938
ENSG00000183048,2.59051723016246,0.438619055593916
ENSG00000188316,3.65032381697022,1.73097570165152
ENSG00000197444,-0.923886213768207,-0.495119946763102
ENSG00000198814,2.40682915285061,2.32226980904953
ENSG00000204370,5.49943679475141,4.3265990536562
ENSG00000214756,1.84164298080094,2.85695328272304
ENSG00000226784,1.44345655245424,1.69797401760808
ENSG00000256870,-1,-0.42831249729102
