SampleKey,PXD,SampleID,PublicationGroup,Category,ConditionLabel,EvidenceTier,Pathway,PositiveProteinCount,NegativeProteinCount,AnyPathwayProteinCount,KlaDdrProteinCount,FractionOfKlaDdrProteins
PXD066054__NAT3,PXD066054,NAT3,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,NER,14,0,14,129,0.108527131782946
PXD066054__NAT3,PXD066054,NAT3,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,NHEJ,36,5,41,129,0.317829457364341
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,AEJ,13,3,16,131,0.122137404580153
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,BER,19,0,19,131,0.145038167938931
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,FA,7,0,7,131,0.0534351145038168
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,HR,50,6,56,131,0.427480916030534
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,MMR,9,0,9,131,0.0687022900763359
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,NER,14,0,14,131,0.106870229007634
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,NHEJ,36,5,41,131,0.312977099236641
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,AEJ,12,4,16,131,0.122137404580153
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,BER,19,0,19,131,0.145038167938931
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,FA,7,0,7,131,0.0534351145038168
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,HR,51,6,57,131,0.435114503816794
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,MMR,10,0,10,131,0.0763358778625954
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,NER,16,0,16,131,0.122137404580153
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,NHEJ,36,6,42,131,0.320610687022901
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,AEJ,13,4,17,137,0.124087591240876
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,BER,21,0,21,137,0.153284671532847
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,FA,7,0,7,137,0.0510948905109489
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,HR,55,6,61,137,0.445255474452555
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,MMR,11,0,11,137,0.0802919708029197
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NER,15,0,15,137,0.109489051094891
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NHEJ,38,6,44,137,0.321167883211679
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,AEJ,9,5,14,127,0.110236220472441
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,BER,17,0,17,127,0.133858267716535
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,FA,6,0,6,127,0.047244094488189
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,HR,51,6,57,127,0.448818897637795
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,MMR,10,0,10,127,0.078740157480315
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NER,15,0,15,127,0.118110236220472
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NHEJ,34,5,39,127,0.307086614173228
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,AEJ,13,5,18,141,0.127659574468085
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,BER,21,0,21,141,0.148936170212766
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,FA,7,0,7,141,0.049645390070922
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,HR,57,6,63,141,0.446808510638298
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,MMR,11,0,11,141,0.0780141843971631
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NER,15,0,15,141,0.106382978723404
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NHEJ,39,6,45,141,0.319148936170213
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,AEJ,12,4,16,137,0.116788321167883
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,BER,19,0,19,137,0.138686131386861
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,FA,7,0,7,137,0.0510948905109489
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,HR,55,6,61,137,0.445255474452555
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,MMR,10,0,10,137,0.072992700729927
