SampleKey,PXD,SampleID,PublicationGroup,Category,ConditionLabel,EvidenceTier,UnitType,PairingStatus,KlaParser,WholeProteomeParser,KlaSourceFile,WholeProteomeSourceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction
PXD046800__NSP1,PXD046800,NSP1,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,human tissue sample,same-source same sample,Proteome Discoverer lactylated peptide groups,Proteome Discoverer protein table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,484,28,0.0578512396694215
PXD046800__NSP2,PXD046800,NSP2,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,human tissue sample,same-source same sample,Proteome Discoverer lactylated peptide groups,Proteome Discoverer protein table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,401,22,0.0548628428927681
PXD046800__NSP3,PXD046800,NSP3,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,human tissue sample,same-source same sample,Proteome Discoverer lactylated peptide groups,Proteome Discoverer protein table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,392,18,0.0459183673469388
PXD046800__NSP4,PXD046800,NSP4,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,human tissue sample,same-source same sample,Proteome Discoverer lactylated peptide groups,Proteome Discoverer protein table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,386,19,0.0492227979274611
PXD046800__HSP1,PXD046800,HSP1,hypertrophic scar,normal_tissue,Hypertrophic scar,A_same_source_same_sample,human tissue sample,same-source same sample,Proteome Discoverer lactylated peptide groups,Proteome Discoverer protein table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,336,13,0.0386904761904762
PXD046800__HSP2,PXD046800,HSP2,hypertrophic scar,normal_tissue,Hypertrophic scar,A_same_source_same_sample,human tissue sample,same-source same sample,Proteome Discoverer lactylated peptide groups,Proteome Discoverer protein table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,298,13,0.0436241610738255
PXD046800__HSP3,PXD046800,HSP3,hypertrophic scar,normal_tissue,Hypertrophic scar,A_same_source_same_sample,human tissue sample,same-source same sample,Proteome Discoverer lactylated peptide groups,Proteome Discoverer protein table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,315,14,0.0444444444444444
PXD046800__HSP4,PXD046800,HSP4,hypertrophic scar,normal_tissue,Hypertrophic scar,A_same_source_same_sample,human tissue sample,same-source same sample,Proteome Discoverer lactylated peptide groups,Proteome Discoverer protein table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,333,14,0.042042042042042
PXD050470__H072,PXD050470,H072,human hippocampus,normal_tissue,Human hippocampus,A_same_source_same_sample,human tissue sample,same-source same biospecimen,author supplementary Table S3,author supplementary Table S4,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,853,29,0.0339976553341149
PXD050470__H081,PXD050470,H081,human hippocampus,normal_tissue,Human hippocampus,A_same_source_same_sample,human tissue sample,same-source same biospecimen,author supplementary Table S3,author supplementary Table S4,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,853,29,0.0339976553341149
