RowOrder,PXD,SampleGroup,Category,DisplayGroup,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction,KlaDdrFractionPercentage,ReferenceFraction,ReferenceDdr,ReferenceTotal
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,NAT1,NAT1,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2091,140,0.0669536107125777,6.69536107125777,4.99449136981271,408,8169
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,NAT2,NAT2,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,1978,133,0.0672396359959555,6.72396359959555,4.99449136981271,408,8169
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,NAT3,NAT3,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,1979,129,0.0651844365841334,6.51844365841334,4.99449136981271,408,8169
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,NAT4,NAT4,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2040,131,0.0642156862745098,6.42156862745098,4.99449136981271,408,8169
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,NAT5,NAT5,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2029,131,0.0645638245441104,6.45638245441104,4.99449136981271,408,8169
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Control_pool,Control_pool,pool,pool,deposited_group_union,PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,1775,113,0.0636619718309859,6.36619718309859,4.56363208656787,194,4251
11,PXD066054,prostate cancer,cancer_tissue,Prostate cancer tissue,PCa1,PCa1,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2028,137,0.0675542406311637,6.75542406311637,5.02255272461295,412,8203
11,PXD066054,prostate cancer,cancer_tissue,Prostate cancer tissue,PCa2,PCa2,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,1877,127,0.0676611614278103,6.76611614278103,5.02255272461295,412,8203
11,PXD066054,prostate cancer,cancer_tissue,Prostate cancer tissue,PCa3,PCa3,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2052,141,0.0687134502923977,6.87134502923977,5.02255272461295,412,8203
11,PXD066054,prostate cancer,cancer_tissue,Prostate cancer tissue,PCa4,PCa4,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2035,137,0.0673218673218673,6.73218673218673,5.02255272461295,412,8203
