Denominator,Category,N,Min,Q1,Median,Q3,Max
ACTB,cancer_cells,21,0.00136776040519709,0.0163907755327189,0.0561368782141515,0.690994680240346,0.921695675686502
ACTB,cancer_tissue,10,0.0024727135822724,0.00500133233195112,0.374875186323478,0.905134816930374,1.70628045350663
ACTB,normal_cells,13,0.00117318212879961,0.00132759587020342,0.00808265972198735,0.729289379196633,1.52490955148631
ACTB,normal_tissue,5,0.00110672958521531,0.00204450371940893,0.00390559903966617,0.00698158774559319,0.00834407353741483
H3C1,cancer_cells,14,0.0236677145851196,0.0969551128315551,13.7957279427084,50.0332759571943,1033.59982713915
H3C1,cancer_tissue,50,0.00126399413067586,0.842978065557873,1.06278080456106,1.31816159786681,2.12131877898688
H3C1,normal_cells,11,0.0788449197171153,0.285864231648201,0.529288188660444,0.955981858860356,3.82733690083115
H3C1,normal_tissue,5,0.00069172310431229,0.00122443796864554,0.00194407759474338,0.00393982836913371,0.00496380302817372
TUBB,cancer_cells,28,0.0128578822068109,0.076144130318177,0.16777716528069,0.222568229327403,0.3797293394397
TUBB,cancer_tissue,99,0.00232423366715079,0.78497406037923,0.935688621204935,1.11820664920472,3.78149692871825
TUBB,normal_cells,13,0.0015938412464962,0.00163907525228971,0.0600502359826776,0.0658002698312178,0.208313193282518
TUBB,normal_tissue,5,0.00103504517152345,0.00206327416147706,0.00412970951480227,0.00457736907466559,0.00710095998198722
