SampleKey,PXD,SampleID,PublicationGroup,Category,ConditionLabel,EvidenceTier,UnitType,PairingStatus,KlaParser,WholeProteomeParser,KlaSourceFile,WholeProteomeSourceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction,WholeProteomeProteinCount,WholeProteomeDdrProteinCount,WholeProteomeDdrFraction,DeltaPercentagePoints
PXD050470__H187,PXD050470,H187,human hippocampus,normal_tissue,Human hippocampus,A_same_source_same_sample,human tissue sample,same-source same biospecimen,author supplementary Table S3,author supplementary Table S4,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,853,29,0.0339976553341149,6082,219,0.0360078921407432,-0.201023680662828
PXD066054__NAT1,PXD066054,NAT1,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2091,140,0.0669536107125777,7916,396,0.0500252652854977,1.692834542708
PXD066054__NAT2,PXD066054,NAT2,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,1978,133,0.0672396359959555,7805,393,0.0503523382447149,1.68872977512406
PXD066054__NAT3,PXD066054,NAT3,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,1979,129,0.0651844365841334,7929,399,0.0503216042376088,1.48628323465246
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2040,131,0.0642156862745098,7937,398,0.050144891016757,1.40707952577528
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2029,131,0.0645638245441104,7768,390,0.050205973223481,1.43578513206295
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2028,137,0.0675542406311637,7760,398,0.0512886597938144,1.62655808373493
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,1877,127,0.0676611614278103,7213,366,0.0507417163454873,1.6919445082323
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2052,141,0.0687134502923977,7791,406,0.0521114106019766,1.6602039690421
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2035,137,0.0673218673218673,7675,387,0.0504234527687297,1.68984145531377
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2102,143,0.0680304471931494,7833,395,0.0504276777735223,1.76027694196271
