SampleKey,PXD,SampleID,PublicationGroup,Category,ConditionLabel,EvidenceTier,UnitType,PairingStatus,KlaParser,WholeProteomeParser,KlaSourceFile,WholeProteomeSourceFile
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant proteinGroups plus positive La(K) evidence,,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant proteinGroups plus positive La(K) evidence,,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant proteinGroups plus positive La(K) evidence,,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant proteinGroups plus positive La(K) evidence,,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,
