"","GSM1602978","GSM1602981","GSM1602982","GSM1602983"
"GSM1602978",1,0.861254887805325,0.858375137021473,0.833461109304716
"GSM1602981",0.861254887805325,1,0.838264535828347,0.791826635439449
"GSM1602982",0.858375137021473,0.838264535828347,1,0.80964462591937
"GSM1602983",0.833461109304716,0.791826635439449,0.80964462591937,1
