"ReferenceKey","SampleID","Genes","Counts","DetectedGenes","ZeroFraction"
"HCT116_control","GSM8026675",58735,16804669,25159,0.571652336766834
"HCT116_control","GSM8026676",58735,17727244,24210,0.587809653528561
"HCT116_control","GSM8026677",58735,17107027,24967,0.574921256491019
"RKO_DMSO","GSM9499692",58735,15778418,20984,0.642734315144292
"RKO_DMSO","GSM9499693",58735,15480220,21397,0.635702732612582
"RKO_DMSO","GSM9499694",58735,15343614,21196,0.639124882948838
