ConnGroup,Model,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
1,ME2,112,22,0.196428571428571,0.379349309363493,0.36393020362185,0.714646464646465,0.183584400153156,0.556423573239536,""
2,ME2,280,21,0.075,0.352545471617468,0.328353136995473,0.830299687442545,0.152078465671711,0.491282732588704,""
3,ME2,146,39,0.267123287671233,0.592728866204126,0.587895332024522,0.758686796069974,0.213230670529191,0.6184530143501,""
4,ME2,146,25,0.171232876712329,0.270445997467497,0.247962537963492,0.625454545454546,0.17604778020966,0.540584948625043,""
5,ME2,228,8,0.0350877192982456,0.14653932334428,0.124036019926888,0.817045454545455,0.159096491810122,0.507117749719337,""
6,ME2,276,5,0.0181159420289855,0.0694705677464298,0.0515890318315879,0.677490774907749,0.255132505284508,0.703641510717045,""
7,ME2,561,257,0.458110516934046,0.608768030775381,0.607286544308784,0.639194654925251,0.242397174851656,0.677728952166835,""
8,ME2,320,157,0.490625,0.544987720680913,0.539593084955209,0.556484701652925,0.261696439104401,0.71841349082272,""
9,ME2,288,82,0.284722222222222,0.534064545668899,0.52935826281461,0.727563343594601,0.201808490300054,0.593963738065891,""
10,ME2,677,358,0.528803545051699,0.598961082098987,0.597622343230849,0.582485420570568,0.250058725714968,0.693238010245069,""
11,ME2,1193,375,0.314333612740989,0.366174289962761,0.362614840553473,0.549149144254279,0.23521494355196,0.662821338273457,""
12,ME2,303,228,0.752475247524752,0.715818859221255,0.712319380844884,0.417017543859649,0.411231896359559,1.05284546738867,""
13,ME2,175,86,0.491428571428572,0.63835468867811,0.635106217128379,0.644107656127515,0.253594132859692,0.70065417854977,""
14,ME2,177,28,0.15819209039548,0.292554678123871,0.286073954966818,0.601629913710451,0.198015014246776,0.586498528534607,""
15,ME2,627,384,0.61244019138756,0.643564451934811,0.642573660948541,0.516160836762689,0.318885310967372,0.843331656820639,""
16,ME2,193,90,0.466321243523316,0.640295909123075,0.635298741138855,0.651887810140237,0.235902506765947,0.664521088338737,""
17,ME2,287,141,0.491289198606272,0.609694672081817,0.607521837043275,0.603711260079666,0.245820605709397,0.68488295033684,""
18,ME2,432,230,0.532407407407407,0.594957228523913,0.592931432370413,0.557942315970728,0.287649119665135,0.774006721419936,""
19,ME2,323,172,0.532507739938081,0.681281213672649,0.679864427906067,0.623556137378716,0.263409554268042,0.721568397251319,""
