ConnGroup,mu_target,sd_target,imp_target,mu_mod,sd_mod,imp_mod,mu_mp,sd_mp
1,4.94372577677661,2.0302535191518,4.9394383543879,3.03665563529751,0.85771688484911,2.96353090626906,0.421834729999095,0.24154286484148
2,4.96610807552615,2.02320465678892,4.97031597537316,3.03447173847897,0.856317049792538,2.96353090626906,0.430752666919785,0.244403789477359
3,4.85057366864604,2.01725160575123,4.91300513452746,3.05988870127872,0.877342091017053,3.0205013850306,0.417484890834807,0.24027503808632
4,4.99030454271609,2.01107538166842,4.96043273412681,3.05782362258231,0.862879851377393,3.07747186379213,0.423242990498609,0.243970274091307
5,4.98424237341373,2.01952014284761,4.99044230052117,3.06679409312457,0.860502801621042,3.07747186379213,0.431056016292345,0.247873406369106
6,5.02624486446778,1.97788495946817,5.01382365489731,3.11772409541684,0.792780466599058,3.07747186379213,0.435060201858534,0.250165930501826
7,4.95913575143465,2.04652028397282,4.96056457118842,3.05972491148523,0.872172467485786,3.0205013850306,0.413132386245961,0.238506098313611
8,5.02943411034817,2.00578248966188,4.99435624143805,3.08280595072615,0.873415878427788,3.08974212351101,0.414721454205741,0.239950377376355
9,4.94500665558967,2.0230994469755,4.94718093493233,3.0536035871185,0.863058666644516,2.96353090626906,0.419350204025732,0.242053455564821
10,4.85444195898967,1.95394096764916,4.86597711451729,3.15950311716273,0.860895962777531,3.10536014609832,0.411125509166958,0.231098061492861
11,4.82704687639245,2.01983835282391,4.71010202443324,2.9824026426044,0.796026114882887,2.96353090626906,0.443412550878333,0.253920089502694
12,5.02524957240391,1.97545796896885,5.01602971669297,3.11821348756581,0.791639622955407,3.07747186379213,0.414650344076915,0.247679177507596
13,4.89620853621417,2.0144843110465,4.89928975607615,3.00305691750661,0.817357932138906,2.96353090626906,0.426040099490023,0.24381405143516
14,4.90144077240751,2.00790436914769,4.92209839426531,3.02189102253805,0.845018291080519,2.96353090626906,0.435808142927446,0.248840590435279
15,5.01168197382402,1.99761317975245,5.02347269849239,3.04752416422921,0.856246275070857,3.0205013850306,0.410607452148021,0.243950042908764
16,4.90231912784299,2.01261295605788,4.90545437236293,3.05269467899117,0.863018646554912,2.96353090626906,0.422865825338029,0.247409924863932
17,4.89826031845389,2.01092154025171,4.86703812762502,3.04388060834663,0.86118490684948,2.96353090626906,0.420604996729977,0.243003386797931
18,4.90266736616648,2.01872851878097,4.84421155102939,3.0009326522149,0.813383815911951,2.96353090626906,0.417172237663084,0.241436845311978
19,4.94262666303497,2.02918065253435,4.94287968896999,3.04259708637849,0.860698654638427,2.96353090626906,0.41850809351399,0.24653375347134
